depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
0.080000 0.563677 1.320749 2.048822 2.040845 2.786752 3.451798
0.160000 1.500352 2.292680 3.014950 3.013398 3.730943 4.439196
0.240000 2.377170 3.197757 3.938696 3.947620 4.724175 5.453573
0.320000 3.302964 4.096305 4.904487 4.902373 5.720621 6.474456
0.410000 4.298746 5.126651 6.032884 6.006370 6.880150 7.699074
0.513333 5.357844 6.359549 7.282092 7.270659 8.183474 9.070051
0.616667 6.695526 7.559650 8.565244 8.526096 9.458632 10.224389
0.720000 8.040239 8.855878 9.836780 9.775813 10.599693 11.335209
0.800000 8.977769 9.880703 10.764023 10.709788 11.510455 12.136788
0.880000 10.052141 10.945542 11.672968 11.643486 12.347475 13.018328
0.960000 11.078125 11.933399 12.616782 12.578675 13.225660 13.903536
1.040000 12.131415 12.939153 13.587847 13.579533 14.199371 14.878141
1.120000 13.360195 14.115209 14.734529 14.751104 15.412170 16.189750
1.200000 14.447702 15.120528 15.847265 15.916228 16.726039 17.719259
1.280000 15.562700 16.188632 16.950535 17.051273 17.969928 19.017285
1.360000 16.479453 17.147861 18.074897 18.167237 19.127337 20.445411
1.440000 17.314729 18.029931 19.114597 19.229973 20.379819 21.689469
1.520000 18.189202 18.948631 20.190796 20.250412 21.522445 22.951853
1.610000 19.147001 19.992517 21.275810 21.354696 22.755673 24.198107
1.680000 19.796991 20.817628 22.059358 22.195925 23.592674 25.143019
1.760000 20.625153 21.722164 23.059178 23.135415 24.562330 26.173188
1.840000 21.404608 22.605178 24.050249 24.078366 25.523551 27.142735
1.910000 22.140465 23.379487 24.889203 24.900768 26.417305 27.824209
2.010000 23.253837 24.388020 25.954529 25.996692 27.569081 29.031471
2.125000 24.411039 25.578406 27.205115 27.211425 28.847663 30.374902
2.240000 25.564429 26.774464 28.376613 28.437776 30.114782 31.659034
2.320000 26.363623 27.690242 29.323810 29.377924 31.062195 32.666385
2.410000 27.425623 28.812751 30.468142 30.503665 32.152709 33.882959
2.480000 28.182775 29.650072 31.383168 31.431431 33.190834 35.054692
2.560000 29.167546 30.664778 32.478444 32.558531 34.399991 36.629605
2.640000 30.170807 31.677377 33.564997 33.719161 35.711730 38.103899
2.720000 31.163957 32.722479 34.763482 34.909785 37.117149 39.707340
2.800000 32.097027 33.761685 36.043381 36.185206 38.621886 41.368614
2.880000 33.139696 34.808283 37.396942 37.513925 40.093549 42.860153
2.960000 34.250928 36.055086 38.902592 38.914829 41.494800 44.526613
