depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
0.040000 2.744167 3.488737 4.359295 4.385806 5.286238 6.136424
0.090000 10.004866 14.821521 16.834181 16.607010 18.570611 20.669533
0.190000 16.722814 18.520599 20.201430 20.362511 22.139188 24.798035
0.290000 19.982208 21.520061 23.578781 23.750416 26.085617 28.778183
0.390000 22.785853 24.628332 27.047518 27.198742 29.800491 32.773656
0.490000 25.846049 27.985944 30.511927 30.693836 33.465748 36.621728
0.590000 28.945141 31.219616 33.909532 33.976787 36.545065 39.646220
0.690000 31.974735 34.420361 37.084239 37.083858 39.731833 42.530506
0.790000 35.025872 37.384991 40.182385 40.198323 43.117251 46.076029
0.890000 37.662447 40.195716 42.950570 43.064128 45.944985 48.632081
0.990000 40.504974 42.842560 45.771703 45.799443 48.713610 51.417751
1.090000 43.179008 45.553895 48.429262 48.462708 51.295282 53.864288
1.190000 45.585824 48.204695 51.028920 51.059686 53.891764 56.429122
1.290000 48.402768 50.770193 53.690418 53.664596 56.489534 58.961284
1.390000 51.339188 53.700800 56.429225 56.428111 59.034940 61.465380
1.490000 53.706707 56.682542 59.339419 59.282020 61.845255 64.650955
1.590000 56.838169 59.623967 62.536056 62.515092 65.213444 68.221596
1.690000 60.121974 62.764764 65.819947 65.894641 69.016022 72.207012
1.790000 63.467173 66.224623 69.297683 69.829299 73.014783 78.409892
1.890000 67.833168 71.178535 76.792177 80.564086 93.205377 104.780559
1.990000 72.725632 78.269740 91.914871 91.857803 105.361364 111.180643
2.090000 80.759449 92.786976 106.386177 103.359765 113.097854 116.032855
2.190000 96.474687 109.786876 115.972282 114.087614 118.625207 120.186793
2.235000 99.333962 114.642155 118.524919 116.894517 120.943631 122.603556
2.335000 106.875538 118.447231 121.944885 121.129482 124.861164 126.697272
2.435000 117.809838 122.996304 125.860102 125.330721 127.983008 130.072746
2.535000 125.170373 127.584329 129.571579 129.806715 131.795708 135.466173
2.635000 129.545675 131.622766 133.668560 137.456335 146.557438 169.195993
2.690000 132.170590 133.932637 136.348556 141.120349 152.044978 172.648520
2.835000 139.228203 145.340734 152.719053 156.128585 168.907288 178.884644
2.962500 149.093415 155.579231 166.023936 166.550169 177.970861 183.598562
3.090000 161.225294 166.838789 178.132156 176.511300 186.396086 189.152600
3.190000 172.076744 174.744336 184.682556 184.036651 191.656353 193.717388
3.235000 175.202356 178.603014 188.233449 186.991554 193.305469 195.706861
3.312500 180.160284 187.916993 194.172733 192.722337 197.009150 199.575895
3.390000 187.969411 195.621010 198.789667 198.188548 200.939440 203.799752
3.490000 193.259206 200.320678 203.428491 202.985933 205.760133 209.955819
3.590000 197.054922 204.584002 207.417600 207.263469 209.627727 217.305844
3.635000 198.644339 206.662548 209.361180 209.361572 211.553435 220.024294
3.735000 202.984049 211.540864 214.381282 214.516017 216.898250 227.916219
3.835000 206.730883 217.270252 221.730510 223.059415 230.466655 233.080163
3.935000 210.596236 230.493379 234.332473 232.424287 235.620415 236.683561
3.980000 213.206672 234.245070 236.343737 234.862283 237.496563 238.750186
4.090000 235.661023 238.352003 239.647253 239.124868 240.788115 241.725986
4.135000 238.090072 240.134420 241.281465 240.857039 242.412286 243.424906
4.235000 242.927621 244.374289 245.705149 245.443218 246.929636 248.494180
4.335000 246.562395 248.394713 250.143499 250.189935 251.968824 255.054461
4.435000 250.196267 252.563089 254.874241 255.370985 258.270580 262.968303
4.535000 253.714810 256.856868 260.369094 260.676749 264.508555 269.056331
4.635000 258.751029 262.405869 265.861230 266.191966 270.475522 273.870941
4.735000 265.323170 268.909702 271.574157 272.486571 276.464177 280.881744
4.835000 273.879271 277.388508 281.622704 283.533778 290.479619 297.370336
4.935000 279.649258 286.468796 292.302529 292.238086 298.713104 304.112824
