depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
0.010000 0.171899 0.785723 1.583920 1.544795 2.272276 2.839695
0.040000 0.643884 1.255547 2.111820 2.058730 2.793957 3.467723
0.060000 0.892138 1.545290 2.434858 2.399137 3.124147 3.859504
0.090000 1.331510 1.986929 2.951350 2.889269 3.641485 4.420486
0.100000 1.468541 2.165116 3.142280 3.072278 3.830450 4.607611
0.110000 1.638901 2.341755 3.324528 3.253028 4.006972 4.792923
0.140000 2.131609 2.836663 3.860524 3.768723 4.528921 5.443034
0.160000 2.443247 3.243910 4.220491 4.123550 4.876420 5.845302
0.190000 2.908662 3.739941 4.718785 4.637943 5.415208 6.350861
0.200000 3.081270 3.930813 4.889280 4.819087 5.591329 6.502015
0.210000 3.238104 4.107498 5.062252 4.991152 5.761571 6.668858
0.260000 4.058462 4.970550 5.841129 5.772071 6.500267 7.375352
0.310000 4.984823 5.813040 6.619964 6.580995 7.314612 8.147130
0.340000 5.610283 6.375934 7.135817 7.131063 7.818740 8.581861
0.350000 5.872512 6.603907 7.355565 7.337578 8.038626 8.810036
0.360000 6.090016 6.836871 7.591791 7.563115 8.245937 8.989976
0.390000 6.854458 7.543941 8.230534 8.232380 8.926298 9.666313
0.400000 7.071392 7.782881 8.476838 8.473688 9.158212 9.938962
0.410000 7.279858 7.999966 8.700960 8.696508 9.372771 10.136016
0.440000 7.971112 8.708819 9.421255 9.407091 10.149405 10.806695
0.450000 8.166525 8.936171 9.655116 9.662742 10.425610 11.101891
0.470000 8.732808 9.467712 10.276502 10.324702 11.164774 12.155084
0.570000 10.846757 12.315491 13.478036 13.576942 14.886428 16.743140
0.670000 14.341539 15.526456 16.603923 16.716723 18.023911 19.457758
0.720000 15.514035 16.686295 17.729761 17.897989 19.173422 20.729058
0.770000 16.293256 17.636550 18.750307 18.920129 20.367567 21.790219
0.820000 17.124083 18.498040 19.758123 19.901009 21.470007 22.795090
0.860000 17.692774 19.183866 20.517167 20.652166 22.354616 23.535255
0.870000 17.826480 19.364806 20.725070 20.842889 22.543474 23.707701
0.920000 18.675411 20.221634 21.664074 21.717494 23.352191 24.529239
0.970000 19.446938 21.054084 22.595052 22.577853 24.171382 25.366209
1.020000 20.363078 21.942258 23.448613 23.443740 24.993982 26.209115
1.070000 21.200818 22.720317 24.377403 24.303243 25.845705 27.095991
1.110000 22.051077 23.462511 25.065633 25.028801 26.567854 27.798208
1.150000 22.758211 24.195475 25.820021 25.779735 27.300721 28.568106
1.220000 24.200635 25.602851 27.126031 27.154629 28.594205 30.312895
1.270000 25.267257 26.703783 28.161491 28.241362 29.712303 31.813445
1.320000 26.178770 27.699246 29.263052 29.334825 30.922831 33.558104
1.360000 26.882942 28.492910 30.108908 30.191145 31.910110 34.498231
1.470000 28.821241 30.503828 32.387163 32.677579 34.875685 38.244107
1.520000 29.857482 31.535026 33.493777 33.894993 36.436793 40.013089
1.570000 30.960520 32.610609 34.721343 35.183744 38.069822 41.505500
1.620000 31.933780 33.739761 36.137924 36.600346 39.752654 43.046160
1.670000 33.033562 34.900995 37.706948 38.117086 41.699555 44.246520
1.700000 33.825567 35.688829 38.648236 39.020047 42.434596 45.340828
1.710000 34.157537 35.930557 38.977016 39.297889 42.677157 45.653992
1.720000 34.438959 36.199868 39.247698 39.578718 42.943567 45.912363
1.770000 35.760032 37.695991 40.970585 41.471320 45.128797 50.145085
1.820000 36.892255 39.297437 42.838692 43.626600 48.093154 55.585463
1.870000 38.102255 40.822644 45.514144 46.393767 52.037676 58.974974
1.920000 39.087471 42.359126 47.882265 48.938118 56.638011 60.977364
1.970000 40.410355 44.049504 49.843563 51.326277 59.580625 62.885816
2.070000 48.261590 59.673023 62.660614 61.788510 64.768649 66.304690
2.120000 51.252994 62.124935 64.446507 63.801505 66.249271 67.362301
2.170000 59.065376 63.736647 65.952898 65.312994 67.454814 68.607644
2.220000 61.611197 65.267069 67.204293 66.629083 68.548659 69.599659
2.270000 63.287654 66.838789 68.518492 67.978238 69.744703 70.790534
2.320000 65.351289 68.172935 69.654412 69.209350 70.780739 71.795366
2.370000 66.896782 69.622075 70.855753 70.489480 71.880692 72.977672
2.400000 68.347744 70.340515 71.562906 71.220131 72.569053 73.694140
2.450000 69.851947 71.472094 72.631624 72.364075 73.712859 74.823170
2.500000 71.112461 72.491342 73.635969 73.486326 74.800992 76.008403
2.550000 72.335798 73.614040 74.739814 74.839508 76.026126 77.355351
2.600000 73.340480 74.623487 75.846118 76.108225 77.084974 86.384375
2.630000 74.074958 75.252203 76.561194 76.832113 77.838908 87.520997
2.640000 74.293901 75.536289 76.801300 77.102779 78.117932 87.976749
2.650000 74.599567 75.838660 77.137377 77.408321 78.444870 88.314589
2.680000 75.610396 76.990958 78.436358 78.808491 79.934326 89.131295
2.700000 76.257200 77.725800 79.338947 79.770177 81.253491 89.596831
