depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
0.020000 20.736648 22.034767 23.405737 23.347119 24.591758 25.767535
0.070000 22.668910 24.513293 26.266563 26.253286 27.925383 30.234040
0.120000 24.408887 26.544855 28.491961 28.492351 30.252501 33.652963
0.170000 26.488259 28.477198 30.453033 30.551789 32.348490 36.352092
0.220000 28.303544 30.437218 32.575370 32.785052 34.881754 39.028135
0.270000 30.424498 32.712231 35.218698 35.388293 38.093522 41.059777
0.320000 32.625052 34.817662 37.971157 38.082553 41.113645 44.279502
0.370000 34.901952 37.547822 40.872894 40.923595 44.274908 47.382253
0.420000 37.673806 40.121032 43.929782 43.884332 47.279420 50.297286
0.470000 40.189225 43.356581 47.147380 46.953929 50.267515 53.536368
0.520000 42.767266 46.348129 50.163331 50.017599 53.425163 56.801832
0.570000 46.007299 49.419614 53.082081 53.022850 56.451142 60.037596
0.620000 48.687930 52.486369 55.991170 56.211826 59.984998 65.012480
0.670000 51.828400 55.618949 59.396818 59.704518 64.134857 69.869170
0.720000 54.988986 58.946899 63.150199 63.591360 69.313408 72.804354
0.770000 59.940418 64.451378 68.709764 68.534388 72.662067 75.402400
0.820000 68.632570 71.816008 74.365144 74.181938 76.859842 78.671006
0.870000 74.525319 76.862942 79.062568 78.824835 80.652099 82.206467
0.920000 78.740182 80.688100 82.216727 82.265034 83.866860 85.704689
0.970000 81.656137 83.634570 85.200970 85.396932 87.060484 90.339337
1.020000 84.833493 86.390478 88.317173 88.659163 91.103518 93.809289
1.070000 86.976078 89.476572 91.801466 91.923650 94.438342 96.857282
1.120000 90.359809 92.473452 94.935073 95.121823 97.757170 100.960470
1.170000 93.845835 95.715328 98.184976 98.394222 100.864650 104.118433
1.220000 96.570844 98.827639 101.484127 101.597686 104.222827 107.870536
1.270000 99.697284 102.119044 104.986898 105.159682 108.053062 111.306009
1.320000 102.988558 106.188404 109.412159 109.261308 112.071943 115.380422
1.370000 106.248248 110.747207 114.111256 113.950355 116.982484 120.083214
1.420000 113.733494 117.657392 121.456308 121.498398 125.719818 128.050788
1.470000 118.833761 126.716563 128.721962 128.284225 130.592093 132.268615
1.520000 129.237131 130.874886 132.640181 132.594199 134.333868 135.880811
1.570000 132.389851 134.006191 135.778014 135.847821 137.609147 139.681421
1.620000 135.061119 136.811602 138.707184 138.838766 140.809141 143.433838
1.670000 137.424217 139.313751 141.482665 141.650165 143.963187 147.027054
1.720000 139.710341 141.772077 144.285344 144.626087 147.366488 151.482296
1.770000 142.222497 144.342975 147.303214 147.715831 151.190402 155.246656
1.820000 144.536558 147.387608 150.792162 151.061982 154.843674 158.395682
1.870000 146.956899 150.703864 154.428586 154.532630 158.621353 161.419238
1.920000 149.583101 154.117094 158.251308 157.994126 161.747269 164.547721
1.970000 152.142325 157.648291 161.909239 161.592724 165.515772 169.026598
2.020000 154.846784 160.898815 165.357104 165.274776 169.922704 174.444968
2.070000 157.606347 163.659763 168.377161 168.486644 173.766517 178.226536
2.120000 160.934369 166.375919 171.612770 171.793276 177.479614 181.722995
2.170000 164.177620 169.437219 175.877880 175.303889 180.640378 185.003717
2.220000 168.531687 173.603969 179.750818 179.045994 183.658827 187.758476
2.270000 172.762553 178.567111 183.557961 182.970495 186.843875 190.717111
2.320000 177.884002 184.637577 187.411794 187.323804 190.324644 194.595093
2.370000 186.815985 189.458367 192.354754 195.782847 204.951368 221.328580
