depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
0.070000 0.525288 1.207778 1.942350 1.963765 2.701289 3.409617
0.120000 1.975883 2.885044 3.770851 3.733989 4.599235 5.428756
0.170000 3.587454 4.535421 5.516717 5.522099 6.496671 7.476275
0.220000 5.366772 6.439766 7.458048 7.466769 8.515787 9.600758
0.270000 7.826897 8.813337 9.863764 9.865005 10.912452 11.994086
0.320000 10.228572 11.470821 12.443294 12.380754 13.322484 14.114274
0.370000 13.141649 14.109987 14.999353 14.951021 15.731650 16.603713
0.420000 15.639003 16.514225 17.525240 17.539876 18.518407 19.862857
0.470000 17.352483 18.325598 19.560953 19.633584 20.945894 22.482140
0.520000 18.891818 19.968977 21.407608 21.549403 23.039050 24.908884
0.570000 20.472482 21.686516 23.451177 23.551089 25.350472 27.754241
0.620000 22.004507 23.648748 25.390108 25.466897 27.330009 29.567615
0.670000 23.882231 25.554501 27.338837 27.426905 29.387562 31.379546
0.720000 25.495172 27.299432 29.274980 29.326145 31.360226 33.567134
0.770000 27.386519 29.257535 31.336653 31.414885 33.557074 36.216624
0.820000 29.336244 31.282169 33.371768 33.605640 35.843038 39.402720
0.870000 31.037918 33.364291 35.623654 35.904965 38.577804 42.387847
0.920000 32.900981 35.221851 37.942170 38.297750 41.262100 45.413837
0.970000 34.600561 37.307092 40.635075 40.871900 44.491195 48.506084
1.020000 36.690853 39.649550 43.684892 43.683582 47.687293 51.515444
1.070000 38.819314 42.146760 46.665999 46.545853 50.760081 54.408079
1.120000 40.709948 44.941277 49.632623 49.376858 53.675841 57.335063
1.170000 42.835497 47.572755 52.592109 52.114000 56.834802 59.813846
1.220000 45.319711 50.212168 55.315423 54.788740 59.228392 62.076587
1.270000 47.185584 53.605610 58.178795 57.541362 61.444171 63.870899
1.320000 50.253239 57.303897 61.094117 60.481289 63.793206 65.757148
1.370000 53.307777 60.857623 63.822547 63.241255 66.041458 67.721248
1.420000 57.601720 63.506334 66.169347 65.691260 68.220388 69.648017
1.470000 60.385525 66.238286 68.476545 68.008282 70.085675 71.329318
1.520000 64.073111 68.804877 70.547510 70.147911 71.890298 73.094121
1.570000 67.768437 70.835715 72.412460 72.181869 73.779109 75.046713
1.620000 70.528892 72.635417 74.135231 74.045374 75.514048 76.884014
1.670000 72.437069 74.403676 75.881844 75.937761 77.293426 79.287740
1.720000 74.810027 76.463988 77.856210 78.077449 79.210550 85.444652
1.770000 77.188861 78.590223 80.037404 80.375815 81.473497 89.969022
1.820000 79.311741 80.595800 81.993495 82.637714 83.977582 93.658071
1.870000 80.891386 82.445385 84.010317 85.017590 87.086881 96.279326
1.920000 83.050441 84.414499 86.344924 87.699304 91.527802 98.509148
1.970000 85.254252 86.860973 89.673333 90.649581 94.717606 101.288994
2.020000 87.252980 89.724862 93.035920 93.673215 97.763530 103.706593
2.070000 89.542538 92.537829 96.015889 96.453091 100.806661 105.478056
2.120000 91.734172 95.286899 99.127533 99.261584 103.357794 107.734304
2.170000 94.840158 98.072167 102.122152 102.108428 105.867792 109.742631
2.220000 97.669125 101.523723 105.321543 105.120969 108.506814 111.786924
2.270000 101.123332 105.127824 108.499033 108.240639 111.542070 113.880252
2.320000 104.739495 108.783576 111.970115 111.540883 114.294192 116.098882
2.370000 108.799276 113.279472 115.426641 115.140180 117.167110 118.845604
2.420000 115.013668 117.014673 118.552222 118.543017 120.132369 121.603192
2.470000 118.075261 119.811328 121.288468 121.299378 122.817686 124.410543
2.520000 120.608833 122.192967 123.762324 123.712304 125.324607 126.506941
2.570000 123.213083 124.697480 126.316115 126.238821 127.716097 129.082243
2.620000 126.682513 127.998048 129.460413 129.511981 130.996420 132.550457
2.670000 129.621758 130.941759 132.513048 132.533752 134.157516 135.742498
2.720000 132.135986 133.822605 135.524214 135.551829 137.298526 139.218815
2.770000 134.333001 136.185731 137.866826 137.919450 139.733799 141.387514
2.820000 136.100253 138.141263 139.935586 139.954494 141.829790 143.466176
2.870000 138.397016 140.023570 141.845587 141.982243 143.936210 146.356757
2.920000 139.997702 141.780831 143.815270 143.966417 146.159445 148.837686
2.970000 141.910975 143.704088 145.718162 146.026964 148.491178 151.411649
3.020000 143.831181 145.616166 148.067998 148.256151 151.023958 153.769609
3.070000 145.666584 147.668041 150.448421 150.528213 153.539770 155.719115
3.120000 147.335009 149.978240 152.968857 152.855357 155.629028 157.999531
3.170000 149.522200 152.238920 155.386408 155.097680 157.676314 159.764636
3.220000 151.879046 154.812679 157.483016 157.232201 159.622907 161.593946
3.270000 154.157575 157.095251 159.437224 159.305075 161.526148 163.430117
3.320000 156.202692 159.406333 161.550624 161.500366 163.667347 165.635365
3.370000 159.284148 161.806270 163.751695 163.816374 166.047748 168.169379
3.420000 162.016208 163.986850 166.129516 166.282119 168.533280 171.386173
3.470000 164.322789 166.274029 168.711463 168.837255 171.151516 175.342682
3.520000 166.527379 168.771910 171.377948 171.687163 174.559962 178.961569
3.570000 168.431953 171.430218 174.219997 174.601850 178.039897 181.826165
3.620000 170.614543 174.334420 177.479148 177.490930 180.825470 184.513334
3.670000 173.210488 177.258927 180.125961 180.369326 184.097335 186.832315
3.720000 176.685638 179.849834 182.846496 183.042795 186.831052 188.867967
3.770000 179.868685 183.094155 185.714735 185.856118 189.027162 190.680872
3.820000 183.705197 186.522168 189.006462 188.759082 191.054902 192.321893
3.870000 188.341213 190.701624 192.220564 192.072767 193.557698 194.624986
3.920000 192.293003 193.659355 194.757858 194.839670 196.089602 197.445705
3.970000 194.973619 196.016548 197.209119 197.357664 198.654819 200.499255
4.020000 196.847928 198.023993 199.445081 199.595816 201.182937 203.326198
4.070000 198.620848 199.857046 201.479981 201.681041 203.560346 206.027163
4.120000 200.406522 201.804407 203.655642 203.949468 206.307560 208.569694
4.170000 202.198408 203.907047 206.345385 206.320087 208.761972 210.458411
4.220000 204.329100 206.402147 209.001855 208.790903 210.937626 212.215879
4.270000 206.317888 209.212701 211.571668 211.171157 212.986608 214.049955
4.320000 209.479371 212.062860 213.582656 213.363015 214.806847 215.676925
4.370000 212.092755 214.424674 215.588836 215.440278 216.531327 217.593492
4.420000 215.339367 216.662045 217.570120 217.612259 218.637582 220.005398
4.470000 217.779815 218.775359 219.834261 220.054348 221.380408 223.691329
4.520000 219.538090 220.657534 222.045211 222.379953 224.349583 226.814722
4.570000 221.562648 222.958008 224.756163 224.966679 227.043032 229.331629
4.620000 223.954523 225.617215 227.573290 227.717415 229.949257 231.951601
4.670000 227.194557 228.927617 230.773969 230.725476 232.613064 233.901322
4.720000 229.909129 231.805825 233.509739 233.284737 234.693662 235.609405
4.770000 232.948247 234.545079 235.726496 235.605136 236.660393 237.651927
4.820000 235.211569 236.381576 237.461152 237.497829 238.575253 239.907392
4.870000 237.146948 238.274866 239.346494 239.353216 240.462254 241.560791
4.920000 239.190606 240.264842 241.329917 241.322485 242.341954 243.485698
4.970000 241.467323 242.552291 243.484226 243.612075 244.788328 246.030505
5.020000 243.977614 244.994510 246.375124 246.524763 247.987075 249.927149
5.070000 245.870509 247.203270 248.833998 248.968492 250.557352 253.189681
5.120000 247.821623 249.380575 251.053948 251.227526 252.901028 255.896207
5.170000 249.913695 251.491665 253.111466 253.479893 255.540990 258.441227
5.220000 251.673954 253.754926 255.464643 255.920344 258.534760 261.374878
5.270000 253.492478 255.762478 257.792789 258.265877 261.162891 264.086211
5.320000 255.808456 257.770532 260.275016 260.548723 263.440965 266.145902
5.370000 257.784840 260.056084 262.883728 262.963386 265.856453 268.217316
5.420000 259.963947 262.494458 265.776134 265.501790 268.043578 271.078558
5.470000 262.798486 265.177762 268.434087 268.097425 270.557406 273.448535
5.520000 265.110551 268.136158 271.268194 270.878058 273.210931 275.467715
5.570000 267.973603 271.400199 273.922291 273.694738 276.100766 277.815262
5.620000 272.500228 275.009362 277.039359 276.882949 278.809425 279.905331
5.670000 276.813282 278.593388 280.075912 279.917312 281.185801 282.190075
5.720000 279.666612 281.166065 282.294346 282.219349 283.283054 284.236944
5.770000 281.762178 282.909697 283.853953 283.898543 284.932146 285.946906
5.820000 283.415024 284.494387 285.415811 285.443200 286.379478 287.451413
5.870000 284.975303 286.050166 287.068704 287.070510 288.012525 289.405655
5.920000 286.825622 287.760855 288.744315 288.886263 289.871546 292.208688
5.970000 288.351559 289.475237 290.610657 290.916025 292.358958 295.390404
6.020000 289.819571 291.020427 292.476064 292.909971 294.838584 298.357692
6.070000 291.263782 292.635575 294.487344 294.955289 297.405645 301.306190
6.120000 292.956627 294.531551 296.672047 297.138358 299.950053 303.734769
