depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
0.140000 0.034461 0.243236 0.682629 0.764470 1.269014 1.970783
0.190000 1.814260 2.702359 3.951981 4.343892 6.305764 8.404571
0.240000 4.075162 5.714397 7.508656 7.571229 9.478898 11.133725
0.290000 8.938722 10.449434 11.911754 11.778577 13.015820 14.065134
0.340000 12.455360 13.652041 14.606715 14.539810 15.468751 16.195253
0.390000 14.859036 15.762922 16.744728 16.762684 17.761877 18.852702
0.440000 16.441526 17.283379 18.493280 18.492627 19.623137 20.931244
0.490000 17.989855 18.979193 20.083117 20.148052 21.237830 22.759356
0.540000 19.407425 20.545180 21.810379 21.825242 22.993024 24.442531
0.590000 21.022052 22.143856 23.497080 23.494698 24.740071 26.213124
0.640000 22.531985 23.813963 25.136687 25.164052 26.478733 28.180869
0.690000 24.162439 25.455624 26.857994 26.932656 28.406066 30.089043
0.740000 25.704706 27.195683 28.691923 28.834951 30.496244 32.348802
0.790000 27.575216 29.125426 30.896805 30.959239 32.602970 34.956411
0.840000 29.774684 31.372511 33.210655 33.420040 35.374712 38.619528
0.890000 32.109898 33.649876 35.887467 36.178063 38.659548 42.646805
0.940000 34.077505 35.799951 38.480002 38.692966 41.455596 45.041339
0.990000 35.974890 38.072534 41.063263 41.367309 44.761852 47.852314
1.040000 38.249652 40.592226 43.827162 43.904492 47.214891 50.090321
1.140000 42.306075 45.841370 49.128886 48.972000 51.885626 54.807165
1.190000 44.364715 48.721275 51.717407 51.597280 54.576664 57.237595
1.240000 46.804956 51.401088 54.228556 54.116160 57.032367 59.930986
1.290000 49.327570 53.586606 56.657618 56.507872 59.472741 62.220655
1.340000 51.783200 55.910714 58.950332 58.871016 61.690833 65.034923
1.390000 54.691341 58.453465 61.598802 61.464892 64.416412 67.486110
1.440000 57.722158 61.340928 64.636795 64.350470 67.352770 69.675254
1.490000 60.397923 64.151191 67.360699 67.152162 70.298321 72.486208
1.590000 67.771501 70.150526 72.302651 72.691339 74.588179 87.250013
1.640000 70.813976 72.900316 74.898914 75.574751 76.982923 90.003195
1.690000 74.099458 76.108352 78.039018 79.031433 79.993452 93.318816
1.740000 77.674568 79.754557 81.608048 82.984953 84.166535 97.441783
1.790000 80.337337 82.462991 84.961359 86.979841 94.031591 101.558107
1.840000 82.718859 85.702383 90.187199 91.458492 98.414022 105.720785
1.890000 85.440445 90.037945 94.476924 95.683179 102.589492 108.649818
1.940000 89.734223 93.883799 97.971501 99.420795 106.990965 112.087568
1.990000 94.473188 97.690989 101.649633 103.204477 110.895057 114.653826
2.040000 97.763595 100.798897 105.402609 106.712218 114.326628 116.531366
2.090000 101.132927 104.652769 111.092036 110.697725 116.545484 118.479490
2.140000 104.382582 110.565921 116.107330 115.095191 118.920755 120.559536
2.190000 116.346277 118.427113 120.405813 120.264634 122.052335 123.658744
2.240000 119.897240 121.409898 122.946911 122.928864 124.448070 125.995028
2.340000 124.848140 126.263882 127.520700 127.594319 128.934763 130.648407
2.390000 127.465110 128.632422 129.966784 130.064684 131.517457 133.022519
2.440000 129.591068 131.112091 132.584170 132.667523 134.218534 135.758599
2.490000 132.564950 134.301255 136.170304 136.260832 138.176837 140.470567
2.540000 135.407926 137.285747 139.391431 139.469548 141.614971 144.173369
2.620000 138.915047 141.981790 144.443388 144.481952 147.092862 150.184291
2.670000 141.904533 144.751959 147.516678 147.605362 150.628143 153.676019
2.720000 143.861306 147.009114 150.095340 150.243929 153.735954 156.518039
2.770000 145.925931 149.151590 152.748894 152.764587 156.524663 159.383717
2.820000 147.969919 151.374903 155.230336 155.128586 158.938401 161.898397
2.870000 150.294782 153.536075 157.749745 157.475589 161.230454 164.010767
2.920000 152.908099 155.926360 160.069494 159.792672 163.418047 166.153509
2.970000 155.208451 158.383859 162.181445 161.970159 165.263474 168.100476
3.020000 157.480447 160.885456 164.327397 164.110440 167.114302 170.100010
3.070000 159.886246 163.312046 166.439191 166.255150 169.046710 172.114625
3.120000 161.848543 165.562045 168.473527 168.324040 171.053288 174.341836
3.170000 164.063238 167.790712 170.565168 170.525674 173.216660 176.704551
3.220000 166.230269 170.200065 172.952031 172.896320 175.648000 178.751441
3.270000 168.266155 172.092362 175.624530 175.245182 178.150303 180.692447
