depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
0.010000 0.034339 0.212451 0.646368 0.734743 1.270847 1.868651
0.110000 2.299804 3.260932 4.284523 4.285363 5.287439 6.220035
0.150000 3.498765 4.666174 5.910589 5.845138 6.931356 8.101280
0.210000 6.017651 7.054768 8.131369 8.118870 9.196374 10.202524
0.240000 7.389092 8.327093 9.277679 9.310238 10.324356 11.223688
0.310000 9.745343 10.553482 11.440088 11.440451 12.356905 13.071716
0.340000 10.676971 11.426167 12.305918 12.295415 13.167199 13.949413
0.350000 10.957834 11.697448 12.585277 12.577441 13.435169 14.241729
0.410000 12.427498 13.159422 14.011787 14.002217 14.809821 15.780248
0.440000 13.303824 14.012080 14.816361 14.872100 15.733073 16.691422
0.510000 15.748284 16.457542 17.588003 18.040263 19.637160 23.461065
0.540000 16.744793 17.596081 19.114715 19.512060 21.482539 24.599544
0.600000 18.603609 20.199669 22.414710 22.544743 24.738664 27.294112
0.640000 19.987768 22.125951 24.430064 24.437837 26.673221 29.100326
0.700000 23.091486 25.546393 27.870658 27.810386 30.095139 32.279358
0.740000 25.404688 27.567707 29.811728 29.827118 32.194817 34.316592
0.810000 28.392500 30.480135 32.840905 32.863877 35.180583 37.640704
0.840000 29.598414 31.726484 33.952668 34.008066 36.325117 38.706280
0.910000 32.014565 34.132100 36.451624 36.554196 38.947201 41.569729
0.940000 32.908179 35.070465 37.510744 37.571990 40.053336 42.561377
1.010000 34.984787 37.102012 39.854290 39.821814 42.387530 44.983012
1.110000 37.619323 39.878843 43.015386 42.883025 45.714915 48.124534
1.140000 38.666116 40.910931 44.029370 43.866337 46.625477 49.108901
1.210000 40.638236 43.069454 46.320810 46.111699 48.849433 51.682529
1.240000 41.616137 44.028883 47.266187 47.063632 49.718901 52.911507
1.310000 43.791008 46.295480 49.473709 49.330935 52.048274 54.878211
1.340000 44.694610 47.411088 50.424850 50.307980 53.145052 55.779569
1.410000 46.659385 49.663478 52.671369 52.496422 55.289207 57.586695
1.440000 47.508270 50.574216 53.680599 53.423486 56.141947 58.472505
1.540000 50.267493 53.700118 56.596799 56.365258 58.811414 61.213472
1.610000 52.869595 55.954577 58.512235 58.389933 60.670801 63.050279
