depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
0.000000 1.007529 1.732308 2.475672 2.450027 3.207509 3.692708
0.050000 1.987667 2.835300 3.650249 3.574842 4.323931 4.806991
0.060000 2.277444 3.098888 3.872013 3.827505 4.581747 5.151181
0.080000 2.685475 3.624435 4.379135 4.333478 5.062295 5.766494
0.100000 3.278725 4.054922 4.860973 4.846870 5.599278 6.325175
0.120000 3.671883 4.561626 5.364553 5.345411 6.109949 6.856191
0.140000 4.299195 5.119653 5.886475 5.881579 6.661879 7.416419
0.160000 4.810065 5.643344 6.417121 6.431222 7.225386 8.066884
0.180000 5.338862 6.202504 6.953221 7.012419 7.880417 8.861998
0.200000 5.904641 6.794259 7.592496 7.681695 8.625441 9.750680
0.220000 6.496770 7.474868 8.447990 8.602013 9.731174 11.883440
0.240000 10.613001 13.961116 14.919106 14.716432 15.649101 16.352019
0.260000 14.064664 14.908499 15.659139 15.625472 16.311889 17.177666
0.280000 14.892465 15.647772 16.277846 16.285955 16.931719 17.778784
0.300000 15.437906 16.142190 16.780867 16.819152 17.493100 18.485970
0.320000 15.940538 16.619665 17.256758 17.328396 18.046480 18.957447
0.340000 16.369941 17.123797 17.741717 17.837470 18.589842 19.657955
0.360000 16.898575 17.577173 18.235339 18.355672 19.174025 20.225760
0.380000 17.362884 18.061970 18.750057 18.864374 19.766441 20.795085
0.400000 17.903243 18.511218 19.270859 19.370108 20.275034 21.207692
0.420000 18.321858 18.965814 19.764475 19.869085 20.822408 21.784612
0.440000 18.774804 19.447774 20.287083 20.373343 21.317133 22.344178
0.460000 19.272219 19.981239 20.811912 20.891473 21.806762 22.823636
0.480000 19.749865 20.448621 21.309052 21.394507 22.337105 23.324975
0.500000 20.203094 20.963264 21.851780 21.904327 22.850287 23.993738
0.520000 20.691288 21.501194 22.367320 22.412085 23.374726 24.487601
0.540000 21.213593 21.979705 22.855952 22.917208 23.881503 24.900370
0.560000 21.689527 22.491089 23.372734 23.440856 24.429435 25.543618
0.580000 22.104024 22.962753 23.905515 23.953500 24.937166 26.001207
0.600000 22.637722 23.473565 24.443231 24.482595 25.492183 26.535614
0.620000 23.090166 24.028577 25.002242 25.025110 25.993764 27.096417
0.640000 23.555527 24.591289 25.513024 25.564595 26.581272 27.793015
0.660000 24.117141 25.074730 26.088590 26.127791 27.238436 28.360773
0.680000 24.666048 25.657663 26.665463 26.712771 27.860974 28.887145
0.700000 25.200604 26.178865 27.293474 27.331326 28.530497 29.508895
0.720000 25.828392 26.821592 27.931970 27.986335 29.206391 30.319254
0.740000 26.349855 27.466619 28.590078 28.637182 29.896646 30.953709
0.760000 26.920168 28.052176 29.235372 29.279107 30.563653 31.575557
0.780000 27.554005 28.711939 29.991324 29.981318 31.251012 32.405939
0.800000 28.197257 29.465942 30.759062 30.720602 31.974210 33.136574
0.820000 28.860224 30.158070 31.489240 31.461837 32.750648 33.846951
0.840000 29.753220 30.969313 32.319332 32.276596 33.494004 34.812180
0.860000 30.428482 31.731246 33.103434 33.039188 34.249520 35.698955
0.880000 31.124512 32.556925 33.857225 33.817016 35.032630 36.392249
0.900000 31.954714 33.310270 34.600060 34.565643 35.813408 37.160689
0.920000 32.652494 33.995321 35.311705 35.292421 36.580669 37.854020
0.940000 33.220270 34.671095 36.028876 36.009131 37.456254 38.526016
0.960000 33.965632 35.287573 36.718336 36.709301 38.119540 39.287195
0.980000 34.564390 35.964998 37.401052 37.411730 38.855017 40.106238
1.000000 35.183154 36.645108 38.126015 38.121117 39.568001 40.824223
1.020000 35.788151 37.291192 38.860066 38.849711 40.326079 42.032657
1.040000 36.371268 37.994880 39.574788 39.587432 41.227190 42.818946
1.060000 36.971913 38.669462 40.377614 40.335880 42.020632 43.576722
1.080000 37.725122 39.458912 41.113652 41.086710 42.746383 44.304693
1.100000 38.314242 40.189058 41.902905 41.866912 43.575688 45.046849
1.120000 38.977193 40.979197 42.649912 42.615927 44.338423 45.699731
1.140000 39.771470 41.689808 43.466642 43.366276 45.011078 46.376193
1.160000 40.549812 42.503609 44.232628 44.132864 45.755531 47.083560
1.180000 41.584269 43.349175 44.971084 44.920079 46.475396 47.859141
1.200000 42.565142 44.069682 45.718447 45.670571 47.214865 48.517824
1.220000 43.136040 44.784826 46.479393 46.400462 47.950591 49.138960
1.240000 44.034054 45.494994 47.212816 47.117343 48.663782 49.812990
1.260000 44.834839 46.220239 47.984586 47.830146 49.383786 50.487475
1.280000 45.681679 47.033643 48.619897 48.558970 50.013240 51.220989
1.290000 45.985936 47.357946 48.925291 48.892770 50.334784 51.656920
1.300000 46.409528 47.712575 49.228549 49.245473 50.685084 51.945136
1.320000 47.286840 48.486947 49.968253 49.966371 51.451968 52.669129
1.340000 47.878318 49.228594 50.745244 50.668328 52.070337 53.248160
1.360000 48.572434 49.966204 51.418475 51.354599 52.677791 53.886707
1.380000 49.328430 50.692363 52.109934 52.036554 53.377401 54.609268
1.400000 49.977025 51.363111 52.744292 52.712349 54.035721 55.232889
1.420000 50.477096 52.043875 53.460895 53.389114 54.736249 55.738229
1.440000 51.243683 52.684118 54.137368 54.051404 55.373185 56.374298
