depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
0.130000 0.663352 1.313548 2.080216 2.091632 2.877863 3.667955
0.180000 3.061465 4.036160 5.023206 5.089605 6.120401 7.374768
0.230000 6.163886 7.298716 8.426694 8.461678 9.680497 10.850038
0.280000 9.373272 10.758870 11.898213 11.840179 12.928157 13.916600
0.330000 12.532304 13.773752 14.883664 14.875438 15.910418 17.217003
0.430000 16.731684 18.117669 20.228808 20.218557 22.098872 24.128216
0.480000 18.890662 20.627149 22.808244 22.832495 24.972472 26.909749
0.530000 21.366161 23.264245 25.471949 25.478825 27.589601 29.995658
0.580000 23.853380 26.044957 28.265102 28.211334 30.366623 32.449823
0.630000 26.313016 28.630513 30.942446 30.833661 33.043619 34.912847
0.680000 28.769208 31.080226 33.394975 33.311326 35.478002 37.452326
0.730000 30.791982 33.331012 35.568373 35.551868 37.790843 39.825463
0.780000 32.850888 35.443519 37.760719 37.734857 40.036653 42.277960
0.830000 34.606602 37.408562 39.900580 39.827246 42.254258 44.377349
0.880000 36.515735 39.588529 42.032375 41.993687 44.359846 46.662996
0.930000 38.682749 41.904218 44.377828 44.251487 46.584836 49.006473
0.980000 41.258057 44.173785 46.651999 46.488999 48.864426 51.193849
1.090000 46.166066 48.834676 51.137156 51.063660 53.169216 56.131548
1.140000 48.164196 50.922616 53.190686 53.201464 55.445217 58.393241
1.190000 50.391407 52.990374 55.242226 55.373497 57.600624 60.852805
1.240000 52.668823 55.235958 57.421511 57.834135 60.161081 66.330133
1.290000 55.005085 57.634517 60.107815 60.849796 64.319374 70.282091
1.340000 57.863547 60.585784 64.876721 65.122531 69.806880 73.329352
1.390000 61.117362 66.040212 70.301765 69.649092 72.908079 75.394480
1.440000 67.819957 71.453885 73.755300 73.672600 75.708366 79.250507
1.490000 71.945393 74.614192 76.521691 76.721602 78.114571 88.369678
1.540000 76.236988 78.071277 79.507426 80.050653 80.999946 92.888438
1.590000 80.333359 81.733275 82.993991 83.600649 84.413595 97.336992
1.640000 83.637221 85.353718 86.594718 87.408176 88.691796 100.408603
1.690000 87.185752 88.613785 90.399607 91.246445 93.221954 104.475510
1.790000 93.568887 97.027085 100.646601 100.937777 104.536816 111.181637
1.840000 96.234510 102.065620 106.306796 106.079595 110.240159 114.143277
1.890000 100.933875 107.250973 111.870115 111.259212 115.226892 118.045995
1.940000 107.071682 114.959970 117.969143 117.729467 121.106073 125.174407
1.990000 114.334335 119.653227 123.805271 123.128553 126.646450 128.800543
2.040000 120.076542 126.778805 128.777831 128.342536 130.512780 132.124723
2.090000 128.716495 130.779853 132.498100 132.347670 134.092404 135.531979
2.140000 132.819898 134.548476 136.238080 136.298200 138.098886 139.951233
2.190000 135.523640 137.442693 139.280927 139.295810 141.103534 143.119260
2.240000 138.560184 140.212228 141.973383 142.002104 143.753285 145.789884
2.290000 140.923316 142.773743 144.583117 144.572208 146.427086 148.312021
2.340000 143.309524 145.177915 146.946518 147.008924 148.954882 150.975956
2.390000 145.504630 147.534719 149.269796 149.388314 151.335601 153.241330
2.440000 147.672595 149.685200 151.605114 151.694162 153.781123 155.980978
2.490000 149.917300 151.911603 153.846631 153.930119 156.003285 158.293617
2.590000 154.004019 155.981882 157.911327 157.964969 159.838995 162.280144
2.640000 156.244741 158.183422 160.092636 160.214171 162.288550 164.806801
2.690000 158.479889 160.431577 162.498352 162.650617 164.713905 168.428543
2.790000 162.591574 165.202462 167.766674 168.127022 170.940752 176.386878
2.840000 165.496910 168.132041 171.234363 171.621469 175.344838 179.754026
2.940000 170.713274 175.543714 179.466171 179.107949 182.806774 185.298362
2.990000 174.536798 179.452357 182.912388 182.582868 185.816174 187.577174
3.040000 178.721719 183.727081 186.441473 185.942186 188.244556 190.028003
3.090000 182.804800 187.677879 189.527986 189.257251 191.178441 192.813232
3.140000 188.418650 191.343600 193.001287 193.082462 195.070342 197.718270
3.190000 193.432282 195.724624 198.691043 199.179190 202.691729 207.141867
3.240000 195.701372 200.550982 205.394282 204.891972 208.995579 212.104212
3.290000 199.630803 206.102266 211.654325 210.740875 214.922839 216.782033
3.340000 204.233609 213.053971 217.469642 216.169479 218.977272 220.691698
3.390000 212.941004 219.530081 221.175721 220.998804 222.950284 225.230608
3.490000 222.615559 224.480624 227.009393 226.914988 229.364590 231.061991
3.540000 225.345587 227.521458 230.844252 230.337232 232.673754 234.018174
3.590000 229.763567 233.611381 235.193369 234.967044 236.425586 237.981678
3.640000 236.451134 237.979019 239.191335 239.223953 240.475204 242.062891
3.740000 243.831903 245.365478 247.195631 247.708472 249.881342 255.156745
3.790000 247.015898 249.090261 251.199626 251.496851 253.809292 257.887920
3.840000 249.649705 252.390487 254.804456 254.871682 257.361090 260.378448
3.890000 252.754443 255.257416 257.804289 257.815505 260.411146 263.114068
3.940000 255.230254 257.933628 260.487694 260.465669 263.272012 265.525195
3.990000 257.794525 260.295496 263.140778 263.097510 266.016299 267.650999
4.065000 261.233494 264.292464 267.384954 266.974132 269.484599 271.162208
4.140000 264.447145 268.481988 271.260668 270.689530 272.740907 274.072461
4.190000 266.759899 271.468045 273.360437 272.978419 274.694409 276.117825
4.240000 270.471458 273.751399 275.182586 275.003304 276.487967 277.909326
4.290000 273.972823 275.660393 276.883480 276.842313 278.158846 279.339943
4.390000 277.658276 278.830155 279.912265 279.920161 281.022803 282.155674
4.440000 279.427037 280.441640 281.454231 281.457197 282.452270 283.626479
4.490000 281.164925 281.961473 283.021121 283.043067 284.028962 285.250047
4.540000 282.629510 283.512923 284.594657 284.635326 285.775139 286.973299
4.590000 283.878609 284.999689 286.170948 286.203534 287.415051 288.752114
4.640000 285.378841 286.555290 287.777834 287.953973 289.422639 291.027016
