depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
0.200000 9.365668 10.236932 11.196409 11.202492 12.180532 12.943740
0.290000 11.700121 12.945450 14.089870 14.153796 15.366173 16.909220
0.380000 14.568329 15.693091 16.842613 16.908991 18.084230 19.597206
0.490000 16.777626 17.835948 19.045435 19.197349 20.559877 22.369573
0.590000 18.334343 19.476653 20.916739 21.042842 22.640759 24.571925
0.720000 20.308584 21.607490 23.306311 23.467220 25.363171 27.453996
0.850000 22.403675 23.797784 25.644935 25.868863 27.967346 30.276754
0.990000 24.749015 26.114161 28.001208 28.285821 30.508171 32.794168
1.100000 26.661018 28.125885 30.191837 30.447338 32.758148 35.597362
1.175000 27.965469 29.649430 31.687918 32.040903 34.449419 37.769084
1.250000 29.351944 31.165651 33.379441 33.738841 36.361978 40.124080
1.390000 31.988241 34.074991 36.811442 37.055087 40.206931 43.749449
1.493333 34.061797 36.326590 39.446998 39.701597 43.128201 46.374444
1.596667 36.267877 38.900001 42.251786 42.395318 46.172271 48.919996
1.700000 38.207094 41.381119 45.105432 45.114577 48.987572 51.549288
1.775000 40.015077 43.251823 47.141512 47.046843 51.077042 53.450357
1.850000 41.631140 45.175502 49.153322 49.001703 52.944422 55.337605
1.980000 44.335849 48.315432 52.567656 52.181987 55.920281 58.547682
2.100000 47.168140 51.317960 55.817752 55.158618 58.516047 61.113203
2.190000 50.039864 54.301572 58.055659 57.552957 60.561810 63.306642
2.300000 52.988232 57.875459 60.978117 60.543646 63.139202 66.057803
2.390000 55.531863 60.389621 63.069039 62.813442 65.183107 68.566947
2.490000 58.567480 63.028534 65.396437 65.373538 67.399507 71.982950
2.590000 61.962385 65.796312 67.706984 67.967313 69.559568 81.385754
2.690000 66.527372 68.637739 70.088975 70.639637 71.760458 87.061752
2.720000 67.798565 69.470340 70.847838 71.473072 72.607657 87.760302
2.750000 68.751716 70.362020 71.638101 72.305196 73.471343 88.543135
2.810000 70.710720 71.940654 73.486540 74.595063 75.482082 89.990369
2.840000 71.500413 72.905789 74.508523 75.643696 76.645900 90.835308
2.900000 73.347764 74.996577 77.007878 80.343480 90.175286 94.098089
2.960000 75.622411 77.748507 89.374710 86.695508 95.258289 97.630038
3.000000 78.204266 80.067642 95.440240 90.925002 97.864869 99.253523
3.020000 79.440755 80.731348 96.312956 91.752103 98.575837 99.899126
3.050000 80.522811 81.630954 97.585958 92.969167 99.429716 100.957267
3.080000 81.416486 82.390325 98.599906 93.975511 100.365256 101.744026
3.100000 81.912854 82.843527 99.192973 94.548416 100.911485 102.380688
3.110000 82.181305 83.098317 99.489281 94.842666 101.252707 102.686464
3.140000 82.764421 83.696672 100.372196 95.775716 102.207978 103.595142
3.170000 83.480056 84.407627 101.326741 96.796477 103.155787 104.600753
3.200000 84.225735 85.203962 102.334327 97.794028 104.180748 105.486781
3.260000 85.766875 87.229069 104.458092 100.609832 106.191911 107.640915
3.300000 86.644582 88.852346 105.800838 102.177045 107.564634 109.125661
3.320000 87.247109 89.859762 106.493846 102.876107 108.208141 109.738241
3.350000 88.279774 90.952217 107.459735 103.937932 109.177430 110.829452
3.380000 89.471527 92.251589 108.411731 105.029353 110.113539 111.838955
3.400000 89.996676 93.090591 109.055903 105.717935 110.769084 112.434795
3.440000 91.376687 94.623634 110.396607 107.186746 112.157806 113.658114
3.450000 91.508019 95.014886 110.778727 107.527486 112.478220 113.934723
3.470000 92.230535 95.744169 111.549994 108.270365 113.119072 114.641772
3.500000 93.546452 97.176536 112.834254 109.673118 114.373414 115.756847
3.530000 94.745442 99.119902 114.236399 111.125474 115.731003 117.038770
3.550000 95.362891 99.899832 115.029800 111.895543 116.472497 117.931778
3.560000 95.697639 100.521153 115.479996 112.315885 116.886969 118.239895
3.620000 114.539511 117.328275 118.895367 118.672672 120.380006 122.372481
3.650000 118.131472 119.458528 120.811230 120.880691 122.261426 124.072945
3.680000 119.975533 121.099241 122.436942 122.458491 123.806764 125.374098
3.700000 120.703686 122.005644 123.431069 123.394778 124.805454 126.171880
3.750000 122.882035 124.637261 126.166102 126.058112 127.498516 128.665243
3.780000 125.963264 127.142910 128.316070 128.307491 129.481007 130.563218
3.800000 127.036543 128.068848 129.137136 129.135669 130.244432 131.296674
3.830000 128.043416 129.060369 130.149523 130.133236 131.166089 132.093526
3.850000 128.763210 129.712905 130.746046 130.772582 131.803319 132.700506
3.880000 129.675998 130.656811 131.696334 131.702663 132.712720 133.665451
3.950000 131.875646 132.901904 133.784104 133.809356 134.710624 135.660555
4.000000 133.452861 134.494410 135.325658 135.358182 136.295341 137.232861
4.010000 133.710512 134.776899 135.646510 135.670519 136.604439 137.574290
4.040000 134.738075 135.721517 136.572822 136.609543 137.550739 138.627768
4.070000 135.792611 136.558994 137.454831 137.505021 138.470629 139.441183
4.100000 136.540591 137.383259 138.289158 138.337748 139.290389 140.402300
4.130000 137.247021 138.146772 139.082238 139.153035 140.205598 141.237748
4.140000 137.600378 138.440509 139.357372 139.433654 140.491339 141.496119
4.160000 138.225340 138.937379 139.895801 139.974248 141.055553 142.088059
4.190000 138.934815 139.731956 140.658302 140.747911 141.832626 142.923819
4.200000 139.210799 140.008233 140.938272 141.024327 142.095732 143.198603
4.220000 139.736841 140.556037 141.467833 141.575294 142.665580 143.740866
4.250000 140.490967 141.374668 142.322885 142.403711 143.488700 144.493917
4.280000 141.318227 142.124726 143.136769 143.212390 144.304462 145.285858
4.310000 142.091246 143.008015 144.073748 144.110629 145.183673 146.363157
4.340000 142.889600 143.901219 144.996691 145.024870 146.134562 147.305499
4.360000 143.493149 144.516033 145.630796 145.679444 146.807340 148.046200
4.370000 143.827052 144.827043 145.973733 146.015664 147.126231 148.364499
4.410000 145.017563 146.078227 147.213604 147.260696 148.405414 149.705964
4.440000 145.976119 147.036782 148.221637 148.258625 149.454528 150.781130
4.470000 146.907918 148.009419 149.193463 149.225293 150.467080 151.835533
4.520000 148.298193 149.314934 150.629699 150.681578 152.030720 153.292514
4.560000 149.266422 150.399691 151.801704 151.832317 153.271039 154.661231
4.620000 150.678777 152.017610 153.416702 153.520505 155.043773 156.485526
4.680000 152.388111 153.691216 155.185725 155.227606 156.837021 158.221529
4.710000 153.240269 154.615069 156.117991 156.161671 157.737217 159.164493
4.750000 154.404601 155.910458 157.472721 157.475815 159.051593 160.432248
4.760000 154.745627 156.252450 157.802882 157.815716 159.399887 160.689952
4.770000 155.035047 156.603235 158.128947 158.147990 159.742941 160.990301
4.800000 156.017365 157.662357 159.085199 159.091083 160.575139 161.770609
4.830000 156.978404 158.646879 160.046037 160.024230 161.444562 162.674797
