depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
0.250000 8.123813 9.031301 9.869974 9.832566 10.673028 11.447031
0.300000 10.649819 11.578348 12.551977 12.603139 13.660188 14.659155
0.400000 14.260325 15.258369 16.263727 16.330760 17.433998 18.971154
0.450000 15.554361 16.492667 17.502196 17.669701 18.889467 20.538024
0.500000 16.815436 17.651053 18.725016 18.891977 20.159925 21.773906
0.550000 17.920698 18.821578 19.959248 20.091086 21.425750 22.996899
0.600000 18.833887 19.975518 21.174328 21.272595 22.547184 24.217804
0.650000 19.951070 21.170859 22.350679 22.448632 23.751862 25.416268
0.700000 21.019993 22.333379 23.571363 23.649611 24.950459 26.814978
0.750000 22.269840 23.423575 24.808014 24.857457 26.169304 28.271514
0.800000 23.319283 24.599866 26.015151 26.099921 27.484460 29.535800
0.850000 24.459994 25.864417 27.258925 27.410618 28.969355 31.100958
0.900000 25.785363 27.190732 28.740208 28.913506 30.565200 33.187597
0.950000 27.072357 28.634706 30.321569 30.582295 32.506474 35.558823
1.000000 28.466054 29.975820 31.863192 32.264773 34.505146 38.240998
1.050000 29.797227 31.346771 33.515236 34.057718 36.880523 40.798394
1.100000 31.208762 32.901919 35.372921 36.036132 39.317215 43.996447
1.150000 32.692177 34.646540 37.461382 38.296912 42.432230 47.411823
1.250000 35.366869 37.856967 41.658587 43.009228 47.971932 58.421562
1.300000 37.308984 39.743103 44.364045 45.589404 51.096106 61.414406
1.350000 38.843425 42.061479 47.541614 48.415675 54.634015 63.377605
1.400000 41.134461 45.033447 50.514662 51.426211 57.909139 64.997449
1.450000 43.607301 47.934230 54.374174 54.543256 61.317330 66.660866
1.500000 45.609994 51.488202 58.094770 57.881581 64.488205 68.250028
1.550000 48.532339 54.663663 62.217645 61.218288 67.700119 69.533462
1.600000 51.856108 58.185747 65.958702 64.370632 69.641423 71.539136
1.650000 54.992285 62.892752 69.370625 67.719498 71.449351 73.254559
1.700000 58.066565 69.749067 71.863652 70.874193 73.398124 75.118585
1.750000 61.360043 72.047081 73.599113 73.243899 75.226764 77.280366
1.800000 71.243957 73.678726 75.273782 75.298028 76.822452 80.317185
1.850000 73.254853 75.332945 76.925899 77.210092 78.730259 85.197599
1.900000 75.106329 76.934792 78.747363 79.191924 80.970726 87.832154
1.950000 76.571732 78.615274 80.793643 81.304828 83.685286 91.199698
2.000000 78.160873 80.313247 83.013041 83.662310 86.806613 94.073408
2.050000 79.927564 82.021407 85.073126 85.760618 89.233095 96.478437
2.100000 81.911035 83.910279 87.039463 87.835452 91.337127 99.448336
2.150000 84.701023 86.653609 89.660540 90.264978 92.994580 102.536640
2.200000 86.836302 89.405064 92.324135 92.845835 95.193122 104.821253
2.250000 89.303415 92.434534 95.052204 95.533960 97.839979 106.640645
2.300000 92.261434 95.366835 97.834207 98.321941 101.021493 108.509214
2.350000 95.178400 97.529081 100.439513 101.010692 104.381693 110.235939
2.400000 97.985992 100.208305 103.068153 103.880076 108.177461 111.934623
2.450000 101.176798 103.753722 107.439643 107.569730 111.741978 113.540653
2.500000 104.038474 108.171057 112.165586 111.383593 114.098616 115.321758
2.550000 110.335804 113.873671 115.375821 115.085401 116.487949 117.657674
2.600000 114.849356 116.192055 117.238574 117.278083 118.435893 120.045953
2.650000 116.892519 118.034324 119.174313 119.308272 120.637886 122.782032
2.700000 118.868800 119.916786 121.280557 121.525054 123.268632 124.974987
2.750000 120.948387 122.126296 123.803016 123.848989 125.554892 126.875672
2.800000 122.910061 124.798588 126.434308 126.242025 127.624839 128.552044
2.850000 125.632545 127.235986 128.418193 128.330322 129.424721 130.224017
2.900000 127.918548 129.212406 130.205086 130.124596 131.087655 131.866374
2.950000 129.527361 130.669319 131.701056 131.655866 132.646307 133.583003
3.000000 130.891650 132.016983 133.149171 133.155666 134.273857 135.395519
3.100000 134.178062 135.529776 136.967714 138.526473 141.130573 154.390344
3.150000 136.297818 137.583575 139.743678 141.542228 144.968609 158.015994
3.200000 138.397895 140.119744 143.363614 144.894598 148.946590 161.316987
