depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
0.060000 2.250609 2.995028 3.840617 3.818461 4.627925 5.417308
0.100000 4.526334 5.513093 6.436612 6.433768 7.371061 8.267690
0.140000 7.537618 8.344873 9.198279 9.182861 10.000322 10.794741
0.170000 9.788999 10.563108 11.347375 11.392343 12.245783 13.052525
0.200000 12.004890 12.856510 13.704070 13.728694 14.539984 15.502476
0.230000 14.269699 15.184517 16.198176 16.521285 17.434290 22.043669
0.260000 16.887103 18.146021 20.372664 21.015247 23.772527 28.361699
0.290000 19.768782 22.076859 25.507107 25.963459 29.346035 35.740642
0.320000 23.356328 26.353644 29.936339 30.661595 34.686073 42.616443
0.350000 27.797013 30.864342 34.939067 36.152438 41.434136 51.248104
0.380000 31.135850 35.554018 40.298476 41.857653 47.838426 64.858908
0.410000 35.665915 40.844975 46.616454 47.868873 53.702254 70.262003
0.440000 41.197449 46.012889 52.279326 53.856243 59.659349 76.269841
0.470000 45.836686 51.835439 57.382558 59.379993 70.003824 79.658623
0.500000 51.673791 57.012983 62.663047 65.077816 74.317838 83.985675
0.540000 59.704318 68.312200 72.107172 73.357112 81.831242 88.492105
0.570000 71.302538 73.574918 76.098065 78.497391 87.086509 91.084708
0.590000 73.979403 75.855436 78.581803 81.268144 89.777458 93.022815
0.620000 77.198204 79.155360 83.453316 85.232126 93.102117 95.733843
0.660000 81.170382 83.149502 91.293019 90.160990 96.491312 98.516287
0.690000 83.848527 88.722385 95.505399 94.426196 98.932434 101.201999
0.720000 88.532192 94.824795 98.534924 97.992240 101.384263 103.624543
0.750000 94.396520 98.444758 101.340318 101.145202 104.026375 106.496336
0.780000 98.554451 101.659408 104.362319 104.233927 106.958283 109.216454
0.810000 102.363690 105.130179 107.580760 107.482191 109.918928 111.923391
0.840000 106.662411 108.855676 111.229806 111.076751 113.244323 115.010209
0.870000 111.035622 113.805770 116.442906 116.411340 118.659613 122.394211
0.910000 115.082221 118.000285 124.577248 123.262060 127.429283 128.835789
0.940000 117.512876 125.555390 128.922106 127.782164 130.348070 131.432997
0.970000 126.288967 129.864409 131.558553 131.301688 133.021616 134.369342
1.000000 132.770108 134.059785 135.386358 135.541016 136.988924 139.085246
1.030000 135.763412 137.018731 138.559983 138.811338 140.564945 143.470754
1.060000 138.544449 139.956121 141.570388 142.084855 144.124204 148.802032
1.090000 141.605786 143.160044 145.143256 145.960998 148.569166 156.061638
1.130000 145.596119 147.524456 150.467495 151.559851 156.092437 163.184543
1.160000 149.192912 151.518826 154.816462 156.298313 162.479170 168.734183
1.190000 153.328633 156.389965 159.852445 161.311983 167.245175 173.540821
1.220000 158.064151 162.443564 167.400900 167.995055 174.024726 179.900085
1.250000 163.462809 167.758544 173.180234 173.501027 179.603745 184.095951
1.280000 168.586199 173.675626 179.039672 178.894774 184.347020 188.213361
1.310000 173.585176 180.670388 185.704460 184.836596 188.403846 192.274850
1.340000 187.143649 189.550554 191.878816 192.199022 195.050626 198.828481
1.370000 191.507913 193.352890 197.599278 197.749266 201.866608 206.073758
1.400000 194.149405 196.493429 203.342014 202.411647 207.782936 209.743531
1.430000 197.980010 200.260574 208.561374 207.013554 212.030312 214.108788
1.460000 201.154797 204.689000 212.878926 211.228716 215.378104 217.143308
1.510000 208.141078 215.249980 218.519057 217.735657 220.369896 221.914427
1.540000 217.242562 220.528505 222.029761 222.029881 223.718764 225.602016
1.570000 221.885432 223.602228 225.233262 225.409708 226.972430 229.550441
1.600000 224.758605 226.617676 228.294868 228.721796 230.324119 234.418767
1.630000 227.908799 229.723303 231.709863 232.917232 235.020046 246.160888
1.660000 231.554072 233.538249 242.147842 240.367910 245.979755 250.519239
1.690000 240.116121 245.612278 248.492388 248.978419 253.198862 258.231050
1.720000 246.846072 248.852985 252.174566 253.149793 258.424803 262.055238
1.750000 250.043789 252.150774 255.651664 256.773061 262.519575 265.997742
1.780000 252.978489 255.298661 259.784830 260.330200 265.738159 269.154896
1.810000 255.997710 258.917712 263.890919 263.991242 268.954029 272.350487
1.840000 259.307953 263.207858 268.522931 268.097593 272.316435 275.804114
1.870000 262.543421 267.807172 273.390785 273.043845 277.151769 286.459418
1.900000 266.248322 273.545641 279.771973 281.175506 290.671342 293.934296
1.930000 270.827157 278.304658 293.030605 289.750439 295.637257 298.796339
1.960000 279.080079 294.393249 297.763454 297.007717 300.178214 305.718682
