depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
0.050000 3.255235 3.969997 4.785375 4.811152 5.681401 6.423561
0.150000 4.693494 5.604274 6.459735 6.458879 7.347779 8.064092
0.250000 6.362016 7.226539 8.226282 8.219822 9.191728 10.039821
0.300000 7.311480 8.316076 9.419894 9.366591 10.357311 11.423663
0.350000 9.276297 10.259230 11.293485 11.297256 12.353436 13.220467
0.450000 11.488628 12.569059 13.530031 13.479752 14.359146 15.209921
0.500000 12.544689 13.531553 14.349266 14.336257 15.160313 15.917705
0.550000 13.794489 14.529653 15.252885 15.285742 16.075669 16.856935
0.650000 15.473978 16.292454 17.173814 17.395148 18.369615 20.788388
0.750000 17.135259 17.877851 19.076985 19.391939 20.893603 23.650233
0.850000 18.626122 19.591126 21.239207 21.694605 23.897588 27.078347
0.983333 20.704225 22.396503 25.406568 25.985828 29.358691 35.170547
1.116667 23.375228 26.221310 30.582843 30.772376 34.963035 40.470583
1.250000 27.118022 30.619638 35.073984 35.278680 39.590864 44.966388
1.350000 29.377031 33.325686 37.439911 37.783687 42.044265 48.401653
1.450000 31.442630 35.675786 39.600658 39.960573 44.003944 50.522217
1.550000 34.082017 38.157275 41.441756 42.062400 45.656898 53.472951
1.665000 36.734676 40.575202 43.375187 44.228623 47.639509 56.347671
1.780000 39.478773 42.535528 45.145463 46.254289 49.630992 58.773731
1.850000 41.024214 43.928054 46.318195 47.546013 50.971185 60.315296
1.950000 42.758740 45.559469 48.100646 49.293058 52.626620 63.453168
2.050000 44.635945 47.152905 49.658906 51.023868 53.930271 66.710220
2.150000 46.181319 48.844829 51.335168 52.737185 55.459671 69.406645
2.250000 47.818906 50.343945 52.885277 54.408161 57.045150 70.795388
2.330000 49.117443 51.584519 54.088268 55.685994 58.220739 72.236950
2.470000 51.069591 53.578125 56.175791 57.815569 60.497203 74.148168
2.600000 53.166113 55.537105 57.946214 59.850236 63.539871 75.907438
2.700000 54.592221 57.039050 59.387038 61.510400 69.369587 77.550091
2.800000 56.320806 58.609835 60.902958 63.215773 71.337844 79.180892
2.900000 58.040621 60.310069 62.430734 65.066619 74.085225 81.222695
3.026667 60.329163 62.586824 64.997785 67.664128 77.739390 84.298131
3.153333 63.113167 65.276627 67.510526 70.516350 81.715217 87.095300
3.280000 66.089859 68.282490 70.363786 73.553903 86.590541 89.952034
3.350000 69.084172 70.685904 72.699007 75.733385 88.397335 91.528361
3.450000 72.155270 73.648675 75.726430 78.585360 90.677617 93.728665
3.550000 74.173565 75.845285 78.084357 80.858111 92.533757 95.686793
3.650000 76.130897 77.903903 80.086283 83.000332 94.174951 97.631713
3.725000 77.617739 79.384776 81.809182 84.580584 95.689284 99.184701
3.800000 79.223428 80.925834 83.367667 86.193026 97.163176 100.682407
3.900000 81.228683 83.220026 85.613872 88.421053 99.326423 102.413455
4.000000 83.323253 85.405600 87.897635 90.640554 101.392524 104.097270
4.100000 85.118945 87.504908 90.336461 92.868571 103.319139 105.947643
4.200000 86.994445 89.459180 92.463526 95.225086 105.016210 107.397352
4.300000 89.060266 91.589506 94.945846 97.724726 106.574795 108.912900
4.400000 91.370242 94.027605 99.935501 100.587053 108.169803 110.240500
4.500000 94.925455 98.231918 103.993413 103.973905 109.673100 111.554215
4.600000 100.405970 104.845605 108.278408 107.997766 111.376168 113.088310
4.700000 105.299737 109.068246 111.415350 111.082538 113.319454 114.688814
4.750000 106.794767 111.211944 113.214323 112.808563 114.615480 115.727788
4.850000 113.064036 115.238197 116.442482 116.396512 117.649686 119.497220
4.970000 117.302478 118.683605 120.180955 120.559378 122.499246 126.092580
5.050000 119.522109 121.176940 123.519926 123.635390 126.215210 128.075013
5.150000 123.286106 126.031662 128.113298 127.774732 129.512087 130.582016
5.250000 128.861956 130.054078 131.257944 131.203025 132.412146 133.459260
5.350000 132.027750 133.121429 134.308209 134.399301 135.690588 137.324824
5.450000 134.025719 135.008151 136.333577 136.420575 137.855722 139.288624
5.550000 135.448579 136.659559 137.999641 138.083289 139.531546 141.198637
5.650000 136.858929 138.152033 139.565725 139.632956 141.061289 142.767966
5.750000 138.358158 139.652190 141.104718 141.216730 142.732496 144.672647
5.840000 139.447162 141.026645 142.590347 142.761118 144.427740 147.356664
5.930000 140.756437 142.305454 144.055347 144.350371 146.172910 149.939407
6.050000 142.504915 144.119221 146.140175 146.575513 148.872776 153.120030
6.100000 143.321749 145.030258 147.194142 147.671488 150.323700 154.468668
6.175000 144.437632 146.358614 149.038489 149.484278 152.623035 156.410512
6.250000 145.803905 147.809939 150.926711 151.335460 155.262980 158.272805
6.300000 146.733358 148.757800 152.287367 152.555905 156.459896 159.125591
6.400000 148.579709 151.187890 154.886281 154.936431 158.498676 161.345653
6.530000 150.877455 155.156143 158.184150 158.072126 161.069690 164.065488
6.640000 153.336277 158.012396 160.753008 160.718536 163.641989 166.276899
6.750000 155.997756 160.704735 163.310961 163.323638 166.300500 169.171323
6.800000 157.763367 161.800337 164.459993 164.508844 167.515597 170.403407
6.900000 160.627762 163.738787 166.618318 166.667743 169.819371 172.471674
6.975000 162.605397 165.238212 168.176423 168.319982 171.607246 173.836952
7.050000 164.352809 166.887375 169.952068 169.975793 173.116614 175.521537
7.150000 166.253862 168.763998 172.160415 172.000270 175.114437 177.464670
7.230000 167.940878 170.421398 173.757693 173.603184 176.824171 178.822841
7.300000 169.512500 171.969710 175.158525 175.046936 177.970163 179.985378
7.400000 171.668937 174.255410 177.187670 177.072845 179.860786 181.567894
7.450000 172.877179 175.384526 178.361209 178.155365 180.813098 182.549589
7.550000 175.056769 177.726751 180.343735 180.128940 182.572151 183.999654
7.650000 177.368160 180.041286 182.459443 182.225750 184.334228 185.573920
7.700000 178.697668 181.392606 183.595958 183.364628 185.273796 186.574013
7.780000 180.950396 183.433826 185.491119 185.245424 186.920169 188.301036
7.880000 183.434713 186.541531 188.174871 188.189100 189.772821 192.782922
7.990000 187.122626 189.569469 192.091185 192.647871 196.101767 201.004637
8.100000 190.746953 192.926961 196.237474 197.184566 201.956383 206.389092
8.180000 193.021484 195.144862 198.366299 199.698616 205.331410 208.857051
8.250000 195.077930 197.017296 200.372671 201.736707 207.817664 210.743885
8.320000 197.235218 199.031002 202.402480 203.700878 209.901834 212.443733
8.400000 199.144474 201.066757 204.992007 205.876801 211.687253 213.891914
8.520000 201.651369 204.211703 209.339461 209.184074 214.000044 216.051884
8.630000 204.414685 207.973822 212.724604 212.274171 216.245825 217.996350
8.750000 207.956538 212.189867 216.103075 215.545479 218.612151 220.197579
8.850000 211.731872 216.252754 219.053734 218.608739 220.918088 222.857519
8.950000 218.486692 220.621253 222.361517 222.591544 224.793858 227.629893
9.050000 221.502523 223.253202 225.658946 225.729058 228.280452 230.328992
9.150000 224.049637 226.389273 228.901089 228.645587 230.768529 232.013626
9.250000 226.387484 229.583329 231.599569 231.279982 232.982652 234.222390
9.350000 229.498838 232.162908 233.909533 233.793443 235.422253 237.260721
9.450000 232.059223 234.277579 236.195766 236.212573 238.289977 240.559802
9.550000 234.653226 236.534806 238.390591 238.672998 241.079369 243.292198
