depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
187.535000 1814.337079 1814.652061 1815.379196 1815.341855 1816.018798 1816.226444
187.635000 1815.539150 1816.324106 1817.405675 1817.734667 1819.049256 1822.443204
187.735000 1816.898887 1817.985429 1819.529761 1820.214362 1822.622196 1827.231234
187.835000 1818.420664 1819.807254 1821.927851 1822.792234 1826.328124 1830.736464
187.935000 1819.977022 1821.671847 1824.502791 1825.402671 1829.619595 1834.235303
188.035000 1821.529777 1823.469562 1827.186247 1827.851473 1832.216929 1837.429167
188.135000 1822.925174 1825.577708 1830.073489 1830.362103 1834.743180 1839.711727
188.235000 1824.717229 1827.951927 1832.657791 1832.892674 1837.425337 1842.260166
188.335000 1826.370236 1830.294813 1835.069888 1835.202913 1839.710647 1845.003891
188.475000 1829.121410 1833.368434 1838.216149 1838.429116 1842.791173 1852.031078
188.615000 1832.406693 1836.506698 1841.221606 1841.635470 1845.332441 1860.445156
188.755000 1835.746938 1839.954658 1844.223860 1844.726279 1848.088448 1867.028814
188.895000 1839.523063 1843.312366 1846.987623 1847.870931 1850.473814 1876.131355
189.035000 1843.494979 1846.629017 1849.851187 1850.984676 1852.911399 1882.626073
189.135000 1845.843514 1849.125769 1852.002588 1853.061536 1854.716580 1885.664452
189.235000 1847.710142 1851.273568 1854.097277 1855.219740 1856.568407 1888.882548
189.335000 1850.687755 1853.794543 1856.214140 1857.426380 1858.406746 1891.818632
189.435000 1854.039953 1856.660737 1858.585331 1859.893182 1860.659539 1894.675311
189.535000 1857.288884 1859.092291 1860.923737 1862.333271 1862.837449 1896.926017
189.635000 1859.587343 1861.334684 1863.170885 1864.565938 1865.066521 1898.637518
189.735000 1861.921023 1863.318848 1865.139547 1866.613245 1867.154972 1900.306159
189.835000 1863.721898 1865.185729 1867.016569 1868.521782 1869.212344 1901.914416
189.935000 1865.365386 1866.910819 1868.901742 1870.410165 1871.250531 1903.497043
190.035000 1867.229072 1868.774234 1870.814002 1872.398311 1873.384187 1904.991847
190.135000 1868.972565 1870.730805 1872.868232 1874.592779 1875.887028 1906.218182
190.235000 1871.326730 1872.997091 1875.411312 1877.563985 1879.864233 1907.778961
190.335000 1873.031433 1875.503241 1878.867058 1881.197345 1886.012394 1908.916084
190.435000 1875.329129 1879.112492 1884.317599 1886.278825 1893.601365 1910.195046
190.535000 1879.692314 1885.633090 1892.213364 1892.431969 1897.596888 1911.629948
190.635000 1883.599483 1893.893324 1898.330104 1898.545808 1903.719264 1912.905384
190.685000 1885.974386 1896.102031 1900.018937 1900.367774 1905.675296 1913.706984
190.785000 1894.148612 1899.879911 1904.498715 1904.629136 1909.811034 1915.359078
190.885000 1900.600701 1904.730604 1908.719497 1908.737620 1913.005172 1916.993998
190.985000 1905.655909 1910.003699 1913.615953 1913.214903 1916.837470 1919.325890
191.085000 1910.832106 1914.151759 1917.041235 1916.768162 1919.769472 1922.053043
191.185000 1914.161812 1917.029066 1919.648848 1919.353637 1922.026143 1924.123763
191.285000 1916.683450 1919.389227 1921.823724 1921.604515 1924.066452 1926.383363
