depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
0.000000 0.632558 1.508865 2.336308 2.277701 3.054045 3.698772
0.010000 1.029533 1.887226 2.715547 2.653531 3.421446 4.028104
0.020000 1.387788 2.239334 3.080801 3.005779 3.756787 4.358671
0.030000 1.708595 2.584509 3.419540 3.354676 4.103379 4.722708
0.040000 2.036345 2.918379 3.778164 3.706744 4.462367 5.068538
0.050000 2.401390 3.249186 4.108510 4.055685 4.810083 5.443038
0.060000 2.718022 3.645380 4.470972 4.412173 5.163598 5.819049
0.070000 3.118086 3.981983 4.832518 4.770897 5.525836 6.228682
0.080000 3.493799 4.339421 5.182001 5.124289 5.887894 6.618394
0.090000 3.889863 4.661661 5.552171 5.476903 6.230594 6.954985
0.100000 4.257173 5.015357 5.904886 5.841803 6.575574 7.329223
0.110000 4.631206 5.388480 6.275514 6.222162 6.964486 7.780955
0.120000 5.032769 5.780388 6.668279 6.624306 7.392482 8.246950
0.130000 5.457996 6.153661 7.060927 7.022010 7.786120 8.659478
0.140000 5.840582 6.570124 7.511241 7.454365 8.266138 9.127632
0.150000 6.129791 6.966453 7.930542 7.878125 8.698078 9.558516
0.160000 6.615446 7.452473 8.368638 8.316642 9.117140 9.923934
0.170000 7.103588 7.984834 8.845100 8.804599 9.577778 10.407578
0.180000 7.647886 8.536360 9.334488 9.315811 10.114396 10.901275
0.190000 8.152117 9.060041 9.818841 9.824296 10.616072 11.427749
0.200000 8.581110 9.517910 10.294575 10.300862 11.103360 11.885689
0.210000 9.070550 9.967590 10.709964 10.724799 11.504931 12.329969
0.220000 9.667401 10.429175 11.172568 11.209853 12.017534 12.846971
0.230000 10.214067 10.980460 11.782714 11.807806 12.667776 13.542483
0.240000 10.829525 11.575322 12.481745 12.512031 13.501167 14.343965
0.250000 11.654410 12.656759 13.633227 13.583881 14.515299 15.145841
0.260000 12.891133 13.802409 14.689436 14.606961 15.354488 15.894067
0.270000 13.903476 14.807855 15.513741 15.469307 16.152264 16.750335
0.280000 14.766845 15.520214 16.127328 16.132429 16.774929 17.520886
0.290000 15.350162 16.046677 16.676501 16.729677 17.393629 18.511737
0.300000 15.690119 16.448913 17.149788 17.241705 18.026695 19.305059
0.310000 16.093340 16.873567 17.639685 17.742797 18.595705 20.054780
0.320000 16.424868 17.276127 18.076496 18.224297 19.199005 20.716358
0.330000 16.771676 17.656704 18.539682 18.711414 19.786191 21.447608
0.340000 17.090570 18.081563 19.034781 19.200443 20.342244 22.185792
0.350000 17.459008 18.479283 19.566992 19.699760 20.827364 22.875053
0.360000 17.826028 18.891682 20.054069 20.183856 21.393465 23.537159
0.370000 18.207267 19.284185 20.555894 20.636926 21.876930 24.026872
0.380000 18.581047 19.679937 20.972508 21.086294 22.414356 24.467732
0.390000 19.032175 20.131347 21.405634 21.540481 23.001416 24.905500
0.400000 19.397967 20.545534 21.881754 22.021191 23.530287 25.393143
0.410000 19.889606 21.034721 22.339789 22.516796 24.019970 26.021321
0.420000 20.417821 21.515218 22.819812 22.999750 24.512510 26.723911
0.430000 20.867714 22.054821 23.285782 23.487060 24.991817 27.393687
0.440000 21.272786 22.494868 23.733561 23.995596 25.605503 27.960455
0.450000 21.790742 23.018990 24.261774 24.547526 26.249710 28.672448
0.460000 22.183125 23.577881 24.792950 25.137690 26.921146 29.410016
0.470000 22.783990 24.128659 25.445299 25.764078 27.489163 30.065245
0.480000 23.204449 24.635984 26.086971 26.343770 28.036470 30.860742
0.490000 23.679055 25.125857 26.692080 26.920427 28.661676 31.456567
0.500000 24.230057 25.599806 27.292723 27.534850 29.377924 32.311430
0.510000 24.719916 26.088037 27.939911 28.171982 30.214958 33.273049
0.520000 25.295046 26.682099 28.614706 28.864011 30.898040 34.321900
0.530000 25.744592 27.238729 29.426622 29.579607 31.802225 35.251411
0.540000 26.184708 27.722614 30.072136 30.270910 32.526670 36.395074
0.550000 26.638243 28.261699 30.766228 30.983593 33.521171 37.278045
0.560000 27.243568 28.845365 31.489429 31.693010 34.382323 38.085115
0.570000 27.721333 29.379469 32.158076 32.394096 35.204261 38.729933
0.580000 28.192695 30.014967 32.797763 33.087571 36.008992 39.493472
0.590000 28.614096 30.656351 33.582834 33.816408 37.049039 40.127212
0.600000 29.118176 31.305261 34.256189 34.521898 37.770372 40.707883
0.610000 29.653715 31.983456 35.006768 35.222156 38.513055 41.230733
0.620000 30.274224 32.660994 35.644248 35.905712 39.310273 41.758549
0.630000 30.751507 33.510775 36.418940 36.598704 40.058701 42.551774
0.640000 31.318921 34.177996 37.191628 37.286939 40.635554 43.027808
0.650000 31.852249 34.806384 37.899997 37.983128 41.300341 43.702930
0.660000 32.685638 35.507660 38.708467 38.711869 42.013849 44.263445
0.670000 33.189947 36.173973 39.440977 39.413015 42.676250 44.883557
0.680000 33.863995 36.913112 40.253030 40.114574 43.399648 45.428396
0.690000 34.703095 37.681725 40.922751 40.803919 43.977829 45.976455
0.700000 35.456763 38.329979 41.619597 41.481364 44.557567 46.546374
