depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
0.250000 0.378745 1.173849 2.143803 2.107866 3.055357 3.781182
0.300000 0.852006 1.676622 2.654437 2.628467 3.595310 4.179720
0.350000 1.222706 2.180915 3.173118 3.130178 4.101397 4.785884
0.400000 1.677104 2.623639 3.648677 3.602997 4.562780 5.293068
0.450000 2.111610 3.056609 4.174397 4.095371 5.048976 5.698035
0.500000 2.651626 3.550621 4.688192 4.577565 5.476079 6.248288
0.550000 3.069826 4.030604 5.145463 5.050571 5.988519 6.664106
0.600000 3.612854 4.522289 5.656361 5.554543 6.463971 7.218429
0.650000 4.031977 5.065644 6.131342 6.050553 6.971508 7.713976
0.700000 4.575383 5.581842 6.619389 6.527675 7.416656 8.207016
0.750000 5.006962 6.120788 7.100483 7.018362 7.890367 8.660904
0.800000 5.548664 6.642512 7.575627 7.503307 8.390451 9.109268
0.850000 6.115150 7.185924 8.056399 8.008238 8.869826 9.621883
0.900000 6.612325 7.717793 8.552244 8.523470 9.384488 10.093623
0.950000 7.280445 8.263115 9.082660 9.066423 9.905895 10.535387
1.000000 7.965990 8.845794 9.621685 9.623086 10.418479 11.052302
1.050000 8.686616 9.440948 10.304299 10.252596 10.995470 11.739530
1.100000 9.501367 10.247497 11.040677 11.000433 11.717446 12.397850
1.140000 9.945859 10.752108 11.519941 11.498933 12.257083 12.918838
1.200000 10.534600 11.402344 12.142664 12.120374 12.863487 13.484022
1.300000 11.423795 12.312215 12.997630 12.980846 13.684188 14.253524
1.350000 12.010205 12.840495 13.492825 13.475764 14.141266 14.665985
1.410000 12.789868 13.546274 14.173438 14.147963 14.750672 15.244356
1.450000 13.273216 14.056414 14.724145 14.673499 15.253337 15.778214
1.550000 14.965372 15.575085 16.187418 16.253977 16.928618 17.882757
1.600000 15.737081 16.329728 17.023700 17.108133 17.888597 19.012003
1.650000 16.340190 16.909899 17.669920 17.776499 18.620903 19.892116
1.700000 16.698730 17.346789 18.217915 18.337709 19.317000 20.768076
1.750000 17.172882 17.811413 18.747835 18.893888 19.994666 21.394274
1.800000 17.660520 18.301809 19.278904 19.441531 20.632694 22.141657
