depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
0.030000 1.898390 2.754777 3.584508 3.520903 4.297420 4.950395
0.080000 3.161821 3.997256 4.790157 4.738157 5.438631 6.153989
0.100000 3.725656 4.551659 5.328156 5.286334 6.033447 6.731460
0.130000 4.527050 5.337351 6.120847 6.093293 6.830502 7.569198
0.180000 5.900530 6.680392 7.442147 7.449366 8.208844 9.049114
0.200000 6.390086 7.274296 8.072444 8.061945 8.882300 9.707757
0.230000 7.251740 8.147869 8.939737 8.970992 9.868546 10.720388
0.280000 8.842354 9.656734 10.499301 10.550840 11.472164 12.361596
0.300000 9.426072 10.310183 11.141623 11.211341 12.190653 13.100690
0.330000 10.453949 11.199825 12.100280 12.153278 13.113767 14.082988
0.380000 12.114883 12.982541 14.001550 13.954892 14.835083 15.721817
0.400000 12.883821 13.763620 14.782743 14.756292 15.720709 16.587594
0.430000 13.820854 14.783226 15.803804 15.867683 16.850565 18.346019
0.500000 16.287881 17.370352 18.695386 19.070429 20.829220 23.461797
0.580000 18.675507 20.249152 22.715171 22.896629 25.446050 29.138320
0.600000 19.332731 21.074759 23.638312 23.894326 26.559547 30.151641
0.630000 20.646127 22.578028 25.182506 25.515217 28.490343 32.714755
0.680000 22.835890 24.981041 27.684658 28.319676 31.732921 36.818411
0.700000 23.793244 25.955719 28.756977 29.426877 33.301032 37.930440
0.730000 25.038022 27.403148 30.475197 31.077113 34.966571 39.323194
0.780000 27.535046 30.265491 33.762692 34.165203 38.329273 42.068703
0.800000 28.537537 31.194846 34.980797 35.274726 39.456449 42.884830
0.830000 30.141798 32.669643 36.921381 36.938577 41.123331 44.201216
0.880000 32.439418 35.585533 39.897864 39.682935 43.601394 46.139838
0.900000 33.307139 36.693507 40.973107 40.728234 44.532881 46.872767
0.930000 35.010827 38.307759 42.433800 42.218680 45.868459 48.479903
0.980000 37.118948 41.216526 44.678787 44.616173 48.030821 50.699921
1.000000 38.120167 42.320334 45.637242 45.598149 48.994940 51.966477
1.030000 39.905802 43.842603 47.133483 47.055235 50.342806 53.427221
1.080000 42.749187 46.041007 49.376295 49.397178 52.781932 56.054031
1.100000 43.741220 47.045640 50.425613 50.417366 53.722428 57.010719
1.130000 45.653778 48.702946 51.912009 51.957068 55.348268 58.510289
1.180000 48.214298 51.183358 54.479400 54.479906 57.836606 60.501868
1.200000 49.328464 52.220778 55.662165 55.581194 58.921733 61.416833
1.230000 51.018155 54.084674 57.500264 57.310996 60.636525 62.735360
1.280000 53.796714 56.619357 60.343390 59.992743 62.938647 64.919764
1.300000 54.693271 57.894262 61.560793 61.147381 63.977212 65.982176
1.330000 56.738965 60.051067 63.122450 62.792943 65.292482 67.573429
1.380000 59.863103 63.497939 65.457829 65.413047 67.496211 69.734890
1.400000 61.469521 64.647332 66.491953 66.465857 68.480197 70.569408
1.430000 63.724651 66.133734 67.816796 67.931492 69.927151 72.100516
1.480000 66.026779 68.230053 70.079615 70.363331 72.441596 76.367263
1.500000 66.992400 69.326535 71.226216 71.528396 73.841837 77.749925
1.530000 68.561822 70.801026 73.204708 73.548462 76.441632 80.616054
1.580000 70.652869 72.893366 76.218968 76.684074 80.591878 84.868315
1.600000 71.733602 73.862370 77.557977 77.924759 82.222173 86.502950
1.630000 73.353835 75.599909 79.761165 80.011724 84.461120 88.570161
1.680000 75.978761 78.865747 83.670500 83.634215 88.127770 91.531841
1.700000 76.749764 79.972574 85.009034 84.877337 89.457408 92.540232
1.730000 78.373748 81.813463 86.935829 86.700071 91.323858 94.198985
1.780000 80.997900 85.095700 90.259515 89.690273 93.775828 96.950012
1.800000 82.038287 86.086359 91.473291 90.810522 95.001640 98.346255
1.830000 83.912849 87.643441 93.135256 92.480254 96.601258 99.607110
1.880000 86.411096 90.131290 95.777050 95.079599 99.537736 101.906746
1.900000 87.310087 91.169385 96.734037 96.048787 100.457222 102.851111
1.940000 89.096823 93.044521 98.555001 97.868141 101.918053 104.436014
1.990000 90.870831 95.437791 100.741444 100.042235 103.915562 105.930549
2.000000 91.243573 95.942639 101.191237 100.493010 104.393110 106.323713
2.030000 92.515575 97.417042 102.467274 101.694539 105.461102 107.330372
2.090000 94.687472 100.774180 104.544249 103.966622 107.345465 109.104753
2.100000 95.045815 101.189425 104.948403 104.377351 107.785805 109.434155
2.120000 96.096215 102.084797 105.644318 105.175317 108.463317 109.998370
2.180000 99.459583 104.515733 107.767004 107.317751 110.338178 111.952791
2.200000 100.589708 105.245271 108.498830 108.069197 111.047556 112.603820
2.230000 102.490342 106.440947 109.593426 109.195281 112.049216 113.475345
2.290000 104.752861 108.678993 111.756377 111.329873 113.947997 115.219757
2.300000 105.299437 109.194644 112.122083 111.742913 114.331761 115.542523
2.330000 106.573572 110.632440 113.318695 112.970012 115.360911 116.553269
2.380000 109.242091 112.848253 115.273770 114.897624 116.963493 117.990604
2.400000 110.333092 113.896157 116.089163 115.756614 117.675230 118.667800
2.430000 112.383355 115.509954 117.367998 117.072716 118.693504 119.456395
2.480000 116.752084 118.340532 119.548174 119.470862 120.647385 121.871470
2.500000 117.859721 119.270522 120.514416 120.403982 121.479289 122.727003
2.550000 119.890880 121.153354 122.293213 122.228322 123.302083 124.390174
2.580000 120.923182 122.214732 123.357209 123.331768 124.481687 125.667748
2.600000 121.729874 122.964701 124.139471 124.124123 125.316209 126.458841
2.630000 123.111634 124.323794 125.476687 125.503737 126.713963 127.893000
2.680000 126.020720 127.307291 128.624072 128.668350 130.050542 131.652734
2.700000 127.368338 128.688926 130.265690 130.219119 131.714709 133.327829
2.730000 130.359554 132.215039 134.061066 134.216794 136.354293 138.939608
2.780000 134.030426 135.634315 137.672971 138.023673 140.468983 143.529919
2.800000 134.991249 136.760266 138.951376 139.289117 141.876017 145.045479
2.840000 136.565437 138.632666 141.232531 141.491778 144.444686 147.347278
2.880000 138.379964 140.456399 143.599034 143.687647 146.806900 149.863399
2.900000 139.328094 141.344258 144.604045 144.709498 147.939311 151.078103
2.930000 140.461797 142.705165 146.124095 146.216321 149.370798 152.782457
2.970000 142.177241 144.691000 148.266982 148.218831 151.523521 155.129272
3.000000 143.327221 146.188001 149.816484 149.777701 153.017814 157.734827
3.030000 144.743490 147.878265 151.267919 151.341034 154.637955 159.035398
3.080000 147.054426 150.665020 153.759754 153.939603 157.388955 161.155828
3.130000 149.691785 153.739061 156.526539 156.763298 160.410683 163.133594
3.180000 153.305030 156.741829 159.667541 159.831016 163.439121 165.369007
3.230000 156.552053 159.859199 163.068539 162.918167 166.026311 168.134120
3.280000 160.085957 162.653016 165.715453 165.505320 168.208146 170.400872
3.330000 162.425737 165.207940 167.901619 167.758431 170.342873 172.710774
3.380000 164.805733 167.388060 169.825004 169.822635 172.231799 174.861555
3.430000 167.210360 169.635175 171.839486 171.922384 174.225484 176.729164
3.480000 169.083038 171.596107 173.728028 173.843225 176.088913 178.885556
3.530000 170.854556 173.504960 175.727268 175.775172 178.187735 180.622177
3.580000 172.934650 175.229971 177.518123 177.568470 180.017519 182.596815
