age(kyr) mean(permil) sigma(permil)
0.000000 -2.610122 0.194023
0.100000 -2.611181 0.191610
0.200000 -2.613372 0.189174
0.300000 -2.615381 0.187827
0.400000 -2.615248 0.185984
0.500000 -2.613312 0.181290
0.600000 -2.609944 0.178781
0.700000 -2.602821 0.173745
0.800000 -2.594263 0.171992
0.900000 -2.584802 0.174386
1.000000 -2.575726 0.172789
1.100000 -2.567733 0.171802
1.200000 -2.562291 0.170697
1.300000 -2.557674 0.171814
1.400000 -2.557255 0.168334
1.500000 -2.557900 0.164629
1.600000 -2.557542 0.163323
1.700000 -2.556163 0.165075
1.800000 -2.555574 0.171035
1.900000 -2.551283 0.169089
2.000000 -2.545715 0.164265
2.100000 -2.541481 0.161832
2.200000 -2.539054 0.161574
2.300000 -2.536406 0.165434
2.400000 -2.535482 0.166231
2.500000 -2.535906 0.165650
2.600000 -2.536540 0.164379
2.700000 -2.535196 0.163108
2.800000 -2.533366 0.164242
2.900000 -2.532707 0.164450
3.000000 -2.532822 0.164044
3.100000 -2.532405 0.163933
3.200000 -2.532877 0.165677
3.300000 -2.533285 0.169981
3.400000 -2.530867 0.172082
3.500000 -2.525747 0.168086
3.600000 -2.519841 0.163685
3.700000 -2.513719 0.161750
3.800000 -2.507934 0.162380
3.900000 -2.503860 0.164669
4.000000 -2.501559 0.164223
4.100000 -2.500021 0.163189
4.200000 -2.498286 0.161446
4.300000 -2.496555 0.161728
4.400000 -2.495125 0.160735
4.500000 -2.494401 0.158832
4.600000 -2.494251 0.157969
4.700000 -2.494928 0.155286
4.800000 -2.495744 0.154826
4.900000 -2.495626 0.156278
5.000000 -2.493555 0.155780
5.100000 -2.490041 0.154122
5.200000 -2.485623 0.151499
5.300000 -2.480918 0.150771
5.400000 -2.476344 0.151360
5.500000 -2.473532 0.151456
5.600000 -2.472200 0.150977
5.700000 -2.471073 0.148624
5.800000 -2.469144 0.147733
5.900000 -2.466795 0.149030
6.000000 -2.462258 0.150107
6.100000 -2.455484 0.150148
6.200000 -2.448554 0.148376
6.300000 -2.441778 0.146799
6.400000 -2.434949 0.146014
6.500000 -2.427920 0.145809
6.600000 -2.421279 0.145813
6.700000 -2.413432 0.145846
6.800000 -2.404672 0.145059
6.900000 -2.394913 0.144360
7.000000 -2.386064 0.144534
7.100000 -2.379230 0.145884
7.200000 -2.373339 0.147817
7.300000 -2.369867 0.147326
7.400000 -2.369389 0.147075
7.500000 -2.369363 0.146751
7.600000 -2.366965 0.146251
7.700000 -2.364585 0.147353
7.800000 -2.360161 0.148238
7.900000 -2.352847 0.149010
8.000000 -2.346015 0.150606
8.100000 -2.341206 0.152207
8.200000 -2.337840 0.154953
8.300000 -2.336175 0.158350
8.400000 -2.335372 0.163264
8.500000 -2.332298 0.165377
8.600000 -2.327780 0.168530
8.700000 -2.322491 0.169317
8.800000 -2.315854 0.172032
8.900000 -2.309929 0.176307
9.000000 -2.305881 0.178958
9.100000 -2.301968 0.182417
9.200000 -2.294204 0.182579
9.300000 -2.284397 0.186299
9.400000 -2.273665 0.191239
9.500000 -2.260533 0.193496
9.600000 -2.245985 0.196429
9.700000 -2.234216 0.199596
9.800000 -2.225411 0.202037
9.900000 -2.214693 0.202123
10.000000 -2.204336 0.203974
10.100000 -2.196460 0.207195
10.200000 -2.190050 0.210927
10.300000 -2.181289 0.213035
10.400000 -2.173841 0.212918
10.500000 -2.167141 0.213935
10.600000 -2.156626 0.217738
10.700000 -2.140981 0.218202
10.800000 -2.125576 0.219645
10.900000 -2.110687 0.216741
11.000000 -2.093573 0.214438
11.100000 -2.077483 0.215736
11.200000 -2.063029 0.217597
11.300000 -2.045423 0.220609
11.400000 -2.022204 0.219111
11.500000 -1.999343 0.215596
11.600000 -1.977541 0.212239
11.700000 -1.958696 0.212533
11.800000 -1.943533 0.217053
11.900000 -1.935118 0.218984
12.000000 -1.926902 0.217249
12.100000 -1.916951 0.217188
12.200000 -1.900655 0.210243
12.300000 -1.883864 0.207526
12.400000 -1.865120 0.206758
12.500000 -1.848680 0.204417
12.600000 -1.836215 0.205273
12.700000 -1.831877 0.199863
12.800000 -1.828232 0.196688
12.900000 -1.825955 0.193895
13.000000 -1.822164 0.191654
13.100000 -1.815154 0.189618
13.200000 -1.805269 0.184624
13.300000 -1.796935 0.182515
13.400000 -1.787817 0.182636
13.500000 -1.780334 0.180644
13.600000 -1.775154 0.180933
13.700000 -1.770172 0.179565
13.800000 -1.763246 0.177424
13.900000 -1.756425 0.176623
14.000000 -1.749357 0.176296
14.100000 -1.741362 0.178084
14.200000 -1.731966 0.178473
14.300000 -1.722518 0.178325
14.400000 -1.713005 0.178885
14.500000 -1.701988 0.176869
14.600000 -1.689357 0.175704
14.700000 -1.676468 0.174375
14.800000 -1.660940 0.176678
14.900000 -1.642074 0.181807
15.000000 -1.620414 0.184576
15.100000 -1.598013 0.190085
15.200000 -1.574437 0.191055
15.300000 -1.551602 0.189019
15.400000 -1.531088 0.189040
15.500000 -1.511071 0.188987
15.600000 -1.492066 0.192179
15.700000 -1.472716 0.194866
15.800000 -1.454810 0.197092
15.900000 -1.434259 0.199733
16.000000 -1.414509 0.201200
16.100000 -1.393267 0.202587
16.200000 -1.373114 0.203006
16.300000 -1.348677 0.201443
16.400000 -1.325103 0.202721
16.500000 -1.300941 0.199383
16.600000 -1.278343 0.199231
16.700000 -1.255494 0.198676
16.800000 -1.239123 0.193543
16.900000 -1.225988 0.190552
17.000000 -1.215325 0.188320
17.100000 -1.205107 0.190428
17.200000 -1.196519 0.192689
17.300000 -1.184395 0.188151
17.400000 -1.171589 0.183879
17.500000 -1.160251 0.178587
17.600000 -1.150568 0.178914
17.700000 -1.141803 0.182651
17.800000 -1.137754 0.183168
17.900000 -1.133849 0.182696
18.000000 -1.129088 0.175491
18.100000 -1.123926 0.171262
18.200000 -1.119742 0.170832
18.300000 -1.112615 0.169599
18.400000 -1.107819 0.168608
18.500000 -1.104925 0.165826
18.600000 -1.102836 0.165415
18.700000 -1.099730 0.165130
18.800000 -1.099356 0.163384
18.900000 -1.097519 0.163739
19.000000 -1.097120 0.165651
19.100000 -1.097554 0.172078
19.200000 -1.100482 0.174110
19.300000 -1.104217 0.169957
19.400000 -1.110018 0.167444
19.500000 -1.111719 0.162906
19.600000 -1.112189 0.165630
19.700000 -1.112194 0.173651
19.800000 -1.111998 0.173612
19.900000 -1.111148 0.177097
20.000000 -1.116221 0.174538
20.100000 -1.124805 0.172328
20.200000 -1.132915 0.176953
20.300000 -1.139684 0.170368
20.400000 -1.147486 0.168404
20.500000 -1.153246 0.166204
