depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
0.010000 0.854011 1.601319 2.483103 2.493781 3.381305 4.209289
0.060000 1.734129 2.646118 3.529819 3.526478 4.428997 5.323143
0.160000 3.470152 4.386205 5.380811 5.394402 6.335151 7.416425
0.260000 5.253483 6.461481 7.481355 7.524997 8.548985 9.923892
0.360000 7.544864 8.711406 9.977813 10.070426 11.389197 13.175423
0.460000 12.081636 14.886685 16.462667 16.519472 18.079343 21.156122
0.560000 16.438625 17.897988 19.539955 19.727677 21.617823 23.934746
0.660000 18.944327 20.298689 22.080126 22.243603 24.116295 26.450933
0.760000 20.935038 22.664969 24.656967 24.803709 26.710363 29.684836
0.860000 23.561266 25.483521 27.542356 27.802843 29.927477 33.798455
0.960000 25.957967 27.942835 30.162184 30.839603 34.013650 38.532903
1.060000 28.374124 30.525915 33.274988 34.209806 38.712568 43.010588
1.160000 30.642704 33.207349 37.144397 37.834870 42.782619 47.278850
1.260000 33.557697 36.636475 41.763508 41.719642 46.432013 50.718210
1.360000 36.570947 40.799597 45.997624 45.691556 49.993953 54.508759
1.460000 40.006705 45.680669 50.280618 49.933362 54.022985 58.578547
1.560000 45.725206 50.017481 53.989767 54.157934 58.184497 62.828078
1.660000 50.055796 54.547168 58.716208 58.643609 62.606064 67.470133
1.760000 54.413953 59.447188 64.035091 64.004088 69.126349 71.756766
1.860000 60.990179 65.998089 70.896580 69.862590 72.950897 74.625348
1.960000 73.169616 74.114274 74.974684 75.028265 76.032356 76.853573
2.060000 75.566810 76.633492 78.056900 78.457565 80.142234 84.257935
2.160000 77.468517 78.876167 80.794721 81.500876 84.214448 89.688588
2.260000 79.673007 81.236245 83.349323 84.270705 87.767288 93.313692
2.360000 81.880205 83.452618 85.965103 86.908947 90.712858 95.874869
2.460000 83.877176 85.853502 88.528050 89.624872 94.067420 98.313401
2.560000 86.187517 88.240209 91.308802 92.361693 97.111870 100.828375
2.660000 88.353746 90.995128 94.957739 95.312597 99.963341 103.913002
2.760000 91.093887 93.775419 98.373334 98.406156 103.001370 106.999684
2.860000 93.955540 96.732065 101.285708 101.393730 105.935505 110.070814
2.960000 96.525090 99.937648 104.607876 104.593652 109.296148 113.018370
3.060000 99.399733 103.477721 108.046875 107.891343 112.591071 115.573940
3.160000 102.901854 107.039702 111.551710 111.408608 115.739517 118.467162
3.260000 107.027733 111.939063 116.155323 115.574440 119.063296 121.048206
3.360000 113.770370 117.595659 120.721010 120.125019 122.491489 123.894702
3.460000 119.006553 121.532170 123.643811 123.334766 124.969704 126.102937
3.560000 122.334897 124.964578 126.213226 126.090558 127.342761 128.667281
3.660000 126.479700 127.594304 128.612247 128.623845 129.693223 131.187771
3.760000 128.625147 129.694855 130.657817 130.752436 131.859019 133.470275
3.860000 130.626293 131.596766 132.656408 132.832312 134.004734 135.908643
3.960000 132.333452 133.463858 134.642869 134.895176 136.165296 138.717345
4.060000 134.388657 135.702745 137.231047 137.733687 139.686885 144.564240
4.160000 136.270440 137.827981 139.751649 140.674259 143.450442 149.814220
4.260000 138.455159 140.143515 142.617687 143.606075 147.057689 153.786920
