depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
0.010000 1.389588 2.228634 3.063851 3.061673 3.913539 4.545775
0.040000 1.642262 2.512806 3.329143 3.313950 4.151714 4.846556
0.100000 2.037246 2.967959 3.816841 3.782506 4.605343 5.217607
0.140000 2.434349 3.291317 4.168042 4.117031 4.910446 5.595073
0.200000 2.796363 3.731052 4.647951 4.577527 5.362352 5.995206
0.240000 3.067543 4.044940 5.000951 4.904576 5.722748 6.277845
0.300000 3.636917 4.535852 5.511077 5.394566 6.187125 6.738493
0.340000 4.059477 4.896669 5.873540 5.737734 6.504496 7.097670
0.400000 4.585242 5.466288 6.388149 6.278937 7.005074 7.567253
0.440000 5.024305 5.860498 6.736836 6.635974 7.339868 7.886335
0.500000 5.658571 6.513946 7.248323 7.173475 7.808807 8.338175
0.540000 6.130271 6.872596 7.585081 7.513537 8.109414 8.624458
0.600000 6.659437 7.412056 8.010395 7.968134 8.508039 9.025109
0.640000 6.958048 7.770724 8.316129 8.272919 8.785028 9.291048
0.700000 7.475232 8.251028 8.759454 8.721896 9.223879 9.679240
0.740000 7.784323 8.573938 9.052998 9.013441 9.509824 9.916986
0.800000 8.236872 8.950657 9.423817 9.398636 9.880290 10.339615
0.840000 8.494917 9.196696 9.671919 9.647937 10.130239 10.630009
0.900000 8.843850 9.556684 10.022107 10.010368 10.483536 10.949223
0.940000 9.177183 9.822390 10.261611 10.264540 10.727835 11.195654
1.000000 9.632324 10.205952 10.641867 10.655608 11.121325 11.626771
1.040000 9.949729 10.477498 10.934491 10.920345 11.372758 11.897022
1.100000 10.316592 10.864765 11.315390 11.315096 11.791981 12.279162
1.140000 10.586998 11.135537 11.607473 11.608568 12.098276 12.593831
1.200000 11.010139 11.557319 12.046664 12.057126 12.563880 13.066775
1.240000 11.340024 11.857378 12.326929 12.354868 12.883747 13.419690
1.300000 11.717916 12.247500 12.750423 12.782792 13.338799 13.903946
1.340000 12.026232 12.514448 13.043663 13.068652 13.620288 14.190652
1.400000 12.458391 12.959394 13.460648 13.490481 14.040455 14.673712
1.440000 12.773006 13.273294 13.761860 13.802892 14.352237 14.988224
1.500000 13.261262 13.795991 14.297997 14.326357 14.846842 15.513021
1.540000 13.694309 14.230222 14.712229 14.736435 15.271217 15.819494
1.600000 14.374693 14.909741 15.453354 15.472892 16.029330 16.612314
1.640000 14.940701 15.409579 15.958899 15.994548 16.586984 17.225432
1.700000 15.586266 16.110039 16.740818 16.895076 17.636866 19.096219
1.740000 15.992246 16.509661 17.186715 17.359765 18.225871 19.771571
1.800000 16.565712 17.142372 17.941455 18.163201 19.295606 20.746096
1.840000 16.869997 17.530834 18.390205 18.629791 19.927969 21.243982
1.900000 17.371391 18.093743 19.122492 19.341724 20.742976 21.993331
1.940000 17.686688 18.455295 19.642484 19.788274 21.165226 22.516656
2.000000 18.115104 18.973003 20.360702 20.421946 21.885514 23.239611
2.040000 18.429820 19.340250 20.798154 20.820022 22.282442 23.576307
2.100000 18.925316 19.850503 21.391061 21.396899 22.895801 24.068618
2.140000 19.227351 20.203046 21.825121 21.783200 23.277228 24.511354
2.200000 19.668824 20.752085 22.431776 22.357967 23.836469 25.055943
2.300000 20.322298 21.595871 23.332954 23.263048 24.850647 26.074818
2.400000 21.119345 22.603878 24.272103 24.234338 25.842510 27.266999
2.500000 22.147154 23.640877 25.343771 25.315325 26.872831 28.698639
2.600000 23.201381 24.893658 26.557952 26.588218 28.164753 30.445414
2.700000 24.570411 26.012159 27.672344 27.863007 29.730887 32.363848
2.800000 25.845508 27.446989 29.082124 29.347623 31.268038 34.193828
2.900000 27.041565 28.630425 30.420594 30.710420 32.832793 36.162466
3.010000 28.140635 29.767964 31.681555 32.006612 34.204719 38.199580
3.100000 29.249233 30.732066 32.737456 33.133163 35.410416 39.447573
3.200000 30.347303 31.867713 34.142190 34.484594 36.880641 41.533388
3.300000 31.347224 32.911541 35.442290 35.802771 38.709483 43.085546
3.400000 32.351173 34.098117 36.753750 37.088336 40.041958 44.040500
3.500000 33.401674 35.251476 38.061363 38.414298 41.370774 45.629284
3.600000 34.249575 36.444065 39.626289 39.754885 42.842044 47.162904
3.700000 35.133933 37.800518 40.926905 41.113933 44.223640 48.740636
3.800000 36.139678 39.063939 42.245256 42.452875 45.586088 50.868949
3.900000 37.790059 40.602174 43.545901 43.905453 47.177040 52.170166
4.000000 39.336835 41.923324 44.873662 45.305367 48.727654 54.630826
4.100000 40.917388 43.418692 46.415908 46.902590 50.475719 56.047154
4.200000 42.269054 44.916731 48.111580 48.605104 52.177275 58.929092
4.300000 43.721047 46.364685 49.994468 50.539959 54.404156 61.616358
4.400000 45.698664 48.409368 52.247757 52.747960 56.929220 63.179240
4.500000 47.550978 50.993807 54.859864 55.267564 59.778099 65.013726
4.600000 49.358481 53.502449 57.695031 57.831930 62.355717 66.778658
4.700000 51.186231 56.349489 59.900535 60.178014 64.578396 68.547315
4.800000 54.667065 59.062673 62.429016 62.550604 66.082649 70.374345
4.900000 57.647739 62.132981 65.630639 65.426661 68.920625 72.147087
5.000000 60.337652 64.513048 67.981287 67.769187 70.993257 73.786590
5.100000 64.056997 67.556796 70.204783 70.218464 72.903003 76.214518
5.200000 67.300154 70.571903 72.677697 72.820237 75.216514 79.145122
5.300000 71.005252 72.807439 74.965897 75.391711 78.032302 82.171860
5.400000 72.498923 74.564879 77.103317 77.603557 80.769705 85.059142
5.500000 73.785467 76.113810 79.293207 79.646282 83.351120 87.131342
5.600000 75.124642 77.883377 81.412002 81.771772 85.996358 89.288890
5.700000 76.810779 79.604750 83.452600 83.953853 88.769478 92.232436
5.800000 78.459866 81.390847 85.577088 85.907862 90.732068 93.820035
