depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
0.015000 0.012418 0.076891 0.326889 0.465379 0.880535 1.635179
0.025000 0.069146 0.153626 0.402353 0.543384 0.971166 1.772804
0.035000 0.122043 0.219636 0.490079 0.619029 1.039283 1.852262
0.045000 0.179253 0.283527 0.568139 0.690572 1.110247 1.920761
0.055000 0.230197 0.343587 0.637919 0.761124 1.176036 1.975505
0.065000 0.285880 0.407686 0.721750 0.831048 1.244527 2.100583
0.075000 0.341233 0.471282 0.793369 0.901776 1.316452 2.153137
0.085000 0.395832 0.528185 0.871386 0.971134 1.397698 2.236528
0.095000 0.436199 0.586961 0.952248 1.042963 1.460884 2.303493
0.105000 0.499110 0.652262 1.030386 1.117170 1.540980 2.498821
0.115000 0.538585 0.709330 1.111768 1.187745 1.610733 2.625062
0.125000 0.592209 0.759700 1.198283 1.258064 1.712567 2.741871
0.135000 0.651207 0.817513 1.278475 1.330795 1.776700 2.901187
0.145000 0.707604 0.879475 1.348730 1.399981 1.837794 2.976221
0.155000 0.759002 0.941381 1.410178 1.468851 1.903113 3.076480
0.165000 0.816495 1.000933 1.484038 1.537056 1.980005 3.147357
0.175000 0.869638 1.061649 1.553136 1.608745 2.063073 3.241545
0.185000 0.908464 1.116328 1.623583 1.676091 2.142887 3.295155
0.195000 0.961490 1.187805 1.679683 1.744805 2.205209 3.345889
0.205000 1.006402 1.248478 1.750292 1.815483 2.292319 3.411996
0.215000 1.060537 1.306099 1.824211 1.885159 2.360648 3.494362
0.225000 1.109589 1.367612 1.894370 1.952005 2.424535 3.555376
0.235000 1.156693 1.430360 1.968909 2.020422 2.499963 3.615120
0.245000 1.200629 1.491695 2.036953 2.088187 2.584370 3.670670
0.255000 1.259068 1.558141 2.115690 2.159686 2.652092 3.730343
0.265000 1.308858 1.612001 2.191418 2.229865 2.739023 3.800025
0.275000 1.368147 1.671330 2.273595 2.302190 2.813884 3.857588
0.285000 1.421109 1.723674 2.335548 2.376918 2.893671 3.921974
0.295000 1.484265 1.810175 2.410791 2.447355 2.973387 3.979677
