depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
140.380000 2615.722151 2618.743405 2622.012219 2622.056757 2625.271690 2628.814792
140.440000 2618.854350 2621.597648 2624.482145 2624.609513 2627.700576 2631.046617
140.500000 2621.840911 2624.296676 2626.959364 2627.183357 2629.937546 2633.419219
140.560000 2625.105071 2627.305758 2629.610671 2629.960798 2632.693499 2636.373987
140.620000 2628.046468 2630.353509 2632.943174 2633.227535 2636.141279 2639.916611
140.680000 2631.395118 2633.771712 2636.696148 2636.997014 2640.106342 2644.054624
140.740000 2634.393406 2637.052845 2640.275445 2640.461242 2643.819599 2647.114567
140.800000 2636.877655 2640.120507 2643.643097 2643.601788 2647.120720 2649.891137
140.860000 2639.830488 2643.154173 2646.953817 2646.758980 2650.302211 2652.452029
140.920000 2642.236002 2646.102608 2650.230422 2649.815230 2653.196554 2655.162560
140.980000 2644.424430 2649.178740 2653.410913 2652.833994 2656.203587 2658.238751
141.100000 2650.515511 2654.174498 2657.793992 2657.431356 2660.577327 2663.415565
141.220000 2656.346023 2658.666449 2661.919607 2661.896225 2664.913888 2667.868355
141.280000 2658.868058 2661.194208 2664.243232 2664.231246 2667.001959 2670.150267
141.340000 2661.203344 2663.832106 2666.747199 2666.689678 2669.421117 2672.276184
141.400000 2663.753363 2666.586662 2669.397482 2669.316479 2672.052945 2674.815066
141.460000 2666.734021 2669.788763 2672.519349 2672.437528 2675.131806 2677.709161
141.520000 2669.842614 2672.890822 2675.503659 2675.547079 2678.141279 2681.373693
141.580000 2674.063285 2676.699978 2679.314750 2679.425847 2682.242432 2684.608756
141.640000 2676.870022 2679.569910 2682.488106 2682.419506 2685.263071 2687.483966
141.700000 2679.359692 2682.050244 2685.083439 2684.988519 2687.764516 2690.361857
141.760000 2682.035064 2684.653883 2687.509271 2687.496526 2690.177644 2693.448258
141.820000 2684.195270 2687.189446 2689.950343 2689.980379 2692.614680 2696.113068
141.880000 2687.080848 2689.775711 2692.618479 2692.638321 2695.388587 2698.925135
141.940000 2689.513385 2692.091788 2694.989429 2695.179227 2698.213588 2701.629094
142.000000 2691.879287 2694.641307 2697.637610 2697.770524 2700.912670 2704.259909
142.060000 2694.495809 2697.282150 2700.171985 2700.311256 2703.576782 2706.420436
142.110000 2696.716389 2699.419116 2702.433868 2702.479072 2705.549040 2708.325823
142.180000 2699.428774 2702.832173 2705.793524 2705.726730 2708.767625 2711.340233
142.240000 2702.031949 2705.308299 2708.398507 2708.276565 2711.238914 2713.834946
142.360000 2706.480350 2709.936168 2713.173365 2712.853811 2715.884875 2717.593414
142.420000 2708.750194 2712.134659 2715.616520 2715.260740 2718.414481 2719.782882
