depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
6.030000 325.995683 329.149037 331.086188 330.815162 332.552247 333.887501
6.080000 330.788632 332.480606 333.790978 333.801883 335.203739 336.712993
6.130000 334.090465 335.325834 336.677517 336.892887 338.483931 340.974235
6.180000 336.082431 337.318156 338.891756 339.152465 340.935850 343.878280
6.230000 338.406428 339.773249 341.364188 341.744326 343.657592 347.496299
6.280000 340.743222 342.204313 344.423110 344.574029 346.879253 349.947466
6.330000 342.723413 344.717052 347.425487 347.478000 350.038238 352.995489
6.380000 344.953196 347.322158 350.219239 350.199839 352.930622 355.758093
6.430000 347.286899 349.981383 352.912276 352.804139 355.456627 358.202689
6.480000 349.940398 352.651525 355.422830 355.414273 357.974541 360.766079
6.530000 352.434997 355.455405 358.089176 358.033530 360.644784 363.189353
6.580000 355.213807 358.041470 360.767377 360.681860 363.243869 365.830583
6.630000 358.151188 360.965439 363.512918 363.552425 366.178926 369.185421
6.680000 361.032792 364.092226 366.718741 366.795318 369.601584 372.870082
6.730000 364.610374 367.227049 370.143703 370.296409 373.332918 376.653682
6.780000 368.081260 370.678143 373.921195 374.031792 377.205899 380.802580
6.830000 371.357121 374.512763 377.947033 378.016402 381.283231 384.834745
6.880000 374.372634 378.210461 381.833666 381.810498 385.454365 389.610163
6.930000 377.601254 381.758983 385.520624 385.582046 389.436381 393.135947
6.980000 381.218350 385.816110 390.057796 389.734849 393.667536 396.311897
7.030000 387.311070 391.369797 394.838774 394.393410 397.243510 399.293547
7.080000 393.129100 396.497597 398.744903 398.518946 400.488943 402.626356
7.130000 398.080694 400.036285 401.717326 401.799883 403.544000 405.735569
7.180000 401.624760 403.235448 404.936230 405.070942 407.021734 409.002643
7.230000 404.461048 406.197332 408.253824 408.311061 410.424085 412.522166
7.280000 407.066470 409.415296 412.055016 412.351854 415.121541 419.289428
7.330000 414.749497 418.301905 421.883242 421.504137 424.562581 426.235741
7.380000 421.032237 424.034690 426.115674 425.848259 427.722116 429.167870
7.430000 426.428038 428.102346 429.644750 429.594651 431.145798 432.817761
7.480000 428.996602 430.593755 432.132605 432.190793 433.852662 435.449535
7.530000 430.940772 432.676435 434.345718 434.410256 436.210578 437.742442
7.580000 432.934690 434.796497 436.459172 436.492561 438.284276 439.764655
7.630000 434.988728 436.819989 438.512540 438.544657 440.308946 441.873577
7.680000 437.044192 438.922305 440.659915 440.654580 442.381773 444.065892
7.730000 439.345536 440.917851 442.729396 442.689175 444.388087 446.015913
7.780000 441.390526 443.073446 444.836467 444.846050 446.570427 448.342064
7.830000 443.552545 445.273124 446.946796 447.060233 448.886792 451.016036
7.880000 445.589361 447.403259 449.152895 449.312217 451.265265 453.935276
7.930000 447.646573 449.429389 451.335781 451.523709 453.742962 456.204204
7.980000 449.549131 451.360913 453.390557 453.640584 456.074549 458.625231
8.030000 451.197301 453.197049 455.493247 455.715526 458.262887 460.793371
8.080000 453.131782 455.217139 457.602561 457.770948 460.415124 463.054555
8.130000 454.978847 457.236204 459.756836 459.867836 462.619202 465.042717
8.180000 457.127920 459.169193 461.890798 462.043521 464.949756 467.267099
8.230000 459.191434 461.475449 464.116428 464.246591 467.022748 469.631225
8.280000 461.353265 463.729742 466.515206 466.562586 469.283112 472.034562
8.330000 463.599379 466.220453 469.001034 468.961624 471.608764 474.261142
8.380000 466.070279 468.946039 471.622982 471.459843 474.115472 476.505186
8.430000 468.822417 471.706832 474.355815 474.205380 476.659584 478.559006
8.480000 472.449994 475.162202 477.399466 477.233484 479.426340 481.174030
8.530000 476.505238 478.592595 480.565688 480.539730 482.452325 484.354817
8.580000 480.362349 482.105144 483.996620 484.059845 485.891102 488.317459
8.630000 483.526959 485.162085 486.978253 487.124840 489.131603 491.531024
8.680000 486.013036 487.801321 489.740177 489.893037 492.013800 494.454816
8.730000 488.101463 490.197423 492.458908 492.597982 494.872302 498.397753
8.780000 490.470678 492.672350 495.400583 495.612354 498.677036 501.828693
8.830000 493.234135 495.657569 499.176297 499.111594 502.565131 505.023734
8.930000 500.173245 504.634771 507.708408 507.755985 510.980802 515.290573
8.980000 502.734938 507.708467 510.790905 510.993440 514.648216 519.400775
