depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
9.010000 307.095750 312.932860 317.460159 316.598288 320.117027 321.795245
9.110000 312.532932 316.425013 319.738555 319.238136 321.835778 323.216800
9.210000 315.179496 319.127663 321.645645 321.266198 323.439009 324.658382
9.310000 317.931087 321.108466 323.286719 322.983546 324.837626 326.144305
9.410000 320.445215 322.695690 324.693583 324.465860 326.204200 327.660737
9.510000 321.950855 324.047548 325.999719 325.840453 327.513625 329.043030
9.610000 323.168219 325.344171 327.284064 327.181568 328.931371 330.161765
9.710000 324.804969 326.896812 328.740134 328.571499 330.207269 331.323960
9.810000 326.625652 328.643662 330.204931 330.026414 331.376421 332.347038
9.910000 328.689188 330.451029 331.656419 331.500104 332.554327 333.468427
9.960000 329.779590 331.307813 332.402860 332.262456 333.206533 334.097097
10.010000 331.117167 332.298132 333.196323 333.111018 333.902379 334.902837
10.060000 332.636423 333.441126 334.146801 334.141883 334.864523 335.628636
10.110000 333.524260 334.254521 334.911638 334.940645 335.656594 336.417552
10.150000 334.255191 334.813342 335.512895 335.521449 336.222561 336.985807
10.210000 334.945031 335.610410 336.302854 336.339565 337.051495 337.891908
10.250000 335.595614 336.232066 336.901809 336.969720 337.711285 338.533715
10.310000 336.508577 337.178297 337.928935 337.993214 338.815181 339.825653
10.410000 337.974253 338.719766 339.646377 339.728108 340.715490 342.187693
10.510000 339.141611 340.028025 341.231118 341.316994 342.594582 344.172218
10.560000 339.743526 340.762842 341.967680 342.092800 343.423382 345.075697
10.610000 340.419601 341.457441 342.739018 342.882486 344.295643 345.960434
10.660000 341.039865 342.236888 343.512014 343.639928 345.097932 346.659521
10.710000 341.839376 342.946362 344.320354 344.404574 345.925834 347.398307
10.760000 342.549260 343.723615 345.094378 345.184278 346.650989 348.191325
10.810000 343.344939 344.483956 345.846499 345.957308 347.388262 349.114645
10.910000 344.723950 345.962988 347.482844 347.552913 349.073445 350.946255
10.960000 345.522831 346.818795 348.379818 348.459428 350.035501 352.135558
11.010000 346.309559 347.667306 349.270920 349.354987 350.970439 353.282461
11.060000 347.000932 348.533186 350.222649 350.307252 351.962825 354.433447
11.110000 347.824663 349.457883 351.088970 351.214107 352.945934 355.388837
