depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
3.731000 300.714839 305.140747 310.026889 309.964830 315.087524 319.009434
3.828000 308.921172 312.975845 318.024917 317.436084 321.673380 324.049023
3.924000 315.419197 320.017998 324.511790 323.898101 327.320307 329.748447
4.021000 320.640273 325.379141 329.599291 328.977450 332.203251 333.926453
4.117000 326.908607 332.250536 334.218882 333.944719 336.115490 337.881121
4.214000 336.450121 337.943399 339.853456 340.029975 342.108266 344.954837
4.310000 339.653048 341.536907 344.136169 344.286312 346.966096 349.744945
4.407000 342.862413 345.221768 347.972281 348.063212 350.954198 353.796836
4.496500 345.649013 348.421564 351.523380 351.544954 354.491011 357.447316
4.586000 349.230110 351.911317 354.958335 355.097546 358.232412 361.589125
4.681000 352.656051 355.831756 358.933156 359.015554 362.103110 365.395337
4.776000 356.653370 359.883983 363.230451 363.339625 366.690145 370.604398
4.871000 361.682223 364.556009 368.292460 368.627124 372.919003 376.987310
4.966000 366.861041 370.524471 375.179024 375.469138 380.464412 385.392676
5.061000 374.225813 379.053461 383.888421 383.779565 388.538221 392.521310
5.156000 381.934325 386.781427 391.304740 390.694646 394.593102 396.640486
5.251000 390.455329 394.329842 397.053812 396.714071 399.226617 400.727966
5.346000 397.031031 399.296291 401.058351 400.984182 402.819213 404.331237
5.418000 400.019528 401.770083 403.437311 403.405257 404.967157 406.716342
5.513000 402.869477 404.571951 406.042898 406.067932 407.571879 409.351067
5.609000 405.712343 407.171509 408.739875 408.697004 410.158668 411.784746
5.706000 408.598911 410.048861 411.541222 411.550814 413.088352 414.624903
5.802000 411.577158 413.068587 414.585891 414.576078 416.125105 417.550853
5.898000 414.411590 416.208383 417.917898 417.897050 419.538320 421.117085
5.995000 417.636438 419.698365 421.533069 421.436357 423.201544 424.626643
6.091000 422.108794 423.951556 425.836801 425.820535 427.529974 429.969277
6.187000 426.176470 427.937798 429.972435 430.370030 433.017726 436.121207
6.283000 429.162888 431.520732 434.404665 434.671556 437.867576 441.352987
6.380000 433.069798 435.559744 438.797283 438.832348 441.960011 445.622074
6.476000 436.938555 439.556464 442.615892 442.749945 445.883576 449.110013
6.570000 441.015432 443.737890 446.710353 446.894715 449.913040 453.814240
6.641000 443.849853 446.784347 450.089457 450.252637 453.574978 458.187349
6.760000 448.427521 451.735549 455.391588 455.730166 459.828050 464.123287
6.854000 452.374261 455.980712 460.028914 460.315518 464.873600 469.155134
6.949000 456.741082 461.019113 465.278515 465.215991 469.397274 473.159946
7.043000 461.071954 466.522679 471.092906 470.577189 474.456542 477.378179
7.138000 469.245449 473.755520 477.409581 477.064255 480.339666 483.074324
7.233000 478.183505 481.454610 484.303928 484.616215 487.713529 493.028384
7.327000 483.655026 487.091165 490.782178 491.201322 495.578311 499.970646
7.422000 488.670607 493.509769 497.455623 497.523533 501.622274 505.800463
7.514000 494.972462 499.687347 503.335809 503.784234 507.309947 517.479056
7.602000 502.203400 505.644981 508.834178 510.029217 514.595563 524.187572
7.690000 506.568654 510.848612 514.860860 515.890210 521.689196 529.621733
7.778000 509.413917 516.024522 522.506060 522.354477 528.643078 533.924013
7.866000 513.106838 520.850461 530.072942 528.873134 535.226023 540.037468
7.932000 515.941733 525.021289 533.989318 532.921392 539.397999 545.194079
