depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
6.660000 299.266037 302.129970 304.719481 304.532027 306.926427 308.918569
6.710000 300.912850 303.415655 305.912520 305.778732 308.152620 310.041563
6.760000 302.051496 304.835583 307.184457 307.054718 309.267000 311.338393
6.810000 303.344095 306.365414 308.583324 308.478472 310.584303 312.441454
6.860000 305.099776 307.917162 310.018892 309.953951 312.040816 313.925692
6.910000 307.073195 309.357049 311.487929 311.462329 313.635850 315.468756
6.960000 309.012663 311.074091 313.147212 313.175255 315.307801 317.505092
7.020000 311.374644 313.439666 315.481315 315.491726 317.588934 319.364866
7.060000 312.628583 314.752049 316.884016 316.820360 318.889028 320.424815
7.110000 314.423090 316.252500 318.507300 318.359619 320.357252 321.667624
7.160000 316.182529 318.015900 320.066878 319.877657 321.678847 322.860927
7.210000 317.773577 319.572327 321.406553 321.217442 322.830321 323.987460
7.260000 318.982115 321.006695 322.564601 322.452852 323.876302 325.015789
7.310000 320.725039 322.376249 323.751147 323.689891 324.987999 326.198335
7.360000 322.491649 323.755800 325.044829 325.005626 326.236533 327.437492
7.410000 323.826016 325.033560 326.214309 326.219645 327.449060 328.666577
7.460000 325.007604 326.173828 327.303447 327.352875 328.647576 329.698356
7.510000 326.117483 327.254548 328.425740 328.474791 329.716127 330.775397
7.560000 327.286702 328.405139 329.653957 329.625393 330.895685 331.705512
7.610000 328.653938 329.679905 330.854072 330.776080 331.832278 332.648401
7.660000 330.073319 331.149520 332.146972 332.058029 332.959931 333.700638
7.710000 331.796732 332.727872 333.522551 333.510742 334.321351 335.067925
7.760000 333.081053 333.900280 334.666498 334.665511 335.463599 336.163953
7.810000 334.350539 335.019662 335.815910 335.828351 336.619046 337.335625
7.860000 335.368779 336.054507 336.799633 336.841336 337.637039 338.474629
7.910000 336.379524 337.040971 337.820158 337.868118 338.699935 339.737609
7.960000 337.212333 337.911052 338.803732 338.864251 339.758478 340.893468
8.010000 338.084053 338.797417 339.729031 339.785371 340.813258 341.788964
8.060000 339.025783 339.691087 340.670638 340.744415 341.790101 342.966681
8.100000 339.674997 340.512188 341.497339 341.576645 342.623792 343.765598
8.160000 340.893972 341.776145 342.785019 342.844092 343.960276 345.044576
8.210000 341.748724 342.823414 343.886331 343.888481 344.970168 346.080094
8.260000 342.770376 343.788842 344.921492 344.924931 346.052836 347.120403
8.310000 343.833846 344.846404 345.958549 345.999100 347.183305 348.245031
8.360000 344.937673 345.937532 347.079403 347.132237 348.371757 349.526141
8.400000 345.779254 346.850155 348.076499 348.121739 349.406577 350.751166
8.460000 347.142953 348.103154 349.623927 349.674657 351.101397 352.788772
8.510000 348.368093 349.431990 350.908942 351.023128 352.574294 354.612309
8.560000 349.258406 350.614732 352.256527 352.322934 353.990245 355.888246
8.610000 350.260351 351.775663 353.649966 353.648739 355.362726 357.442599
8.660000 351.430474 352.945158 354.846844 354.888562 356.685194 358.668335
8.710000 352.710694 354.110548 356.060347 356.090722 357.897669 359.964078
8.760000 353.838703 355.415216 357.295895 357.291414 359.169610 361.095040
8.810000 354.778938 356.607685 358.502356 358.516356 360.423085 362.367390
8.860000 356.060278 357.925478 359.903506 359.860901 361.794804 363.581851
8.910000 357.264105 359.323785 361.260274 361.232868 363.232285 365.110497
8.960000 358.981106 360.742019 362.673358 362.719543 364.771450 366.428297
9.050000 361.976747 363.695033 365.478421 365.573169 367.477895 369.148099
9.090000 363.041264 364.881281 366.577183 366.669171 368.563693 370.317041
9.110000 363.529635 365.376268 367.111568 367.192187 369.108199 370.936282
9.160000 364.754298 366.528117 368.347040 368.400737 370.330675 371.997603
9.210000 365.838552 367.663638 369.572226 369.557460 371.426953 373.257777
9.260000 366.756939 368.675572 370.743358 370.719623 372.650241 374.527922
9.310000 368.027153 369.756687 371.869340 371.896255 373.871953 375.977547
9.370000 369.325319 371.104720 373.329628 373.324577 375.411478 377.632779
9.420000 370.341875 372.259242 374.539762 374.557330 376.713900 378.979050
9.460000 371.079504 373.154389 375.513056 375.568665 377.907905 380.276655
9.510000 372.161817 374.285489 376.803710 376.852738 379.335404 381.773468
