depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
4.850000 297.682359 302.728760 305.832900 305.441188 308.376358 310.504761
4.900000 302.165201 305.942597 308.569873 308.293701 310.832280 312.934901
4.950000 305.762776 308.839423 311.101504 310.984455 313.319754 315.230116
5.000000 309.177366 311.416153 313.502997 313.466002 315.690223 317.603861
5.050000 311.612316 313.813432 315.787486 315.818827 317.830936 319.851796
5.100000 314.096001 316.331288 318.220474 318.221531 320.153777 322.032388
5.150000 317.019639 319.096687 320.803297 320.804013 322.538514 324.669093
5.200000 320.407743 322.188117 323.910017 323.945760 325.675430 327.853687
5.250000 324.006436 325.915444 327.888369 327.884070 329.749302 331.777284
5.300000 327.345694 330.656577 332.423206 332.257823 333.972214 335.608022
5.350000 334.330603 335.834153 337.364593 337.373781 338.810321 340.436014
5.400000 337.543951 339.102202 340.526756 340.651285 342.295146 344.382344
5.450000 340.207221 341.683945 343.322315 343.479661 345.289723 347.565769
5.500000 342.590379 344.185426 345.896120 346.091650 348.015022 350.562070
5.550000 344.854829 346.549636 348.380335 348.613897 350.732261 353.482634
5.600000 347.307486 348.978683 351.013404 351.310721 353.698656 356.775919
5.650000 349.846619 351.670554 353.958317 354.230618 356.930563 360.183238
5.700000 352.391532 354.386971 357.043293 357.198617 360.136272 363.323818
5.750000 355.092722 357.321410 360.068436 360.289889 363.334644 366.693966
5.800000 357.899881 360.335191 362.929500 363.202935 366.221710 369.417559
5.850000 360.879148 363.133854 366.027505 366.220030 369.244016 372.834866
5.900000 363.557738 366.048887 369.020514 369.198004 372.228640 375.757490
5.950000 366.756877 369.260238 372.371142 372.593246 375.943190 379.276542
6.000000 369.976655 372.803051 376.175564 376.356169 380.175192 383.223927
6.050000 373.985012 377.281419 380.578733 380.758191 384.398678 387.987093
6.100000 377.960860 381.573414 385.005048 385.124864 388.639139 392.111174
6.150000 382.609067 386.011906 389.324893 389.399950 393.026943 396.324275
6.200000 387.005438 390.495242 393.702129 393.638322 396.934526 399.938191
6.250000 391.265942 394.992860 397.820101 397.768822 400.577691 403.802397
6.300000 399.441646 401.895089 404.005508 404.056365 406.259191 409.113068
6.350000 404.073159 406.559881 409.058557 408.992321 411.362904 413.676943
6.400000 409.319817 412.119202 414.813027 414.714123 417.207721 419.740473
6.450000 413.863502 416.929645 420.140649 420.055960 423.204056 425.489971
6.500000 424.109967 427.400271 430.016923 429.928949 432.381593 434.683009
6.550000 429.642085 431.974252 434.237154 434.279776 436.497958 438.727050
6.600000 433.120055 435.712417 438.021781 437.949200 440.189450 442.431885
6.650000 436.614791 439.121228 441.598756 441.579375 443.884528 446.715033
6.700000 439.910559 442.495031 444.976891 445.140538 447.700526 452.097952
6.750000 443.075861 445.507763 448.050738 448.560527 451.661679 456.239076
6.800000 446.443454 448.919919 451.850086 452.313474 455.724727 460.141095
6.850000 449.879650 452.649930 456.176810 456.441907 460.399817 464.677875
6.900000 453.377976 456.667937 460.835595 460.815548 464.777932 469.071864
6.950000 457.640246 461.319169 465.603386 465.532107 469.765851 472.936777
7.000000 462.753557 466.841038 470.822088 470.659800 474.618345 477.048844
7.050000 468.845078 473.059286 476.511147 476.006618 478.944491 480.882968
7.100000 475.431463 479.137978 481.391213 481.216911 483.392789 485.425538
7.150000 480.601579 483.315039 485.042029 485.065946 487.022913 488.884570
7.200000 484.522231 486.870237 488.658046 488.631979 490.445962 492.304569
7.250000 488.004122 489.955397 491.880714 491.846967 493.624707 495.812986
7.300000 491.342044 493.058808 495.028055 495.151036 497.188356 499.667111
7.350000 494.563968 496.628788 498.609626 498.768692 500.961956 503.876270
7.400000 497.978837 500.192986 502.442044 502.751348 505.065071 509.490270
7.450000 501.751092 504.234291 506.725199 507.556636 510.738137 519.111528
7.500000 506.469073 509.333012 513.383154 513.909554 518.522410 525.286222
7.550000 511.240826 516.118294 520.817460 520.782245 525.419192 530.450996
7.600000 517.039896 523.693310 527.967630 527.772458 532.063061 536.543700
7.650000 527.676589 532.075704 535.613326 535.828567 539.722618 544.861882
7.700000 534.938211 538.226721 541.979088 542.144849 546.154577 550.037561
7.750000 539.850426 544.110937 548.050665 548.081600 552.182939 555.825822
7.800000 546.362271 550.234897 554.013785 553.971662 557.771006 561.319911
7.850000 553.393387 557.199684 560.555112 560.778206 564.348126 568.729711
7.900000 558.969699 562.446065 565.530799 565.900635 568.796274 576.338094
7.950000 563.767215 567.272148 570.241227 570.682189 572.981708 584.101418
8.000000 569.614565 573.153648 575.574698 576.202102 578.225369 592.773305
8.050000 575.259731 578.905748 581.212873 582.356740 585.437308 598.030645
8.100000 581.298256 584.227418 588.104342 589.141288 594.084157 602.497005
8.150000 585.616674 590.183327 594.728103 595.368896 600.846221 606.877923
8.200000 591.650407 596.251867 600.552455 600.941310 606.850077 610.621505
8.250000 596.735743 601.392017 606.214466 606.066738 611.150702 614.170464
8.300000 601.953992 607.021928 611.880966 611.298363 615.367327 617.723819
8.350000 608.106992 614.557489 617.895632 617.074977 619.565979 621.090726
8.400000 620.278660 621.823819 623.133455 623.186739 624.525656 626.376873
8.450000 624.518550 626.106614 627.662283 627.836488 629.533923 632.700163
8.500000 627.372059 629.503090 631.372902 631.703487 634.074878 637.514526
8.550000 630.782853 632.652746 634.890582 635.317126 638.139159 641.887621
8.600000 633.767626 636.008101 638.386337 638.863095 642.019209 646.551886
8.650000 636.960272 639.331481 642.022105 642.585340 645.937327 651.297472
8.700000 640.394889 643.186461 646.272425 646.834369 650.601045 655.946236
8.750000 644.210545 647.391470 651.025513 651.619062 655.886425 662.307607
