age(kyr) mean(permil) sigma(permil)
1380.000000 3.176563 0.443825
1381.000000 3.172025 0.436824
1382.000000 3.167459 0.429535
1383.000000 3.162862 0.421933
1384.000000 3.158237 0.413987
1385.000000 3.153581 0.405661
1386.000000 3.148895 0.396914
1387.000000 3.144179 0.387700
1388.000000 3.139432 0.377971
1389.000000 3.134655 0.367671
1390.000000 3.129846 0.356748
1391.000000 3.125007 0.345151
1392.000000 3.120136 0.332837
1393.000000 3.115234 0.319777
1394.000000 3.110301 0.305958
1395.000000 3.105335 0.291379
1396.000000 3.100337 0.276041
1397.000000 3.095307 0.259931
1398.000000 3.090245 0.242998
1399.000000 3.086267 0.225332
1400.000000 3.111602 0.210927
1401.000000 3.188642 0.205171
1402.000000 3.276220 0.200917
1403.000000 3.350827 0.198494
1404.000000 3.420973 0.199165
1405.000000 3.489738 0.200964
1406.000000 3.554532 0.200387
1407.000000 3.609070 0.198339
1408.000000 3.645333 0.197460
1409.000000 3.665716 0.196789
1410.000000 3.675190 0.197195
1411.000000 3.673637 0.198615
1412.000000 3.661156 0.201431
1413.000000 3.641223 0.205417
1414.000000 3.615005 0.210346
1415.000000 3.581633 0.215809
1416.000000 3.543437 0.221734
1417.000000 3.501590 0.227754
1418.000000 3.456836 0.231472
1419.000000 3.410478 0.234218
1420.000000 3.366028 0.236552
1421.000000 3.322128 0.238768
1422.000000 3.279054 0.241316
1423.000000 3.236625 0.243497
1424.000000 3.191799 0.245867
1425.000000 3.144446 0.246411
1426.000000 3.101049 0.245319
1427.000000 3.059170 0.243163
1428.000000 3.018310 0.239704
1429.000000 2.978410 0.236168
1430.000000 2.938688 0.233903
1431.000000 2.899948 0.231638
1432.000000 2.862925 0.229996
1433.000000 2.829318 0.228920
1434.000000 2.798406 0.227859
1435.000000 2.769545 0.227360
1436.000000 2.743967 0.227341
1437.000000 2.722066 0.228634
1438.000000 2.704032 0.231259
1439.000000 2.687044 0.235231
1440.000000 2.676382 0.241044
1441.000000 2.675406 0.248986
1442.000000 2.684976 0.258129
1443.000000 2.708612 0.268470
1444.000000 2.747359 0.280812
1445.000000 2.801065 0.293852
1446.000000 2.872781 0.306529
1447.000000 2.961272 0.318865
1448.000000 3.065571 0.329249
1449.000000 3.174827 0.336244
1450.000000 3.283941 0.339852
1451.000000 3.387707 0.339234
1452.000000 3.484957 0.334752
1453.000000 3.570077 0.326964
1454.000000 3.639254 0.316903
1455.000000 3.690874 0.305502
1456.000000 3.722992 0.294697
1457.000000 3.735322 0.285537
1458.000000 3.731145 0.278164
1459.000000 3.711556 0.272163
1460.000000 3.678096 0.267306
1461.000000 3.633582 0.263628
1462.000000 3.580570 0.260623
1463.000000 3.518275 0.258400
1464.000000 3.451746 0.257483
1465.000000 3.385824 0.257593
1466.000000 3.321910 0.257284
1467.000000 3.265465 0.254957
1468.000000 3.214746 0.253561
1469.000000 3.170414 0.253274
1470.000000 3.132873 0.254569
1471.000000 3.098766 0.258360
1472.000000 3.064456 0.263760
1473.000000 3.029476 0.270148
1474.000000 2.993153 0.277151
1475.000000 2.962525 0.283843
1476.000000 2.936601 0.290282
1477.000000 2.918258 0.296934
1478.000000 2.905165 0.304043
1479.000000 2.899287 0.311613
1480.000000 2.901111 0.319492
1481.000000 2.913147 0.327848
1482.000000 2.932201 0.336182
1483.000000 2.955852 0.344208
1484.000000 2.984045 0.351278
1485.000000 3.016614 0.357302
1486.000000 3.053336 0.361729
1487.000000 3.090537 0.365218
1488.000000 3.127330 0.367711
1489.000000 3.165655 0.369795
1490.000000 3.205089 0.371178
1491.000000 3.244979 0.371529
1492.000000 3.284397 0.371769
1493.000000 3.322201 0.371867
1494.000000 3.356815 0.370956
1495.000000 3.387071 0.369550
1496.000000 3.415829 0.367804
1497.000000 3.440618 0.366052
1498.000000 3.462293 0.364276
1499.000000 3.478548 0.362639
1500.000000 3.489019 0.360855
1501.000000 3.495634 0.359275
1502.000000 3.498220 0.357920
1503.000000 3.497796 0.356608
1504.000000 3.494659 0.355521
1505.000000 3.487592 0.354707
1506.000000 3.476715 0.353676
1507.000000 3.462260 0.351996
1508.000000 3.442905 0.349657
1509.000000 3.419694 0.346530
1510.000000 3.394119 0.342771
1511.000000 3.367571 0.338348
1512.000000 3.337854 0.333286
1513.000000 3.305320 0.327069
1514.000000 3.273725 0.321071
1515.000000 3.245208 0.315871
1516.000000 3.219881 0.311685
1517.000000 3.199503 0.308324
1518.000000 3.184637 0.305988
1519.000000 3.174559 0.304440
1520.000000 3.169823 0.304146
1521.000000 3.169735 0.305166
1522.000000 3.172819 0.307659
1523.000000 3.181410 0.310846
1524.000000 3.197180 0.314631
1525.000000 3.221616 0.319721
1526.000000 3.254517 0.326277
1527.000000 3.297378 0.333367
1528.000000 3.351224 0.339793
1529.000000 3.413948 0.344504
1530.000000 3.483159 0.347369
1531.000000 3.551837 0.348309
1532.000000 3.614623 0.347743
1533.000000 3.665685 0.346829
1534.000000 3.705103 0.346327
1535.000000 3.731614 0.345943
