depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
57.020000 1940.844146 1942.110572 1943.297652 1943.209118 1944.260842 1945.385483
57.040000 1941.699039 1942.857807 1943.891114 1943.856181 1944.815115 1945.921571
57.060000 1942.518245 1943.481367 1944.475367 1944.465183 1945.362946 1946.380356
57.080000 1943.283431 1944.129709 1945.065572 1945.057908 1945.941338 1947.029275
57.100000 1943.872166 1944.744039 1945.610980 1945.643677 1946.520828 1947.629372
57.120000 1944.406259 1945.330617 1946.188549 1946.224125 1947.094299 1948.260987
57.140000 1944.978184 1945.894363 1946.801961 1946.801520 1947.689762 1948.738470
57.160000 1945.636241 1946.452146 1947.342067 1947.362465 1948.293218 1949.319509
57.180000 1946.147740 1946.992938 1947.897065 1947.933681 1948.882616 1949.983771
57.200000 1946.597826 1947.600070 1948.439923 1948.498530 1949.439593 1950.590457
57.220000 1947.193520 1948.166508 1948.986209 1949.063506 1950.010354 1951.273530
57.240000 1947.786061 1948.715042 1949.564466 1949.634791 1950.571398 1951.849764
57.260000 1948.387109 1949.281148 1950.179562 1950.244871 1951.257164 1952.493077
57.280000 1949.030586 1949.813158 1950.791288 1950.835949 1951.872559 1953.022958
57.300000 1949.626922 1950.373239 1951.441805 1951.465541 1952.500471 1953.830115
57.320000 1950.094720 1950.965148 1952.050077 1952.108219 1953.168276 1954.593252
57.340000 1950.805343 1951.626391 1952.637916 1952.749669 1953.857076 1955.299976
57.360000 1951.441403 1952.273782 1953.347919 1953.429956 1954.577440 1955.989763
57.380000 1952.026252 1952.993184 1954.051079 1954.137848 1955.284279 1956.740850
57.400000 1952.630439 1953.677218 1954.740686 1954.823346 1955.994589 1957.427508
57.420000 1953.239500 1954.312572 1955.382015 1955.479422 1956.685887 1958.040027
57.440000 1953.842413 1954.976338 1956.034201 1956.122212 1957.394461 1958.674757
57.460000 1954.534793 1955.612072 1956.625399 1956.761676 1958.057415 1959.285634
57.480000 1955.242144 1956.267318 1957.275015 1957.400082 1958.741126 1959.892581
57.500000 1955.939456 1956.918999 1957.940519 1958.051841 1959.339421 1960.534160
57.520000 1956.576738 1957.587869 1958.571568 1958.705413 1959.975409 1961.094402
57.540000 1957.226969 1958.219232 1959.238338 1959.380158 1960.653850 1961.714234
57.560000 1957.920116 1958.853656 1959.900983 1960.012103 1961.298973 1962.273499
57.580000 1958.610962 1959.429787 1960.515850 1960.621858 1961.881597 1962.834869
57.600000 1959.247174 1960.050419 1961.154235 1961.243819 1962.523730 1963.498072
57.620000 1959.777389 1960.637759 1961.769491 1961.838280 1963.108494 1963.980799
57.640000 1960.397711 1961.244156 1962.425514 1962.433783 1963.695984 1964.516284
57.660000 1960.975970 1961.807110 1963.051525 1963.035038 1964.301926 1965.138795
57.680000 1961.542926 1962.384344 1963.616598 1963.616977 1964.801502 1965.677939
57.700000 1962.098305 1962.956304 1964.195475 1964.199749 1965.380949 1966.221931
57.720000 1962.729129 1963.560845 1964.803052 1964.772059 1965.879449 1966.975378
57.740000 1963.277811 1964.161592 1965.407831 1965.368270 1966.472527 1967.630800
57.760000 1963.739778 1964.745340 1966.009178 1965.964123 1967.072882 1968.305941
57.780000 1964.411767 1965.295887 1966.610579 1966.555196 1967.622499 1968.794487
57.800000 1964.988749 1965.928889 1967.185051 1967.170323 1968.338052 1969.465450
57.820000 1965.504670 1966.545626 1967.784512 1967.811254 1968.996753 1970.306877
57.840000 1966.139486 1967.201974 1968.348396 1968.449255 1969.637776 1971.142156
57.860000 1966.739142 1967.902565 1969.028231 1969.091676 1970.300145 1971.717987
57.880000 1967.432678 1968.536144 1969.622228 1969.748463 1971.006839 1972.598797
57.900000 1968.103926 1969.168205 1970.212234 1970.395802 1971.702659 1973.272861
57.920000 1968.639937 1969.817727 1970.848415 1971.057853 1972.508810 1973.880899
57.960000 1969.871077 1970.889131 1972.129799 1972.296734 1973.852461 1975.290310
57.980000 1970.406415 1971.430347 1972.759977 1972.934320 1974.577709 1975.986414
58.000000 1970.997184 1971.968358 1973.392289 1973.527958 1975.224731 1976.619798
58.020000 1971.626150 1972.492225 1973.994554 1974.117986 1975.833244 1977.159383
58.040000 1972.197043 1973.004640 1974.603440 1974.674755 1976.423336 1977.629897
58.060000 1972.633010 1973.542985 1975.184245 1975.232168 1977.052233 1978.161093
58.080000 1973.116416 1974.044157 1975.783565 1975.782341 1977.654431 1978.735763
58.100000 1973.569884 1974.536612 1976.374982 1976.344453 1978.242684 1979.289892
58.120000 1974.113000 1975.073646 1977.012088 1976.919768 1978.769376 1979.834336
58.140000 1974.654237 1975.583801 1977.647480 1977.511162 1979.294584 1980.469047
58.160000 1975.180511 1976.134374 1978.294648 1978.123005 1979.909395 1981.038357
58.180000 1975.761832 1976.736854 1978.942183 1978.740244 1980.501360 1981.634558
58.200000 1976.350935 1977.273659 1979.658638 1979.358109 1981.078090 1982.260702
58.220000 1976.882015 1977.907832 1980.297902 1979.978027 1981.680785 1982.786955
58.240000 1977.492782 1978.496755 1980.898817 1980.589147 1982.279316 1983.405163
58.260000 1978.046127 1979.167600 1981.540028 1981.223246 1982.919766 1983.963380
58.280000 1978.526102 1979.919450 1982.156188 1981.847791 1983.496117 1984.537551
58.300000 1979.219499 1980.546055 1982.770762 1982.488243 1984.102094 1985.188291
58.320000 1979.854446 1981.314090 1983.450444 1983.155572 1984.697521 1985.731625
58.340000 1980.677755 1982.189410 1984.098616 1983.862732 1985.340471 1986.306520
58.360000 1981.256419 1982.931800 1984.821566 1984.585281 1986.049364 1986.991830
58.380000 1981.838616 1983.897131 1985.527311 1985.331765 1986.791748 1987.664482
58.400000 1982.721853 1984.820884 1986.322007 1986.148094 1987.492345 1988.461276
58.420000 1983.589119 1985.672100 1987.132434 1986.947075 1988.198368 1989.163147
58.440000 1984.763340 1986.706180 1987.985453 1987.832996 1988.973424 1990.074355
58.460000 1985.886989 1987.673582 1988.768952 1988.688195 1989.792059 1991.029585
58.500000 1987.959624 1989.106261 1990.100156 1990.125846 1991.109255 1992.304033
58.520000 1988.856031 1989.842055 1990.779775 1990.833077 1991.749155 1993.330404
58.540000 1989.640307 1990.508587 1991.388321 1991.478067 1992.438372 1993.866045
58.560000 1990.218564 1991.117828 1991.939023 1992.056925 1993.095769 1994.580891
58.580000 1990.894566 1991.672329 1992.511244 1992.633376 1993.588536 1995.204362
58.600000 1991.526215 1992.236803 1993.100797 1993.228673 1994.210998 1995.728415
58.620000 1992.044024 1992.820684 1993.697585 1993.825298 1994.792514 1996.337202
58.640000 1992.734931 1993.427163 1994.257290 1994.426622 1995.406968 1996.970092
