depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
46.440000 1399.126816 1400.025920 1400.955236 1400.979807 1401.952352 1402.793191
46.540000 1401.536161 1402.881672 1404.156777 1404.324158 1405.787234 1407.990743
46.640000 1404.193775 1405.778357 1407.547425 1407.760744 1409.685161 1412.185767
46.720000 1406.463771 1408.315526 1410.402587 1410.517448 1412.537536 1415.503074
46.740000 1407.026706 1408.918082 1411.054480 1411.226840 1413.327211 1416.560935
46.820000 1409.685494 1411.431432 1413.495628 1413.933013 1416.610039 1420.161089
46.920000 1412.474214 1414.576408 1417.497283 1418.078285 1421.783502 1426.218362
47.020000 1415.642921 1418.074567 1423.203816 1423.126072 1427.930271 1432.221976
47.120000 1418.317487 1421.978732 1426.807468 1426.877749 1431.776280 1435.346974
47.220000 1421.774205 1426.313775 1430.538669 1430.521974 1434.997060 1438.078181
47.320000 1425.957034 1430.200044 1433.870969 1433.885868 1437.750730 1440.849867
47.420000 1429.940705 1433.195094 1436.680231 1436.747323 1440.485430 1443.195054
47.520000 1433.030055 1436.000195 1439.403197 1439.424163 1443.175053 1445.205875
47.620000 1435.640753 1438.681577 1442.326115 1442.204569 1445.662834 1447.458184
47.720000 1438.752482 1441.775979 1445.589969 1445.148988 1448.206716 1449.659599
47.820000 1442.438861 1446.352433 1449.114430 1448.680987 1450.775582 1452.347679
47.920000 1449.786761 1451.669181 1453.114837 1453.220477 1454.816275 1457.653729
48.020000 1453.267160 1454.481320 1456.010477 1456.326453 1458.115907 1461.401976
48.120000 1455.250014 1456.833856 1458.733059 1459.102738 1461.601406 1463.914972
48.220000 1457.436425 1459.388877 1461.942378 1462.052467 1464.617225 1466.628077
48.320000 1460.401375 1462.732840 1465.513948 1465.385732 1467.857125 1470.413693
48.420000 1463.934506 1466.684338 1469.432133 1469.565517 1472.258340 1476.243547
48.520000 1467.206852 1469.636005 1472.293506 1472.846518 1476.485598 1480.687426
48.620000 1470.227334 1472.398631 1475.538736 1476.101587 1479.951497 1484.043338
48.720000 1472.689599 1475.272717 1478.938112 1479.144438 1483.079601 1486.634341
48.820000 1475.259309 1478.205506 1482.309912 1482.290445 1486.300038 1489.079481
48.920000 1478.105849 1481.098366 1485.690192 1485.322580 1489.178636 1491.550336
49.020000 1481.270078 1484.307091 1488.980237 1488.554364 1492.080978 1494.856010
49.120000 1484.255682 1488.446512 1491.572640 1491.620761 1494.527026 1499.454366
49.220000 1488.527657 1492.153764 1494.678992 1495.026743 1497.952673 1503.061325
49.320000 1492.372398 1494.760500 1497.823707 1498.129249 1501.506822 1506.392288
49.420000 1494.688125 1497.648298 1500.740802 1501.094409 1504.612896 1509.476743
49.520000 1497.213842 1500.537231 1503.861988 1504.128308 1507.723880 1512.804974
49.620000 1500.508001 1503.640277 1507.061369 1507.387227 1510.937954 1516.077487
49.720000 1504.366155 1507.263630 1510.252302 1510.772367 1514.432498 1519.799698
49.820000 1508.367227 1511.299709 1513.942467 1514.601364 1518.586923 1522.691821
49.920000 1511.527378 1514.168194 1517.680936 1517.975677 1521.887622 1525.470334
50.020000 1514.215681 1517.214061 1521.074111 1521.151342 1525.237424 1528.088889
50.120000 1517.484435 1520.689396 1524.557830 1524.372647 1528.006158 1530.401618
50.220000 1520.899226 1524.674262 1528.411764 1528.097206 1531.232414 1533.436729
50.320000 1527.052308 1530.418568 1532.859074 1532.718791 1535.036249 1537.140274
50.420000 1531.213953 1533.362833 1535.633932 1535.698785 1538.002992 1540.511223
50.520000 1533.699390 1535.855194 1538.142789 1538.283002 1540.773484 1543.029965
50.620000 1535.988602 1538.305888 1540.561010 1540.756315 1543.418014 1546.280991
50.720000 1538.561228 1540.752998 1543.110474 1543.369590 1546.035833 1549.799052
50.820000 1540.958770 1543.428278 1545.719387 1546.343085 1549.475237 1554.739009
50.920000 1543.390130 1545.675984 1548.511676 1549.336776 1553.432916 1558.073536
51.020000 1545.883587 1548.067911 1551.908055 1552.697624 1557.754247 1560.799320
51.120000 1548.587998 1551.027079 1556.338111 1556.218541 1561.349910 1563.956431
51.220000 1551.305922 1554.079847 1560.966606 1559.818384 1564.273091 1566.585032
51.320000 1553.848861 1557.663757 1564.377635 1563.226707 1567.067407 1569.510476
51.420000 1556.792245 1562.183964 1567.583555 1566.620468 1570.031178 1572.564431
51.520000 1560.733842 1567.245645 1570.397741 1569.902894 1572.647218 1575.461652
51.620000 1567.734987 1571.157953 1573.217688 1573.244271 1575.468965 1578.416568
51.720000 1571.653092 1573.794672 1575.864418 1576.065375 1578.190007 1581.278603
51.820000 1573.863889 1576.225059 1578.457983 1578.759090 1581.198972 1583.961083
51.920000 1576.546579 1578.829299 1581.219951 1581.603833 1584.127258 1587.158557
52.020000 1579.471424 1581.729257 1584.227560 1584.622620 1587.344234 1590.492989
52.120000 1581.833119 1584.834423 1587.763478 1587.903287 1590.576428 1593.365193
52.210000 1584.176821 1587.812565 1591.051547 1590.961075 1593.445300 1596.276688
52.220000 1584.554741 1588.188273 1591.384493 1591.312804 1593.788451 1596.489068
52.320000 1587.534373 1591.347303 1594.248680 1594.300362 1596.707292 1599.489915
52.410000 1590.303093 1594.349917 1596.960488 1597.116650 1599.472467 1603.285808
52.510000 1593.835164 1597.446461 1600.091500 1600.452542 1602.920558 1609.088827
52.610000 1597.474895 1600.451540 1603.101116 1603.591824 1606.245202 1613.162259
52.710000 1600.333397 1603.353432 1606.252323 1606.930579 1609.846225 1618.504083
52.810000 1603.432048 1606.451947 1609.701296 1610.549240 1613.845041 1622.159516
52.910000 1606.553901 1609.677814 1613.337455 1614.332808 1618.864029 1625.610204
53.010000 1609.365530 1612.823290 1617.176214 1618.143720 1623.379184 1628.373410
53.110000 1612.367958 1615.958557 1621.822550 1622.015400 1626.835639 1630.945277
53.210000 1615.136478 1619.388470 1626.742986 1625.903585 1630.080091 1633.908331
53.310000 1618.587176 1623.354847 1630.402940 1629.688565 1633.467601 1636.937948
53.410000 1621.928131 1628.132984 1633.432435 1633.109960 1636.353584 1639.753376
53.510000 1625.151085 1632.720850 1636.272882 1636.402915 1638.986877 1642.858512
53.610000 1630.776883 1636.362610 1639.399989 1639.732319 1641.890920 1646.589351
53.710000 1636.358717 1640.078022 1642.752670 1643.562884 1645.782077 1652.509052
53.810000 1639.872873 1643.214331 1645.958384 1647.096315 1650.075438 1657.826116
53.910000 1642.742598 1645.905519 1649.153164 1650.503093 1654.015603 1661.512273
54.010000 1645.544304 1648.459743 1652.411032 1653.672001 1657.829477 1665.154324
54.110000 1647.735000 1651.121785 1655.820457 1656.790200 1660.904716 1674.449588
54.210000 1650.453093 1653.975615 1659.264008 1660.039003 1663.900978 1685.604622
54.310000 1653.353333 1657.198152 1662.669507 1663.406181 1666.965803 1691.428351
54.410000 1656.844421 1661.069602 1666.096306 1667.207820 1670.633588 1702.612065
54.510000 1660.491990 1664.972447 1669.901064 1671.643209 1675.655114 1706.861842
54.610000 1665.467118 1669.728054 1674.380299 1677.389370 1684.334612 1712.603643
54.710000 1668.437196 1673.644468 1679.058929 1682.735238 1692.759250 1716.962768
54.810000 1671.479355 1676.683981 1684.476132 1689.024501 1703.370997 1722.070677
54.910000 1674.079725 1679.344362 1688.984556 1695.004198 1712.667390 1727.254681
55.010000 1676.917480 1682.186690 1693.556011 1700.903425 1720.549043 1731.804466
55.110000 1680.620313 1684.978231 1705.427764 1706.173051 1728.051929 1735.719845
55.210000 1683.439317 1688.094856 1715.337007 1710.999923 1734.770753 1739.241089
55.310000 1686.884217 1691.966717 1720.739860 1715.696991 1738.994300 1742.375811
55.410000 1691.315485 1696.213287 1727.317612 1720.088061 1742.896142 1745.532788
55.510000 1695.958653 1700.272203 1735.860934 1724.360769 1745.953356 1748.679449
55.610000 1700.013988 1703.352797 1743.956391 1727.802744 1748.798011 1751.935617
55.710000 1703.105503 1706.636394 1746.704889 1731.034439 1751.661361 1756.060642
55.810000 1706.362345 1710.000752 1750.180247 1734.852346 1755.437585 1760.420339
55.910000 1710.253266 1713.469893 1753.495173 1739.408063 1759.836075 1766.923981
56.010000 1714.119123 1717.073393 1757.298437 1744.400795 1765.618130 1773.380570
56.090000 1716.777821 1719.620244 1760.021991 1748.166757 1770.032731 1777.361331
56.110000 1717.549762 1720.341321 1760.722240 1749.055855 1771.126505 1778.020225
56.190000 1719.872743 1723.008429 1763.394114 1752.709241 1774.819376 1783.024561
56.290000 1723.003967 1725.978756 1767.275518 1757.063090 1777.922439 1790.892936
56.390000 1726.073651 1729.033358 1774.070557 1761.696398 1781.282535 1795.615606
56.410000 1726.549930 1729.808821 1775.078881 1762.556719 1782.030416 1796.438106
56.490000 1728.642670 1732.375396 1778.828824 1765.996179 1784.494164 1801.754751
56.510000 1729.585331 1733.299008 1779.713712 1766.843107 1785.228392 1802.444437
56.590000 1732.361337 1736.752193 1782.620733 1770.340799 1787.812695 1805.947817
56.610000 1733.280843 1737.613768 1783.302530 1771.185579 1788.527929 1806.714962
56.710000 1737.999491 1742.051561 1786.875442 1775.854556 1791.593323 1811.469181
56.790000 1742.494658 1745.202335 1789.997549 1779.530026 1794.739350 1814.268166
56.810000 1743.613351 1745.933964 1790.835288 1780.398306 1795.731422 1814.827412
56.890000 1746.633938 1748.819830 1793.967058 1783.591399 1798.890474 1817.972887
56.910000 1747.252162 1749.693499 1794.852973 1784.472159 1799.724105 1818.716887
