depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
181.990000 1399.584591 1400.336705 1401.330864 1401.355695 1402.306606 1403.193716
182.090000 1400.007937 1400.902145 1401.921921 1401.931365 1402.918151 1403.863193
182.190000 1400.536930 1401.429779 1402.583957 1402.560198 1403.644677 1404.828668
182.290000 1401.029749 1401.945323 1403.135738 1403.151674 1404.295189 1405.596898
182.390000 1401.469403 1402.401986 1403.725655 1403.756923 1405.048950 1406.256602
182.490000 1401.937743 1402.948388 1404.374177 1404.376371 1405.775202 1406.935726
182.590000 1402.422893 1403.516937 1405.011770 1404.980922 1406.362678 1407.427530
182.710000 1402.843007 1404.178102 1405.685162 1405.655340 1407.079978 1408.089763
182.830000 1403.382286 1404.851437 1406.476673 1406.347626 1407.775995 1408.787416
182.950000 1403.961843 1405.470028 1407.182411 1407.014163 1408.403334 1409.475631
183.070000 1404.514153 1406.176318 1407.812627 1407.644733 1408.977080 1410.082860
183.190000 1405.239430 1406.855707 1408.417589 1408.263258 1409.513476 1410.579092
183.325000 1405.873919 1407.647644 1409.019675 1408.888267 1410.066519 1411.254688
183.460000 1406.502607 1408.388815 1409.573252 1409.501372 1410.576694 1411.914569
183.595000 1407.303130 1409.060005 1410.168337 1410.089368 1411.121709 1412.407990
183.730000 1407.955949 1409.727482 1410.712158 1410.676769 1411.672503 1412.940683
183.790000 1408.290748 1409.988039 1410.963870 1410.925298 1411.898477 1413.195824
183.925000 1408.785919 1410.517416 1411.438110 1411.441335 1412.424493 1413.820877
184.060000 1409.352555 1411.024465 1411.917586 1411.947844 1412.897210 1414.336664
184.195000 1410.058357 1411.491584 1412.413252 1412.459022 1413.383353 1415.125760
184.330000 1410.842200 1411.984496 1412.890703 1412.971357 1413.947345 1415.750810
184.430000 1411.215107 1412.338466 1413.265128 1413.393555 1414.455418 1416.529841
184.530000 1411.647898 1412.750648 1413.661709 1413.826307 1414.937548 1416.990722
184.630000 1412.131836 1413.144267 1414.065343 1414.266480 1415.377077 1417.530443
184.750000 1412.575796 1413.630302 1414.659256 1414.865454 1416.138628 1418.373481
