age(kyr) mean(permil) sigma(permil)
1480.000000 4.081024 0.224843
1481.000000 4.092858 0.222716
1482.000000 4.105110 0.220375
1483.000000 4.117773 0.217845
1484.000000 4.130558 0.215088
1485.000000 4.143497 0.212107
1486.000000 4.156806 0.208851
1487.000000 4.170655 0.205235
1488.000000 4.185072 0.201398
1489.000000 4.200255 0.197294
1490.000000 4.215715 0.193124
1491.000000 4.230568 0.188521
1492.000000 4.244185 0.183328
1493.000000 4.257029 0.177817
1494.000000 4.268783 0.171753
1495.000000 4.278561 0.165763
1496.000000 4.282498 0.161137
1497.000000 4.278648 0.157661
1498.000000 4.266275 0.155314
1499.000000 4.245770 0.153596
1500.000000 4.218148 0.151251
1501.000000 4.185506 0.148151
1502.000000 4.151700 0.145597
1503.000000 4.114480 0.143779
1504.000000 4.076753 0.141515
1505.000000 4.041722 0.139940
1506.000000 4.010718 0.139680
1507.000000 3.982688 0.140961
1508.000000 3.959149 0.143356
1509.000000 3.938764 0.146131
1510.000000 3.915030 0.148658
1511.000000 3.881179 0.150679
1512.000000 3.832707 0.151275
1513.000000 3.775121 0.149637
1514.000000 3.718080 0.145997
1515.000000 3.666263 0.140937
1516.000000 3.623052 0.137855
1517.000000 3.590929 0.138667
1518.000000 3.574930 0.143544
1519.000000 3.581326 0.151416
1520.000000 3.602419 0.160343
1521.000000 3.634195 0.169074
1522.000000 3.669047 0.175946
1523.000000 3.705414 0.180548
1524.000000 3.743317 0.182948
1525.000000 3.778672 0.183714
1526.000000 3.813359 0.184620
1527.000000 3.849584 0.185981
1528.000000 3.892236 0.186988
1529.000000 3.943419 0.186384
1530.000000 4.006505 0.182585
1531.000000 4.078083 0.174967
1532.000000 4.150304 0.163262
1533.000000 4.208632 0.149196
1534.000000 4.244971 0.136971
1535.000000 4.263936 0.129610
1536.000000 4.271746 0.127596
1537.000000 4.272416 0.128041
1538.000000 4.258999 0.126532
1539.000000 4.236736 0.123459
1540.000000 4.206079 0.122185
1541.000000 4.161823 0.124071
1542.000000 4.102499 0.127192
1543.000000 4.034519 0.127925
1544.000000 3.972606 0.126236
1545.000000 3.924483 0.123146
1546.000000 3.889864 0.121936
1547.000000 3.862864 0.124321
1548.000000 3.832733 0.131840
1549.000000 3.794694 0.142802
1550.000000 3.750719 0.153828
1551.000000 3.705766 0.164924
1552.000000 3.666149 0.174191
1553.000000 3.642970 0.182034
1554.000000 3.638712 0.188264
1555.000000 3.647653 0.192546
1556.000000 3.661729 0.194153
1557.000000 3.671762 0.192534
1558.000000 3.668782 0.189023
1559.000000 3.649330 0.184078
1560.000000 3.614813 0.178611
1561.000000 3.571311 0.174161
1562.000000 3.534641 0.171289
1563.000000 3.513365 0.169078
1564.000000 3.514710 0.167474
1565.000000 3.538274 0.167713
1566.000000 3.586537 0.169481
