depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
29.510000 1484.869673 1496.784869 1505.073577 1503.724674 1510.174901 1514.157294
29.610000 1495.046494 1505.122590 1512.100070 1510.989738 1516.995512 1521.247157
29.710000 1504.811240 1511.909151 1518.902958 1517.776953 1523.285947 1527.858365
29.800000 1512.152121 1518.114962 1523.572100 1523.214494 1527.925720 1533.914617
29.890000 1519.914666 1524.179685 1528.381889 1529.232032 1534.416040 1542.572507
29.900000 1520.565594 1524.803994 1529.100525 1529.975404 1535.285693 1543.726559
30.000000 1525.982110 1531.698394 1542.817645 1540.578323 1546.168647 1548.606101
30.090000 1538.159326 1544.530965 1547.663482 1547.002472 1549.748768 1551.613711
30.190000 1546.895960 1549.181652 1551.012477 1550.910857 1552.604179 1554.440389
30.280000 1550.321408 1551.905856 1553.422631 1553.473702 1555.015089 1556.876839
30.400000 1553.362327 1554.801262 1556.325510 1556.392359 1558.017100 1559.768532
30.410000 1553.652270 1555.104884 1556.623536 1556.686583 1558.275799 1560.089574
30.510000 1555.580498 1557.427405 1559.409125 1560.356354 1562.831232 1571.026829
30.610000 1557.971527 1559.738751 1563.132826 1564.691739 1569.078262 1582.139403
30.710000 1560.675691 1563.710793 1567.694972 1570.543852 1581.189527 1590.767108
30.810000 1566.245046 1571.016316 1579.046175 1579.965734 1590.033151 1599.249524
30.870000 1568.590852 1578.120815 1585.519990 1586.416772 1595.384784 1608.968644
31.010000 1577.086934 1589.137453 1606.565056 1601.817633 1612.012748 1616.614413
31.110000 1583.987548 1606.417417 1614.528724 1611.422822 1617.981980 1621.322102
31.220000 1595.109986 1614.676824 1620.294293 1618.497289 1623.836345 1627.705241
31.310000 1608.037836 1619.354421 1624.610795 1623.622227 1628.536573 1632.516420
31.410000 1616.230090 1624.177708 1629.514555 1628.953387 1634.174690 1637.887406
31.510000 1621.823657 1629.251306 1635.002035 1634.214589 1639.178086 1642.054013
31.600000 1629.875603 1634.854560 1639.502221 1638.961805 1642.798007 1645.361232
31.690000 1636.522154 1640.428202 1643.603150 1643.364943 1646.355143 1648.455495
31.770000 1641.450896 1644.202703 1646.767300 1646.757186 1649.307548 1651.515843
31.780000 1641.714041 1644.795504 1647.247739 1647.200022 1649.724582 1651.963553
31.910000 1646.320363 1649.042393 1651.845123 1652.156865 1655.080264 1659.533041
32.010000 1650.162709 1652.992176 1656.568791 1656.755813 1660.359300 1664.054893
32.110000 1654.355484 1657.752106 1661.793202 1662.166421 1665.341422 1668.863332
32.210000 1663.567424 1671.657110 1694.282579 1690.575356 1700.642038 1708.070537
32.290000 1681.627634 1699.655065 1709.117081 1706.758782 1712.925128 1719.895010
32.370000 1696.926493 1714.668140 1718.086288 1717.366552 1721.010086 1730.875028
32.470000 1713.950865 1722.309911 1725.524080 1725.954907 1730.244362 1739.795194
32.590000 1724.435605 1729.434365 1733.685140 1734.439618 1739.687746 1750.400646
32.710000 1731.583319 1736.670731 1741.972822 1742.957889 1749.715306 1759.344192
32.810000 1738.015401 1742.993231 1750.352005 1751.051742 1758.811752 1769.587916
32.900000 1743.578343 1750.727429 1758.730774 1759.294521 1767.956255 1777.588323
33.010000 1751.987948 1759.499653 1768.178069 1768.526195 1777.828020 1786.336482
33.148429 1761.700390 1768.962720 1779.435581 1779.899845 1790.704638 1804.870886
33.286857 1769.903382 1778.283280 1789.751998 1790.787228 1802.835297 1815.326074
33.425286 1779.583921 1788.741706 1801.931708 1802.020538 1814.415317 1825.504498
33.563714 1788.964818 1799.992413 1813.671793 1813.242758 1825.828966 1835.559049
33.702143 1801.102100 1812.205993 1825.364414 1824.786820 1836.949334 1845.478057
33.840571 1812.302406 1824.071821 1837.178532 1836.148519 1847.480967 1855.769598
33.979000 1825.510931 1838.317836 1848.664553 1848.284302 1859.020528 1864.541728
34.010000 1828.376128 1841.377211 1851.798216 1851.389339 1861.729952 1867.194062
34.130000 1838.660463 1853.156383 1863.114059 1861.559643 1869.464380 1874.634905
34.210000 1847.605807 1861.213243 1869.586420 1868.197398 1875.016155 1879.923917
34.310000 1860.603408 1869.587692 1876.577338 1876.243495 1882.535436 1891.270779
34.410000 1868.826459 1878.005828 1884.479548 1885.408870 1893.825499 1903.060428
34.470000 1873.438141 1883.798340 1892.077723 1892.184292 1901.623190 1906.820930
34.610000 1883.374304 1900.595966 1905.561864 1904.091430 1909.083983 1911.383586
34.710000 1897.722055 1907.086774 1910.710080 1909.749398 1913.012286 1914.824264
34.805000 1904.941278 1911.047858 1913.945494 1913.413029 1916.076071 1917.742579
34.900000 1910.704609 1914.529632 1917.016082 1916.656451 1918.786076 1920.251616
35.010000 1915.657392 1918.576697 1920.679671 1920.710463 1922.861865 1925.533928
35.054000 1917.725275 1920.258888 1922.493907 1922.833555 1925.186619 1929.165276
35.110000 1920.671604 1922.757887 1925.326492 1925.858551 1928.657235 1936.160747
35.205000 1926.343518 1931.683585 1935.626470 1935.233413 1938.529058 1942.476213
35.300000 1937.373613 1940.037508 1942.108259 1941.998364 1944.041152 1946.168059
35.380000 1941.549566 1943.233257 1945.063105 1945.100912 1946.996473 1948.887113
35.390000 1942.089288 1943.635710 1945.433053 1945.507065 1947.371825 1949.196559
35.500000 1945.396647 1946.821337 1948.538110 1948.708252 1950.670017 1952.824084
35.600000 1947.683239 1949.332738 1951.226868 1951.567864 1953.740422 1957.478612
35.700000 1950.134440 1951.949574 1954.209010 1954.728887 1957.997431 1961.972710
35.800000 1952.604093 1954.662617 1957.918600 1958.457295 1962.640797 1966.508751
35.900000 1955.125419 1957.742709 1962.164161 1962.486536 1967.244828 1970.886402
36.000000 1957.552307 1961.657469 1967.168412 1966.710021 1971.593815 1974.619234
36.120000 1961.738616 1966.567188 1972.507482 1972.323384 1977.845758 1982.156906
36.240000 1966.292271 1972.459132 1978.493970 1978.318401 1983.881301 1989.396230
36.360000 1971.563474 1978.947668 1985.081798 1984.613819 1990.127101 1995.198571
36.480000 1980.010664 1986.448596 1991.008725 1990.765364 1995.251969 1999.833875
36.600000 1989.679773 1993.208163 1996.205939 1996.439756 1999.956610 2004.306053
36.700000 1995.124111 1997.661954 2000.129725 2000.402299 2003.299660 2007.058991
36.800000 1998.480278 2000.892324 2003.402626 2003.646839 2006.575219 2009.350600
36.900000 2001.287228 2003.876167 2006.599801 2006.696619 2009.729318 2012.006861
37.000000 2003.970175 2006.536760 2009.470270 2009.465372 2012.367688 2014.436172
37.100000 2006.620060 2009.530777 2012.282554 2012.142858 2014.812462 2016.688854
37.200000 2009.331938 2012.237223 2014.881120 2014.725782 2017.124825 2019.605417
37.300000 2012.093254 2014.941027 2017.368219 2017.455066 2019.620637 2022.797397
37.400000 2015.091941 2017.817568 2020.399884 2020.917896 2023.792260 2030.921680
37.500000 2018.420071 2021.048529 2024.201564 2025.178009 2029.827579 2038.316905
37.600000 2021.322130 2024.907840 2029.334399 2030.377984 2036.342358 2046.757798
37.700000 2026.266526 2030.057212 2035.430934 2037.388951 2044.348263 2058.659271
37.800000 2032.189450 2036.903444 2044.889985 2050.495360 2075.196201 2084.787025
37.900000 2036.832156 2043.659906 2055.674640 2061.466020 2087.476474 2092.641038
37.980000 2041.626725 2050.552526 2079.400598 2072.904766 2091.842367 2095.683640
38.100000 2050.677174 2077.578122 2090.381405 2086.076835 2096.221480 2100.220136
38.200000 2059.635414 2088.071239 2095.288676 2092.949823 2099.263377 2103.091891
38.300000 2084.946559 2093.153522 2098.285672 2097.299152 2101.951952 2106.354036
38.400000 2091.086036 2096.311885 2100.687399 2100.310935 2104.192150 2108.513492
38.500000 2095.494102 2099.118513 2103.128373 2103.039508 2106.875427 2110.874378
38.600000 2098.391338 2101.826864 2105.507516 2105.685994 2109.767470 2114.206164
38.700000 2100.839662 2104.239079 2108.255128 2108.428016 2112.577310 2117.376551
