depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
30.960000 98.159810 98.789216 100.025345 100.342925 101.943086 104.296658
31.100000 99.000476 99.836939 101.152891 101.430465 103.115884 105.287099
31.240000 99.850557 100.820455 102.145486 102.449917 104.256375 106.372975
31.320000 100.419093 101.376198 102.754709 103.076055 104.937978 107.036615
31.360000 100.737243 101.689710 103.119739 103.418688 105.290009 107.392184
31.400000 101.096266 102.023397 103.462206 103.752454 105.670405 107.679951
31.440000 101.405947 102.333015 103.826160 104.102592 105.948393 108.028822
31.520000 101.914255 102.982046 104.530942 104.779053 106.635940 108.695745
31.600000 102.427652 103.657497 105.309408 105.491264 107.370694 109.241201
31.640000 102.799880 104.000637 105.706573 105.868262 107.782379 109.513072
31.680000 103.214005 104.352627 106.118874 106.246244 108.211412 109.811444
31.760000 103.852730 105.013356 106.942798 106.949816 108.890593 110.286584
31.840000 104.400794 105.657144 107.710790 107.644327 109.589589 110.798018
31.960000 105.279035 106.662659 108.739970 108.653646 110.594305 111.477069
32.000000 105.549303 107.098946 109.069822 108.994699 110.962051 111.745754
32.040000 105.962087 107.486511 109.355518 109.338456 111.217131 111.998817
32.080000 106.251155 107.878979 109.664092 109.677776 111.509680 112.257156
32.120000 106.638055 108.265604 109.997878 110.009110 111.814239 112.473112
32.160000 106.995323 108.736922 110.323328 110.346367 112.107240 112.723165
32.200000 107.313180 109.124682 110.644014 110.671583 112.347449 112.990517
32.240000 107.812089 109.574016 110.964905 110.994489 112.621581 113.227717
32.280000 108.347378 109.995061 111.324949 111.324652 112.881040 113.463385
32.320000 108.641562 110.368669 111.649256 111.650287 113.150597 113.725090
32.360000 109.006607 110.752291 112.050903 111.980066 113.418490 113.994937
32.400000 109.644425 111.113700 112.396193 112.311431 113.672112 114.239729
32.440000 110.005722 111.446198 112.716284 112.641508 113.968862 114.540848
32.480000 110.395038 111.800339 113.123472 112.991677 114.220594 114.781022
32.520000 110.820472 112.183621 113.514343 113.346917 114.484813 115.035047
32.560000 111.347726 112.542079 113.884869 113.713467 114.783577 115.311114
32.600000 111.812202 112.908686 114.241769 114.054588 115.064060 115.587127
32.640000 112.307709 113.279787 114.606158 114.402000 115.363766 115.853146
32.680000 112.719718 113.762889 114.925977 114.746287 115.651199 116.169453
32.720000 113.051059 114.084395 115.249312 115.072076 115.952534 116.512701
32.760000 113.516175 114.457287 115.535922 115.409469 116.212376 116.899569
32.800000 113.901605 114.838054 115.845266 115.742542 116.501947 117.270171
32.840000 114.306746 115.192157 116.191149 116.082764 116.853379 117.558386
32.880000 114.755207 115.566673 116.527980 116.437335 117.213157 117.950062
32.920000 115.102623 115.954899 116.877321 116.812534 117.597108 118.364482
32.960000 115.564055 116.423496 117.283900 117.240725 118.025776 118.874808
33.100000 116.964826 117.850105 118.758858 118.820428 119.843953 120.928925
33.240000 118.514321 119.362300 120.440467 120.463577 121.512347 122.590940
33.280000 119.046176 119.964242 121.049359 121.040304 122.067301 123.047373
33.320000 119.581104 120.567053 121.611458 121.617473 122.619196 123.616402
33.360000 120.159417 121.145913 122.196069 122.154345 123.097867 124.093012
33.400000 120.661316 121.675546 122.677856 122.654844 123.633270 124.486185
33.440000 121.190397 122.185852 123.174173 123.149685 124.058647 125.015183
33.480000 121.777257 122.732883 123.639422 123.629473 124.501051 125.486056
33.520000 122.383435 123.245311 124.095113 124.109087 124.963175 126.046681
33.560000 122.925871 123.715225 124.633258 124.615599 125.493948 126.425962
33.600000 123.434249 124.234019 125.115621 125.126348 125.959282 126.963078
33.640000 123.983490 124.876172 125.708066 125.714467 126.562229 127.533610
33.680000 124.750493 125.587065 126.354258 126.381957 127.189299 128.130686
33.720000 125.552438 126.269889 127.034091 127.082579 127.854520 129.002395
33.800000 126.849559 127.547835 128.376377 128.459901 129.364794 130.694815
33.840000 127.372194 128.146531 128.964080 129.097561 130.116649 131.203567
33.960000 128.593611 129.527092 130.562449 130.559912 131.642682 132.771612
34.080000 129.690022 130.789740 131.936367 131.926425 133.024420 134.094981
34.160000 130.548914 131.764265 133.019438 132.935454 134.088001 135.034491
34.240000 131.429523 132.745493 134.096202 133.976461 135.123726 136.077077
34.280000 131.815095 133.178286 134.579111 134.450144 135.662327 136.404987
34.320000 132.171850 133.671728 135.069106 134.936147 136.160610 136.813452
