depth(m)	lower_95(kyr)	lower_68(kyr)	median(kyr)	mean(kyr)	upper_68(kyr)	upper_95(kyr)
552	98.316231	99.36738	100.754127	100.85653	102.199299	104.071393
552.142857	98.340945	99.400002	100.796463	100.891942	102.228843	104.10599
552.285714	98.369605	99.431567	100.824697	100.92793	102.263686	104.136761
552.428571	98.411946	99.463133	100.86096	100.962597	102.314421	104.166119
552.571429	98.449725	99.520889	100.889927	100.997012	102.343933	104.187089
552.714286	98.512699	99.55582	100.915046	101.031197	102.363548	104.204002
552.857143	98.537361	99.595964	100.940123	101.064511	102.394118	104.229745
553	98.578682	99.636685	100.967295	101.097464	102.42032	104.255666
553.142857	98.61717	99.679003	100.998325	101.13237	102.441306	104.320105
553.285714	98.669042	99.709019	101.027307	101.166332	102.474816	104.350327
553.428571	98.697522	99.742228	101.055207	101.200361	102.497413	104.394021
553.571429	98.798806	99.768855	101.085612	101.233236	102.521269	104.410626
553.714286	98.822729	99.789748	101.123582	101.266728	102.54904	104.477214
553.857143	98.848079	99.832795	101.159955	101.300815	102.597996	104.50267
554	98.931558	99.865371	101.199596	101.335218	102.625199	104.555337
554.142857	98.949377	99.900196	101.225286	101.367657	102.647554	104.594791
554.285714	98.988757	99.929612	101.261639	101.401896	102.665548	104.665926
554.428571	99.019726	99.985165	101.290653	101.436344	102.689731	104.709197
554.571429	99.062116	100.008979	101.312979	101.470383	102.72483	104.798424
554.714286	99.095463	100.035184	101.340531	101.503202	102.752373	104.855826
554.857143	99.113838	100.075328	101.377259	101.536235	102.776457	104.900986
555	99.135976	100.110803	101.402798	101.569338	102.797222	105.084182
555.142857	99.164303	100.161723	101.431283	101.602916	102.83401	105.124611
555.285714	99.189292	100.195065	101.463135	101.636564	102.8567	105.174929
555.428571	99.220212	100.224559	101.505018	101.671237	102.892211	105.240121
555.571429	99.245914	100.250283	101.537045	101.704634	102.91721	105.28238
555.714286	99.284046	100.273557	101.571185	101.738096	102.934868	105.353631
555.857143	99.318435	100.301894	101.607453	101.769406	102.969111	105.420372
556	99.351488	100.325735	101.639451	101.802457	102.998574	105.522601
556.142857	99.367844	100.362935	101.662821	101.835567	103.03086	105.601076
556.285714	99.399579	100.405725	101.696481	101.867625	103.061653	105.704718
556.428571	99.416125	100.43167	101.733691	101.900982	103.083145	105.767531
556.571429	99.440631	100.469756	101.757165	101.93392	103.137058	105.838899
556.714286	99.46525	100.519261	101.784812	101.967551	103.161636	105.936715
556.857143	99.485481	100.549014	101.805517	102.000944	103.187872	105.958034
557	99.507462	100.5714	101.838644	102.034374	103.222082	105.989551
557.142857	99.542289	100.616489	101.890967	102.069251	103.246681	106.101671
557.285714	99.570076	100.63514	101.923445	102.101964	103.270698	106.142257
557.428571	99.591456	100.673306	101.95906	102.135188	103.291665	106.208406
557.571429	99.61422	100.722528	101.982383	102.169344	103.324957	106.235908
557.714286	99.651049	100.757063	102.011414	102.2031	103.352862	106.345379
557.857143	99.67398	100.784182	102.040703	102.236736	103.398318	106.388633
558	99.703425	100.818905	102.070894	102.269358	103.421034	106.491524
558.142857	99.733377	100.847416	102.119536	102.301794	103.436375	106.608217
558.285714	99.768916	100.905329	102.155349	102.33669	103.49565	106.678418
558.428571	99.782831	100.932253	102.186701	102.370735	103.533426	106.706587
558.571429	99.801944	100.96732	102.219879	102.40629	103.57291	106.768174
558.714286	99.820128	101.010632	102.253376	102.441304	103.606314	106.831067
558.857143	99.838156	101.04965	102.294346	102.477311	103.650033	106.87372
559	99.871649	101.104454	102.335814	102.514672	103.689752	106.901584
559.142857	99.891485	101.135512	102.376672	102.550524	103.717418	106.919674
559.285714	99.916849	101.16363	102.411192	102.587581	103.759657	106.987393
559.428571	99.943108	101.204813	102.459078	102.623308	103.811249	107.010871
559.571429	99.995447	101.248651	102.488762	102.660226	103.847382	107.067186
559.714286	100.026317	101.316193	102.52017	102.698145	103.879974	107.121175
559.857143	100.045035	101.367951	102.550451	102.736043	103.907014	107.158334
560	100.073742	101.414073	102.594672	102.774649	103.970526	107.196157
560.142857	100.092031	101.449131	102.635912	102.81297	103.998441	107.228338
560.285714	100.125999	101.490408	102.662741	102.852238	104.072489	107.263944
560.428571	100.146859	101.521285	102.696668	102.889985	104.100347	107.300073
560.571429	100.177649	101.546124	102.741711	102.928187	104.150582	107.326978
560.714286	100.205035	101.565289	102.776588	102.966365	104.185406	107.351235
560.857143	100.23594	101.627266	102.810929	103.005483	104.214778	107.373476
561	100.26089	101.673769	102.842855	103.045817	104.266452	107.401367
561.142857	100.284325	101.717181	102.872668	103.084486	104.297643	107.498694
561.285714	100.305658	101.773722	102.901813	103.123359	104.426555	107.569801
561.428571	100.331864	101.815889	102.925438	103.161541	104.486051	107.601146
561.571429	100.35468	101.849426	102.952518	103.200631	104.549161	107.632924
561.714286	100.375434	101.889338	102.986522	103.239264	104.614606	107.667057
561.857143	100.402021	101.922874	103.041744	103.278804	104.65124	107.732618
562	100.435986	101.965251	103.074713	103.318295	104.696856	107.793581
562.142857	100.454555	102.025272	103.107359	103.356186	104.731458	107.855199
562.285714	100.474279	102.070356	103.136893	103.396783	104.765534	107.917676
562.428571	100.494256	102.111286	103.174099	103.434557	104.806732	107.96842
562.571429	100.525134	102.144233	103.203988	103.473385	104.868593	108.098081
562.714286	100.555343	102.17656	103.23374	103.51387	104.956194	108.141902
562.857143	100.578206	102.21458	103.26516	103.553279	105.019418	108.230815
563	100.628974	102.235704	103.292474	103.593021	105.055349	108.263529
563.142857	100.681925	102.29005	103.337261	103.633368	105.118645	108.313589
563.285714	100.718622	102.32935	103.383534	103.673921	105.144159	108.415474
563.428571	100.772638	102.363299	103.437986	103.716883	105.199838	108.549176
563.571429	100.84274	102.395343	103.469909	103.759277	105.231913	108.598945
563.714286	100.879215	102.456126	103.503941	103.802467	105.282262	108.66134
563.857143	100.929955	102.49321	103.54638	103.846698	105.360072	108.749051
564	100.963261	102.528387	103.576466	103.892344	105.409688	108.797205
564.142857	101.005152	102.571448	103.645263	103.939217	105.471454	108.85412
564.285714	101.069171	102.597236	103.679509	103.987099	105.559884	108.941881
564.428571	101.132808	102.647304	103.740628	104.037006	105.616092	108.975352
564.571429	101.199415	102.690631	103.805353	104.086178	105.722738	108.990303
564.714286	101.254486	102.725804	103.843922	104.135708	105.775103	109.015315
564.857143	101.289308	102.772905	103.894884	104.184854	105.813768	109.038016
565	101.3649	102.810681	103.952415	104.234951	105.875967	109.070782
565.142857	101.388596	102.837719	104.007934	104.284708	105.960709	109.126135
565.285714	101.422472	102.881672	104.059339	104.335168	106.01804	109.206076
565.428571	101.463435	102.900433	104.105113	104.384409	106.083766	109.233481
565.571429	101.499012	102.941598	104.163501	104.436311	106.122979	109.263758
565.714286	101.52201	102.981404	104.230468	104.486949	106.153902	109.340002
565.857143	101.558308	103.050314	104.285137	104.538591	106.235025	109.371584
566	101.586161	103.093717	104.336083	104.590101	106.307939	109.403564
566.142857	101.61596	103.122912	104.37433	104.640292	106.355508	109.422709
566.285714	101.644698	103.178451	104.439242	104.693643	106.405189	109.506512
566.428571	101.666356	103.226467	104.485949	104.746101	106.448739	109.550108
566.571429	101.691699	103.268302	104.551831	104.797891	106.514589	109.58824
566.714286	101.716361	103.304876	104.595161	104.850365	106.5663	109.634126
566.857143	101.729651	103.330714	104.647074	104.90378	106.637283	109.661713
567	101.767234	103.364291	104.682572	104.955948	106.696989	109.707221
567.142857	101.804313	103.403349	104.731183	105.007878	106.743413	109.727031
567.285714	101.825963	103.42072	104.783433	105.060635	106.798412	109.781138
567.428571	101.84643	103.46499	104.82594	105.114071	106.897243	109.837773
567.571429	101.872769	103.509242	104.858418	105.166705	106.951396	109.867757
567.714286	101.923945	103.560369	104.905317	105.219605	107.037633	109.900814
567.857143	101.961556	103.600097	104.942176	105.270635	107.079586	109.934546
568	102.008389	103.632402	104.994892	105.322337	107.152647	109.985693
568.142857	102.03538	103.681121	105.032884	105.374608	107.214394	110.020312
568.285714	102.074899	103.721583	105.076277	105.427345	107.269593	110.045424
568.428571	102.131029	103.767715	105.115652	105.480533	107.340052	110.077707
568.571429	102.1464	103.80753	105.151354	105.53439	107.38576	110.190025
568.714286	102.181208	103.837525	105.200928	105.588547	107.436926	110.227379
568.857143	102.237219	103.883381	105.261838	105.641765	107.484476	110.317198
569	102.266665	103.964432	105.360513	105.69899	107.563694	110.353943
569.142857	102.325781	104.017114	105.426832	105.757008	107.629857	110.375197
569.285714	102.354052	104.084763	105.48658	105.813954	107.686441	110.405814
569.428571	102.395265	104.142958	105.552801	105.872729	107.77119	110.453148
569.571429	102.441981	104.194725	105.589766	105.930726	107.830643	110.494718
569.714286	102.497132	104.23575	105.639025	105.986687	107.895819	110.524697
569.857143	102.591059	104.287084	105.700863	106.045843	107.937846	110.557818
570	102.663977	104.335272	105.78326	106.104502	107.986698	110.574731
570.142857	102.69396	104.375038	105.847053	106.163308	108.042978	110.592895
570.285714	102.723743	104.408744	105.897189	106.219801	108.078587	110.604261
570.428571	102.763879	104.456057	105.976694	106.277526	108.133974	110.665081
570.571429	102.780426	104.51757	106.039766	106.337204	108.179997	110.676256
570.714286	102.796318	104.57211	106.120411	106.398229	108.230285	110.692684
570.857143	102.811252	104.636575	106.182653	106.45766	108.277641	110.726963
571	102.850635	104.690088	106.265163	106.514746	108.319803	110.765582
571.142857	102.868209	104.737783	106.335175	106.571381	108.359383	110.801005
571.285714	102.898717	104.785021	106.425613	106.630327	108.394325	110.853403
571.428571	102.953611	104.843933	106.516568	106.688502	108.45784	110.886434
571.571429	102.977393	104.892127	106.616288	106.748566	108.546177	110.911659
571.714286	103.028648	104.94941	106.683385	106.808308	108.634507	110.934313
571.857143	103.068034	104.993253	106.750099	106.866179	108.700196	110.973273
572	103.130583	105.032513	106.841106	106.926999	108.758153	111.029414
572.142857	103.154838	105.090235	106.904061	106.986789	108.806865	111.057793
572.285714	103.238846	105.150528	106.98999	107.047165	108.887645	111.068942
572.428571	103.279481	105.199837	107.076399	107.105864	108.935546	111.096624
572.571429	103.337003	105.286186	107.164222	107.163811	108.995262	111.127923
572.714286	103.359993	105.307832	107.234982	107.222782	109.066247	111.16074
572.857143	103.41291	105.338987	107.300012	107.28114	109.127529	111.184791
573	103.435159	105.369523	107.391836	107.34014	109.158463	111.209872
573.142857	103.473424	105.448863	107.489986	107.398886	109.24244	111.236031
573.285714	103.505359	105.480121	107.544917	107.457823	109.283169	111.269832
573.428571	103.539516	105.524666	107.644951	107.516981	109.374669	111.303761
573.571429	103.6135	105.557472	107.750676	107.574608	109.441667	111.342076
573.714286	103.634167	105.613649	107.843553	107.635057	109.517582	111.378553
573.857143	103.654158	105.66479	107.918796	107.693462	109.604963	111.405005
574	103.66646	105.699602	107.986901	107.751617	109.655487	111.442346
574.142857	103.689116	105.737628	108.059979	107.810217	109.726803	111.462272
574.285714	103.71526	105.784888	108.144316	107.869963	109.776191	111.488873
574.428571	103.744972	105.815833	108.210535	107.926753	109.856181	111.534299
574.571429	103.771055	105.841214	108.300871	107.985887	109.93719	111.624011
574.714286	103.790665	105.896522	108.375257	108.045818	109.991939	111.656671
574.857143	103.813691	105.919451	108.45112	108.104496	110.085064	111.682686
575	103.826141	105.965153	108.508385	108.163112	110.163051	111.731327
575.142857	103.850143	105.997811	108.58383	108.219855	110.250919	111.770867
575.285714	103.875191	106.036519	108.623475	108.279748	110.313344	111.823857
575.428571	103.898519	106.056106	108.693954	108.339012	110.376807	111.87882
575.571429	103.916575	106.108029	108.765425	108.398004	110.405673	111.963799
575.714286	103.940301	106.166461	108.811598	108.45512	110.482602	112.049711
575.857143	103.97245	106.207108	108.877789	108.51654	110.543718	112.120388
576	103.998474	106.245705	108.936636	108.574684	110.61676	112.178317
576.142857	104.029897	106.282307	109.011835	108.633163	110.663895	112.205663
576.285714	104.084532	106.326719	109.075634	108.69015	110.737357	112.243024
576.428571	104.095641	106.353073	109.116095	108.747095	110.79471	112.342011
576.571429	104.117489	106.388168	109.174654	108.802818	110.856973	112.434181
576.714286	104.133077	106.461006	109.224951	108.858839	110.934211	112.471121
576.857143	104.159155	106.510609	109.297151	108.912714	110.989154	112.590051
577	104.19498	106.571087	109.373367	108.967725	111.02888	112.655202
577.142857	104.211394	106.697594	109.413194	109.021515	111.065406	112.729098
577.285714	104.240031	106.739849	109.467549	109.072409	111.118563	112.760709
577.428571	104.259066	106.789671	109.505318	109.125935	111.151177	112.817637
577.571429	104.279453	106.849013	109.566841	109.176956	111.209655	112.873757
577.714286	104.29823	106.911245	109.635503	109.227191	111.259626	112.888876
577.857143	104.326299	106.957401	109.697399	109.275778	111.308696	112.90479
578	104.358401	107.017796	109.743264	109.326414	111.328105	112.940551
578.142857	104.382732	107.06389	109.78916	109.375967	111.38059	112.969647
578.285714	104.401338	107.109855	109.827641	109.421887	111.429844	112.995468
578.428571	104.424237	107.190602	109.87342	109.469155	111.47245	113.014293
578.571429	104.446822	107.258941	109.906816	109.516639	111.501731	113.064984
578.714286	104.463403	107.321178	109.945332	109.564001	111.548069	113.095658
578.857143	104.48389	107.431972	109.999423	109.612401	111.581066	113.121428
579	104.500402	107.495005	110.073662	109.661013	111.621173	113.181611
579.142857	104.530717	107.567271	110.107464	109.709803	111.661153	113.193323
579.285714	104.555427	107.650212	110.163042	109.756381	111.699197	113.25402
579.428571	104.591365	107.681443	110.203611	109.805372	111.727837	113.27545
579.571429	104.610297	107.762928	110.238675	109.851726	111.755511	113.303834
579.714286	104.632043	107.818681	110.299488	109.899531	111.788266	113.334938
579.857143	104.662919	107.911317	110.340204	109.946896	111.825264	113.369334
580	104.696067	107.954229	110.399559	109.996489	111.862181	113.396386
580.142857	104.711986	108.043318	110.459821	110.045054	111.909139	113.422061
580.285714	104.731434	108.102793	110.500658	110.091379	111.937919	113.445826
580.428571	104.742034	108.157107	110.533722	110.138557	111.983818	113.463082
580.571429	104.769045	108.230691	110.582409	110.18553	112.026222	113.487091
580.714286	104.804631	108.277456	110.61466	110.230328	112.057673	113.503187
580.857143	104.822373	108.336106	110.6485	110.277024	112.084494	113.524901
581	104.842794	108.397012	110.713122	110.324503	112.11364	113.552139
581.142857	104.883169	108.486386	110.745272	110.371691	112.154322	113.590755
581.285714	104.909252	108.537361	110.796506	110.42016	112.186577	113.624439
581.428571	104.931472	108.583354	110.843364	110.468711	112.231175	113.65316
581.571429	104.954891	108.629121	110.898488	110.515162	112.256714	113.678157
