depth(m)	lower_95(kyr)	lower_68(kyr)	median(kyr)	mean(kyr)	upper_68(kyr)	upper_95(kyr)
151	99.01091	100.844976	102.516964	102.486234	104.068178	105.532828
151.142857	99.052515	100.907017	102.612045	102.561877	104.165119	105.589675
151.285714	99.084774	100.978847	102.680437	102.632855	104.218559	105.669823
151.428571	99.160548	101.041664	102.768618	102.707092	104.27564	105.745374
151.571429	99.257828	101.122096	102.848537	102.780197	104.330324	105.791768
151.714286	99.366925	101.233965	102.940379	102.851935	104.3854	105.858481
151.857143	99.537581	101.320304	103.039138	102.929959	104.476277	105.93543
152	99.591601	101.410687	103.122899	103.004146	104.552212	105.992005
152.142857	99.658565	101.521091	103.218955	103.082842	104.633183	106.042067
152.285714	99.699922	101.636718	103.32215	103.164623	104.708356	106.11507
152.428571	99.789467	101.746228	103.382305	103.241045	104.76215	106.157708
152.571429	99.936557	101.828601	103.475156	103.320074	104.827736	106.199406
152.714286	100.047746	101.921307	103.545878	103.40235	104.918974	106.271592
152.857143	100.089757	102.004861	103.618271	103.480791	105.018571	106.334722
153	100.131419	102.101122	103.678523	103.557369	105.091024	106.40597
153.142857	100.220444	102.15132	103.755842	103.631997	105.165092	106.451931
153.285714	100.303458	102.205113	103.814176	103.71002	105.212524	106.507566
153.428571	100.385733	102.2768	103.891068	103.785089	105.277281	106.553655
153.571429	100.437337	102.379469	103.958954	103.859667	105.352924	106.596793
153.714286	100.59042	102.451949	104.015922	103.934189	105.423118	106.64818
153.857143	100.671213	102.534441	104.088406	104.007527	105.506591	106.70406
154	100.774215	102.602465	104.173086	104.081262	105.571523	106.769945
154.142857	100.888588	102.659914	104.268677	104.150694	105.635409	106.822698
154.285714	100.962023	102.742334	104.354001	104.22355	105.708434	106.871028
154.428571	101.084962	102.825866	104.422408	104.29905	105.796928	106.909206
154.571429	101.204372	102.909814	104.480629	104.371303	105.851792	106.963473
154.714286	101.308154	103.006785	104.574848	104.442188	105.914148	107.028976
154.857143	101.359682	103.072215	104.673471	104.515336	105.971976	107.096014
155	101.489977	103.139033	104.749965	104.587576	106.051004	107.146542
155.142857	101.595031	103.232462	104.806173	104.657768	106.122104	107.186894
155.285714	101.682442	103.32457	104.868099	104.730453	106.190945	107.235421
155.428571	101.837407	103.421932	104.928613	104.80528	106.284805	107.268432
155.571429	101.955976	103.476923	104.964439	104.878358	106.407721	107.310185
155.714286	102.101081	103.545409	105.0413	104.9528	106.483811	107.353378
155.857143	102.195951	103.615353	105.128408	105.027704	106.553613	107.391174
156	102.345402	103.706854	105.199236	105.100677	106.637514	107.43904
156.142857	102.494637	103.795627	105.273035	105.173565	106.728719	107.487936
156.285714	102.624195	103.864376	105.337343	105.241783	106.79643	107.541909
156.428571	102.787872	103.93401	105.390391	105.310566	106.851134	107.569584
156.571429	102.865143	104.000016	105.439614	105.379852	106.92063	107.643377
156.714286	102.975403	104.153665	105.517982	105.447754	106.974175	107.698471
156.857143	103.021473	104.231977	105.583907	105.517522	107.031419	107.752203
157	103.070258	104.311225	105.628133	105.583325	107.090263	107.782063
157.142857	103.161547	104.396692	105.68064	105.646078	107.151093	107.811417
157.285714	103.260015	104.435997	105.748649	105.713166	107.198089	107.845778
157.428571	103.336888	104.527901	105.818779	105.78032	107.261789	107.930013
157.571429	103.400979	104.619878	105.875032	105.846881	107.315889	107.97518
157.714286	103.497555	104.695889	105.91835	105.912157	107.365731	108.01731
157.857143	103.607094	104.766004	105.978799	105.974923	107.414492	108.063073
158	103.704483	104.837751	106.037855	106.038046	107.467667	108.111275
158.142857	103.850165	104.902914	106.08785	106.098526	107.520652	108.154361
158.285714	103.957933	105.002308	106.14317	106.159877	107.571966	108.205827
158.428571	104.043841	105.067586	106.208176	106.218558	107.637683	108.247221
158.571429	104.103334	105.127911	106.25561	106.281775	107.670637	108.305017
158.714286	104.172416	105.201316	106.314951	106.341262	107.711645	108.376725
158.857143	104.231393	105.250123	106.381805	106.402818	107.759838	108.421641
159	104.277109	105.318043	106.436588	106.462711	107.81489	108.448222
159.142857	104.372011	105.386189	106.508545	106.524576	107.851562	108.503954
159.285714	104.477663	105.493764	106.571073	106.587628	107.905219	108.560461
159.428571	104.533127	105.564009	106.624436	106.651227	107.954985	108.617609
159.571429	104.572212	105.615097	106.687826	106.712008	108.01213	108.657947
159.714286	104.6263	105.684996	106.747874	106.772818	108.062004	108.683923
