depth(m)	lower_95(kyr)	lower_68(kyr)	median(kyr)	mean(kyr)	upper_68(kyr)	upper_95(kyr)
30.96	92.806042	95.818403	98.946298	98.693034	101.587203	103.41218
31.1	94.1434	97.269394	100.187654	100.02796	102.841553	104.487316
31.24	95.75466	98.613559	101.436378	101.328027	104.049666	105.559065
31.32	96.797194	99.447401	102.140763	102.072615	104.771246	106.105524
31.36	97.209706	99.835589	102.514807	102.467059	105.163835	106.428645
31.4	97.638265	100.210184	102.988009	102.836632	105.551402	106.770148
31.44	97.900624	100.634794	103.349183	103.209204	105.857264	107.079139
31.52	98.734923	101.509599	104.044993	103.93116	106.519069	107.758044
31.6	99.677293	102.304296	104.925771	104.654296	107.122292	108.376442
31.64	100.013531	102.681916	105.316547	105.026368	107.458254	108.686651
31.68	100.561267	102.957949	105.726515	105.375947	107.747605	109.009525
31.76	101.289679	103.738814	106.348691	106.047964	108.292722	109.483739
31.84	102.131668	104.614739	107.06337	106.740183	108.881129	109.97901
31.96	103.631565	105.706637	108.075358	107.734598	109.758199	110.794361
32	103.992705	106.080528	108.424739	108.07232	110.048364	111.231246
32.04	104.395205	106.410174	108.776185	108.426934	110.349558	111.460367
32.08	104.889545	106.750362	109.119893	108.776874	110.664647	111.751089
32.12	105.561515	107.14245	109.486588	109.134035	110.993197	112.053126
32.16	106.046815	107.482323	109.798474	109.478542	111.265706	112.306283
32.2	106.456213	107.785352	110.142595	109.818342	111.546499	112.603972
32.24	106.838238	108.144555	110.460275	110.156261	111.820901	112.877268
32.28	107.237447	108.482997	110.782652	110.49181	112.106395	113.189501
32.32	107.713423	108.811552	111.123627	110.840313	112.375105	113.496367
32.36	108.13973	109.175646	111.451765	111.186973	112.646143	113.722987
32.4	108.480556	109.616509	111.820021	111.543356	112.942991	114.053114
32.44	108.935584	110.091725	112.167196	111.916121	113.24973	114.339797
32.48	109.325592	110.572423	112.547173	112.297699	113.608837	114.672898
32.52	109.695201	111.160165	112.939133	112.681856	113.925631	114.970846
32.56	110.06961	111.697951	113.282262	113.07717	114.303234	115.242763
32.6	110.472425	112.20398	113.627137	113.462733	114.637048	115.540512
32.64	110.90456	112.659767	113.963528	113.836956	114.983912	115.914592
32.68	111.50113	113.097624	114.361639	114.22268	115.326767	116.221486
32.72	112.097722	113.488647	114.755015	114.601979	115.69532	116.595871
32.76	112.537276	113.887792	115.092231	114.979483	116.062665	116.910134
32.8	113.029593	114.259418	115.423036	115.359625	116.430083	117.309775
32.84	113.390578	114.668496	115.804626	115.750705	116.820295	117.774231
32.88	113.836	115.095056	116.192568	116.151437	117.20668	118.124436
32.92	114.20306	115.480216	116.653106	116.583556	117.672536	118.686804
32.96	114.676462	115.950362	117.060919	117.037539	118.109946	119.35743
33.1	116.176044	117.411426	118.674398	118.72889	120.027302	121.854987
33.24	117.940714	118.883103	120.395432	120.458623	121.986872	123.830792
33.28	118.374201	119.339868	120.942694	120.983047	122.524905	124.299185
33.32	118.754247	119.931024	121.46146	121.501349	123.078733	124.750412
33.36	119.144293	120.471213	121.968291	122.006677	123.558552	125.033158
33.4	119.679986	121.097121	122.505153	122.532515	124.155158	125.354471
33.44	120.237285	121.683602	122.96565	123.027569	124.60608	125.570237
33.48	120.874021	122.195804	123.469579	123.52784	125.060943	125.908621
33.52	121.472012	122.650342	124.066348	124.021992	125.38986	126.13868
33.56	121.963999	123.140581	124.739663	124.527557	125.742649	126.456235
33.6	122.468425	123.699311	125.291135	125.039619	126.110923	126.748622
33.64	123.087364	124.631262	125.817722	125.58507	126.505584	127.131001
33.68	123.550314	125.365366	126.384247	126.182827	127.038408	127.621459
33.72	124.194872	126.081456	126.988698	126.820103	127.597274	128.398763
33.8	126.642859	127.469883	128.160458	128.357303	129.444372	131.08606
33.84	127.42933	128.133814	128.836403	129.064234	130.127285	132.034883
33.96	128.776031	129.606978	130.584302	130.786958	132.000648	133.827747
34.08	130.50415	131.472213	132.360016	132.548052	133.423932	136.423069
34.16	131.727211	132.676011	133.659205	133.964688	135.213604	138.131665
34.24	133.019158	133.820324	134.96341	135.307451	136.833361	139.541775
34.28	133.491121	134.30954	135.505617	135.866338	137.397102	140.343521
34.32	134.070275	134.797136	136.022132	136.393506	138.058926	140.73441
