depth(m)	lower_95(kyr)	lower_68(kyr)	median(kyr)	mean(kyr)	upper_68(kyr)	upper_95(kyr)
552	101.013024	103.189968	105.084244	104.791603	106.285199	107.725117
552.142857	101.040791	103.218503	105.118869	104.822545	106.30793	107.758239
552.285714	101.071268	103.2498	105.148333	104.853496	106.340989	107.78019
552.428571	101.113911	103.290313	105.181409	104.884279	106.362824	107.801636
552.571429	101.196563	103.330814	105.20385	104.916292	106.379118	107.822082
552.714286	101.239033	103.365037	105.244761	104.947034	106.40498	107.86972
552.857143	101.266046	103.39865	105.268427	104.975887	106.426862	107.899185
553	101.292209	103.441114	105.291631	105.004962	106.447964	107.921278
553.142857	101.315727	103.471548	105.322628	105.034941	106.467995	107.941294
553.285714	101.37235	103.493293	105.347481	105.064299	106.492628	107.967343
553.428571	101.431183	103.529304	105.370699	105.092971	106.517126	107.992855
553.571429	101.454841	103.576441	105.393327	105.12176	106.54145	108.011757
553.714286	101.491878	103.604223	105.413096	105.150202	106.557064	108.026842
553.857143	101.518706	103.658233	105.435989	105.178782	106.579233	108.043042
554	101.554146	103.676281	105.455065	105.206951	106.600811	108.062477
554.142857	101.655854	103.747339	105.474598	105.235547	106.620353	108.085071
554.285714	101.691675	103.761063	105.496433	105.263623	106.646413	108.133517
554.428571	101.711466	103.810953	105.518848	105.292171	106.662253	108.188155
554.571429	101.727213	103.850856	105.538111	105.320527	106.687822	108.211197
554.714286	101.811083	103.875962	105.569001	105.349755	106.714559	108.247689
554.857143	101.834058	103.917422	105.597874	105.378921	106.73705	108.268474
555	101.857801	103.951982	105.610815	105.406759	106.76581	108.292379
555.142857	101.885018	104.001261	105.635304	105.435386	106.778264	108.313754
555.285714	101.903194	104.033782	105.655917	105.464659	106.802523	108.336664
555.428571	101.92638	104.116523	105.675281	105.494129	106.826373	108.383708
555.571429	101.963685	104.17214	105.69229	105.521802	106.859478	108.409113
555.714286	101.982161	104.203235	105.714038	105.549545	106.875448	108.437825
555.857143	102.025121	104.279723	105.73559	105.577723	106.893544	108.462338
556	102.054565	104.3246	105.753067	105.606374	106.914635	108.495486
556.142857	102.093629	104.378135	105.772907	105.634904	106.939453	108.52086
556.285714	102.125974	104.417281	105.792617	105.663542	106.965532	108.551398
556.428571	102.193012	104.474615	105.819403	105.69294	106.99677	108.592225
556.571429	102.262582	104.529849	105.843409	105.721078	107.0234	108.640701
556.714286	102.299394	104.583498	105.868127	105.749521	107.048983	108.695132
556.857143	102.337673	104.667272	105.904003	105.778676	107.078518	108.717353
557	102.36804	104.680935	105.917176	105.807018	107.102984	108.73414
557.142857	102.403668	104.721785	105.941199	105.835176	107.123744	108.760739
557.285714	102.426561	104.759061	105.961252	105.862844	107.134876	108.77838
557.428571	102.446952	104.809058	105.99227	105.89011	107.157207	108.800153
557.571429	102.493886	104.842058	106.011053	105.919054	107.180489	108.826359
557.714286	102.524442	104.855332	106.050825	105.946949	107.202456	108.853809
557.857143	102.553979	104.867173	106.072572	105.975101	107.223789	108.892791
558	102.576357	104.909301	106.097252	106.002	107.244269	108.922136
558.142857	102.597611	104.946227	106.121724	106.030525	107.275136	108.949585
558.285714	102.649288	104.959578	106.153255	106.058399	107.291478	108.988132
558.428571	102.709156	104.978287	106.173781	106.086669	107.317867	109.014176
558.571429	102.737072	105.064714	106.19753	106.113493	107.340654	109.039326
558.714286	102.766431	105.098657	106.227372	106.140935	107.358707	109.059402
558.857143	102.780412	105.134827	106.246631	106.167887	107.386978	109.08406
559	102.804385	105.165246	106.272207	106.194917	107.416323	109.109747
559.142857	102.825531	105.201817	106.298711	106.221565	107.443735	109.13506
559.285714	102.857625	105.235073	106.319811	106.247705	107.465913	109.151216
559.428571	102.968219	105.268858	106.342994	106.274156	107.489696	109.172379
559.571429	103.006977	105.298657	106.365858	106.3006	107.518194	109.192207
