depth(m)	lower_95(kyr)	lower_68(kyr)	median(kyr)	mean(kyr)	upper_68(kyr)	upper_95(kyr)
138	92.597815	96.11454	98.865543	98.285222	100.445742	102.123508
138.142857	92.631221	96.186602	98.94414	98.348927	100.501893	102.202466
138.285714	92.66374	96.227656	99.010038	98.407159	100.556471	102.258044
138.428571	92.699866	96.280463	99.066881	98.463987	100.616028	102.286234
138.571429	92.759536	96.332939	99.126801	98.522139	100.660514	102.339942
138.714286	92.787621	96.398809	99.203081	98.579649	100.73023	102.389872
138.857143	92.817617	96.427138	99.256869	98.636293	100.783612	102.443702
139	92.849372	96.499433	99.338921	98.693233	100.830871	102.475482
139.142857	92.896275	96.557074	99.374052	98.747658	100.876926	102.523505
139.285714	92.937055	96.60228	99.428791	98.802269	100.916771	102.560361
139.428571	92.966913	96.635884	99.472097	98.856351	100.951815	102.605347
139.571429	92.991997	96.68864	99.523937	98.911869	100.99966	102.656713
139.714286	93.031031	96.769557	99.59073	98.968035	101.06722	102.699156
139.857143	93.07118	96.818373	99.667352	99.024909	101.107115	102.727867
140	93.118722	96.890051	99.719233	99.079377	101.145701	102.779886
140.142857	93.187208	96.949745	99.7949	99.133617	101.185546	102.822408
140.285714	93.222569	96.987479	99.847477	99.187395	101.22506	102.939883
140.428571	93.242094	97.034826	99.929669	99.240106	101.27676	103.041172
140.571429	93.295491	97.088955	99.980446	99.295806	101.324068	103.095022
140.714286	93.33373	97.139378	100.039922	99.346873	101.355997	103.154987
140.857143	93.383157	97.191891	100.085136	99.401865	101.399925	103.19042
141	93.416831	97.2737	100.155287	99.454354	101.440396	103.231029
141.142857	93.491144	97.333505	100.21701	99.509196	101.479345	103.269731
141.285714	93.523229	97.395087	100.282602	99.564593	101.511557	103.297202
141.428571	93.554343	97.439929	100.33662	99.61529	101.56324	103.339814
141.571429	93.61603	97.496453	100.379263	99.664609	101.594125	103.366528
141.714286	93.664309	97.560504	100.422967	99.716969	101.637969	103.4111
141.857143	93.736446	97.6104	100.473458	99.767503	101.67266	103.457468
142	93.774056	97.666902	100.512666	99.817728	101.721441	103.512398
142.142857	93.835314	97.717799	100.561441	99.869133	101.761568	103.573326
142.285714	93.88192	97.751983	100.605103	99.922061	101.811765	103.597404
142.428571	93.923201	97.80376	100.666045	99.974213	101.84477	103.643048
