depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
30.960000 92.005152 95.229273 98.310948 98.108092 100.997584 103.012357
31.100000 93.687090 96.656501 99.661384 99.443907 102.340923 104.157663
31.240000 95.173707 97.919087 101.042354 100.774448 103.685555 105.223976
31.320000 95.954002 98.673057 101.806241 101.526663 104.391341 105.852650
31.360000 96.409910 99.117617 102.137636 101.933353 104.799397 106.251752
31.400000 96.758793 99.495013 102.480620 102.307910 105.155769 106.591325
31.440000 97.174794 99.911059 102.966167 102.702131 105.490577 106.903138
31.520000 97.838522 100.827588 103.741974 103.474261 106.203469 107.583101
31.600000 98.721059 101.683671 104.474882 104.233516 106.893514 108.317844
31.640000 99.028338 102.100980 104.815908 104.629326 107.303044 108.670227
31.680000 99.583278 102.518667 105.178501 104.998101 107.680251 108.955580
31.760000 100.595984 103.264378 105.855430 105.729026 108.361790 109.612310
31.840000 101.583864 104.079197 106.546272 106.460245 108.937343 110.190377
31.960000 103.179929 105.304355 107.584099 107.550502 109.904255 111.079278
32.000000 103.733051 105.721811 107.932323 107.921567 110.207126 111.326287
32.040000 104.264577 106.134030 108.276049 108.294862 110.491665 111.621873
32.080000 104.644575 106.590221 108.691862 108.670980 110.810325 111.905537
32.120000 105.102395 107.024209 109.110674 109.050248 111.116260 112.156688
32.160000 105.582845 107.441721 109.482187 109.422676 111.413681 112.448216
32.200000 105.989770 107.856139 109.847410 109.776101 111.711219 112.732702
32.240000 106.409088 108.254542 110.265922 110.137592 111.989638 113.019858
32.280000 106.688870 108.642326 110.727850 110.502901 112.281745 113.300521
32.320000 107.307170 109.096959 111.109942 110.879591 112.583158 113.573485
32.360000 107.748120 109.601746 111.483153 111.257196 112.863913 113.838204
32.400000 108.323712 110.056139 111.906467 111.640957 113.108888 114.109812
32.440000 108.784482 110.537407 112.278922 112.043310 113.424977 114.422518
32.480000 109.281668 110.998760 112.695658 112.446304 113.790429 114.749138
32.520000 109.695881 111.567729 113.094160 112.848603 114.125939 115.049383
32.560000 110.198696 111.969002 113.459474 113.250665 114.485861 115.343524
32.600000 110.477645 112.452296 113.803276 113.632348 114.834510 115.684542
32.640000 110.921169 112.887915 114.180526 114.013206 115.197528 116.015996
32.680000 111.421017 113.316921 114.552461 114.386923 115.539839 116.380959
32.720000 111.921207 113.729275 114.899683 114.768192 115.951802 116.677747
32.760000 112.446862 114.079725 115.257304 115.138233 116.300519 117.047653
32.800000 112.935509 114.468054 115.639702 115.526972 116.680826 117.412770
32.840000 113.352188 114.833666 116.047204 115.925386 117.010119 117.769821
32.880000 113.824920 115.217774 116.478598 116.324744 117.428818 118.254509
32.920000 114.202757 115.623555 116.872631 116.759500 117.846476 118.820850
32.960000 114.692479 116.111951 117.302638 117.201127 118.244793 119.386508
33.100000 116.298201 117.561379 118.735100 118.762477 119.900958 121.772350
33.240000 117.854637 119.044995 120.316867 120.409336 121.815963 123.610381
33.280000 118.341177 119.509449 120.838768 120.914634 122.371682 123.999034
33.320000 118.854335 119.944828 121.308759 121.409752 122.889211 124.386472
33.360000 119.353924 120.492971 121.859086 121.916111 123.362222 124.754824
33.400000 119.829095 121.027665 122.374132 122.419268 123.944255 125.061295
33.440000 120.213458 121.535604 122.865230 122.907307 124.446203 125.338882
33.480000 120.822945 122.034985 123.381481 123.402625 124.892470 125.669795
33.520000 121.474669 122.460347 123.976760 123.893014 125.272194 125.991397
33.560000 121.977062 122.965178 124.682584 124.402339 125.624006 126.273380
33.600000 122.447586 123.445011 125.236956 124.910187 126.008042 126.583507
33.640000 122.945878 124.210864 125.786621 125.463605 126.405398 126.938378
33.680000 123.477817 125.041107 126.342912 126.058490 126.935365 127.411895
33.720000 123.880135 125.865703 126.916169 126.673871 127.469206 128.120081
33.800000 126.451128 127.414977 128.066190 128.218017 128.987648 130.926102
33.840000 127.492788 128.099271 128.767770 128.924321 129.709723 131.711250
33.960000 128.690732 129.569127 130.441199 130.613085 131.701256 133.395218
34.080000 130.301964 131.368676 132.265139 132.363458 133.194188 135.912107
34.160000 131.733771 132.593877 133.507769 133.807873 134.995182 137.522228
34.240000 132.995524 133.758478 134.784070 135.125502 136.558432 139.038664
34.280000 133.504754 134.171845 135.300682 135.679205 137.255430 139.661100
34.320000 133.938465 134.654509 135.847128 136.209515 137.834304 140.266928
