depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
30.960000 92.237962 95.613524 98.381401 98.303571 100.998160 103.062459
31.100000 93.625266 97.084362 99.596129 99.533745 102.251735 103.902499
31.240000 95.116446 98.422235 100.773304 100.724827 103.332361 104.941346
31.320000 95.830638 99.208218 101.451586 101.418882 103.979078 105.504790
31.360000 96.098974 99.683279 101.801245 101.773378 104.303590 105.850980
31.400000 96.452685 100.049417 102.127749 102.136657 104.635276 106.152223
31.440000 96.915349 100.518279 102.552694 102.499126 104.991285 106.422674
31.520000 97.744240 101.275993 103.153013 103.172626 105.555858 106.916957
31.600000 98.699703 102.003359 103.780834 103.843676 106.222668 107.472834
31.640000 99.106380 102.401581 104.155289 104.195448 106.541300 107.715544
31.680000 99.692621 102.746085 104.489918 104.540958 106.833866 107.939533
31.760000 100.789992 103.469705 105.138328 105.186580 107.361297 108.477299
31.840000 101.510944 104.160964 105.804432 105.815460 107.867079 108.911755
31.960000 103.029169 105.257672 106.729259 106.736864 108.683953 109.542760
32.000000 103.480773 105.645512 107.057797 107.074629 108.988128 109.766888
32.040000 103.907509 105.965222 107.394963 107.400222 109.285717 110.065876
32.080000 104.282003 106.331280 107.684695 107.718262 109.582614 110.322396
32.120000 104.759924 106.685429 107.980886 108.036235 109.837774 110.587884
32.160000 105.209835 106.996108 108.296440 108.357468 110.081226 110.857315
32.200000 105.792301 107.314287 108.583508 108.675702 110.347026 111.169561
32.240000 106.019729 107.621143 108.878499 108.977814 110.627797 111.387770
32.280000 106.431758 107.892333 109.175115 109.278081 110.919822 111.677107
32.320000 106.783713 108.232922 109.462662 109.586883 111.180927 111.947963
32.360000 107.305935 108.525366 109.789114 109.897131 111.434032 112.202671
32.400000 107.695489 108.848786 110.107932 110.207193 111.677988 112.408809
32.440000 108.096333 109.203746 110.478292 110.540579 111.936600 112.681215
32.480000 108.455878 109.559206 110.827311 110.866866 112.224590 112.946797
32.520000 108.856730 109.869882 111.204796 111.200422 112.503018 113.225383
32.560000 109.270920 110.253766 111.558035 111.538797 112.766272 113.446379
32.600000 109.552743 110.636912 111.967236 111.869784 113.035349 113.756790
32.640000 109.933955 111.020279 112.292205 112.212978 113.303970 114.026681
32.680000 110.278040 111.415366 112.701442 112.548105 113.617525 114.326649
32.720000 110.682687 111.819583 113.068716 112.882461 113.905271 114.600891
32.760000 111.075890 112.171437 113.374669 113.215283 114.175496 114.920757
32.800000 111.457803 112.552199 113.664273 113.540597 114.457738 115.137346
32.840000 111.815785 112.983872 113.977703 113.867779 114.726294 115.473435
32.880000 112.207242 113.332979 114.311531 114.194032 115.015204 115.755307
32.920000 112.624555 113.698999 114.642807 114.534980 115.359935 116.003702
32.960000 113.073912 114.049576 114.955558 114.873157 115.668668 116.348882
33.090000 114.236009 115.077682 115.839386 115.827833 116.607246 117.352583
33.220000 115.507694 116.173970 116.872615 116.879100 117.603486 118.325872
33.240000 115.708690 116.432950 117.141813 117.155346 117.900693 118.708124
33.280000 116.227148 117.194185 118.029511 118.063893 118.982473 119.840240
33.320000 116.813585 117.928958 118.898994 118.960088 120.026178 121.155399
33.360000 117.627300 118.644331 119.712306 119.761198 120.961551 121.898588
33.400000 118.067883 119.281887 120.515293 120.482109 121.661934 122.876648
33.440000 118.492150 119.823722 121.308264 121.169215 122.396269 123.537504
33.480000 118.949774 120.448200 121.925033 121.829681 123.098846 124.343361
33.520000 119.296809 121.181048 122.555439 122.494213 123.860841 125.097298
33.560000 119.793896 121.843443 123.139717 123.131489 124.625969 125.662000
33.600000 120.147463 122.411998 123.889552 123.794781 125.359408 126.180152
33.640000 120.537389 122.967769 124.866916 124.488818 126.071903 126.642096
33.680000 120.907821 123.546106 125.631516 125.182382 126.737031 127.356271
33.720000 121.546785 124.213946 126.525247 125.977464 127.429567 128.176689
33.800000 122.834371 127.204471 128.030702 127.928095 129.127711 130.803571
33.840000 123.677529 127.955829 128.730822 128.653522 129.788776 131.655102
33.960000 126.912200 129.479926 130.469043 130.472873 131.615142 133.159756
34.080000 130.469275 131.504352 132.313926 132.379204 133.184399 134.773842
34.160000 131.775244 132.694998 133.602240 133.773239 134.854953 136.931491
34.240000 133.136079 133.853647 134.812177 135.114593 136.452626 138.573481
34.280000 133.542637 134.298389 135.378962 135.672937 137.176937 139.238086
34.320000 133.972888 134.774815 135.863453 136.201410 137.753877 139.813861
