depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
552.000000 101.498647 103.724583 105.259673 105.276271 107.041787 108.976002
552.142857 101.522501 103.755702 105.295657 105.307597 107.063175 109.012986
552.285714 101.573743 103.789768 105.319787 105.337787 107.111251 109.025332
552.428571 101.597668 103.817967 105.343743 105.366629 107.137353 109.046896
552.571429 101.625429 103.857796 105.379873 105.395979 107.162217 109.067234
552.714286 101.671693 103.906252 105.398739 105.424793 107.188353 109.085468
552.857143 101.705341 103.923798 105.418472 105.452690 107.211627 109.116824
553.000000 101.755416 103.958803 105.437703 105.480763 107.229779 109.134887
553.142857 101.811225 103.987949 105.460635 105.510045 107.254083 109.160259
553.285714 101.853760 104.015804 105.482217 105.538290 107.277350 109.214763
553.428571 101.917653 104.044018 105.500132 105.566932 107.310753 109.248219
553.571429 102.025825 104.075089 105.528143 105.596419 107.323228 109.265263
553.714286 102.061995 104.092743 105.569530 105.624685 107.333942 109.275661
553.857143 102.097472 104.120198 105.607618 105.652333 107.348601 109.299487
554.000000 102.141118 104.159326 105.622446 105.678877 107.382179 109.324039
554.142857 102.214771 104.181229 105.645035 105.706025 107.412226 109.337458
554.285714 102.261169 104.215864 105.671906 105.733725 107.444016 109.350875
554.428571 102.310089 104.244934 105.698042 105.761166 107.473769 109.381665
554.571429 102.367976 104.265454 105.723659 105.789135 107.501208 109.401812
554.714286 102.395422 104.300104 105.743257 105.815900 107.522922 109.421957
554.857143 102.482453 104.326465 105.769543 105.843194 107.555231 109.440985
555.000000 102.535394 104.351028 105.792244 105.869865 107.577952 109.462160
555.142857 102.555756 104.379389 105.812972 105.897217 107.598467 109.478275
555.285714 102.597572 104.402164 105.831731 105.924115 107.618644 109.491911
555.428571 102.617853 104.422984 105.853751 105.950548 107.636735 109.507878
555.571429 102.658846 104.439848 105.876234 105.977666 107.670502 109.523479
555.714286 102.679748 104.473856 105.897882 106.004192 107.702843 109.538382
555.857143 102.699886 104.495863 105.931149 106.032051 107.725227 109.553148
556.000000 102.719631 104.525860 105.958362 106.059894 107.746690 109.569382
556.142857 102.744564 104.544662 105.988811 106.086710 107.767064 109.634312
556.285714 102.805078 104.578408 106.009649 106.113562 107.795919 109.670178
556.428571 102.823585 104.597474 106.038616 106.141489 107.828821 109.693305
556.571429 102.852092 104.626534 106.057125 106.169616 107.853213 109.711943
556.714286 102.885757 104.662274 106.071626 106.197500 107.866121 109.732095
556.857143 102.911992 104.685105 106.086337 106.224162 107.889386 109.750238
557.000000 102.936986 104.699711 106.114297 106.250927 107.914678 109.783690
557.142857 102.992881 104.728138 106.128884 106.278510 107.937463 109.794005
557.285714 103.033343 104.739653 106.150334 106.304478 107.977249 109.814438
557.428571 103.065331 104.755943 106.161748 106.331423 108.008057 109.833248
557.571429 103.088964 104.781542 106.187840 106.357767 108.038691 109.852038
557.714286 103.106524 104.802935 106.213081 106.385172 108.076633 109.872850
557.857143 103.268124 104.825730 106.248175 106.413198 108.098138 109.894618
558.000000 103.317537 104.884697 106.268569 106.440604 108.124928 109.907826
558.142857 103.343582 104.904141 106.294364 106.468992 108.139880 109.926572
558.285714 103.373155 104.927538 106.320019 106.495303 108.160497 109.945468
558.428571 103.378182 104.945983 106.346454 106.523178 108.180354 109.964913
558.571429 103.399412 104.985146 106.366247 106.550144 108.214057 109.977984
558.714286 103.422264 105.011210 106.388781 106.576623 108.241653 109.997234
558.857143 103.470823 105.048560 106.409192 106.603245 108.272428 110.015999
