depth(m)	lower_95(kyr)	lower_68(kyr)	median(kyr)	mean(kyr)	upper_68(kyr)	upper_95(kyr)
151	97.546229	100.810233	102.849234	102.452872	104.286997	105.303655
151.142857	97.663648	100.857694	102.907261	102.526264	104.359814	105.394429
151.285714	97.75314	100.920781	102.983047	102.600746	104.426643	105.45569
151.428571	97.900818	100.986253	103.052089	102.67297	104.478185	105.528949
151.571429	98.006854	101.079256	103.126071	102.747008	104.542305	105.588788
151.714286	98.075295	101.18783	103.200679	102.819836	104.605662	105.663106
151.857143	98.183174	101.253341	103.273027	102.894454	104.670003	105.71513
152	98.211142	101.324706	103.352436	102.965852	104.722734	105.771221
152.142857	98.251453	101.390992	103.420701	103.037471	104.776064	105.821537
152.285714	98.301518	101.54245	103.485317	103.111685	104.828804	105.856014
152.428571	98.379058	101.604984	103.570564	103.187369	104.883292	105.900413
152.571429	98.467495	101.676611	103.662565	103.265268	104.94061	105.95625
152.714286	98.58423	101.748392	103.729931	103.341434	104.995464	106.011647
152.857143	98.686886	101.831284	103.778589	103.41455	105.051821	106.060421
153	98.814079	101.927759	103.840589	103.490058	105.10648	106.119039
153.142857	98.879971	102.016985	103.91131	103.565667	105.157612	106.204364
153.285714	98.920698	102.075986	103.982372	103.642628	105.213971	106.258862
153.428571	98.97681	102.148558	104.054768	103.719402	105.278141	106.313608
153.571429	99.014002	102.227226	104.157766	103.798017	105.34888	106.377378
153.714286	99.066107	102.274813	104.234294	103.874983	105.422494	106.421349
153.857143	99.131148	102.335003	104.30348	103.951495	105.476225	106.460404
154	99.212051	102.402299	104.390165	104.030689	105.545287	106.552185
154.142857	99.260487	102.471056	104.449049	104.106711	105.621832	106.659415
154.285714	99.348195	102.560742	104.537006	104.185647	105.69216	106.743639
154.428571	99.378788	102.646621	104.599369	104.267057	105.746055	106.825202
154.571429	99.461412	102.753357	104.674856	104.344575	105.827216	106.957402
154.714286	99.546934	102.84142	104.764891	104.422991	105.900334	107.094749
154.857143	99.621491	102.932269	104.846049	104.502416	105.98509	107.140338
155	99.770041	103.020669	104.940984	104.584705	106.062652	107.283464
155.142857	99.800764	103.089991	105.023452	104.667125	106.15063	107.333605
155.285714	99.869949	103.199119	105.110309	104.750937	106.236071	107.442125
155.428571	99.941527	103.306923	105.201821	104.829678	106.295939	107.607447
155.571429	100.008633	103.394748	105.278007	104.91123	106.398007	107.733594
155.714286	100.085174	103.471163	105.36437	104.991044	106.506503	107.816143
155.857143	100.138993	103.562086	105.463218	105.075198	106.583449	107.879622
156	100.262064	103.649972	105.549232	105.157394	106.657695	107.974264
156.142857	100.339035	103.776504	105.619433	105.238599	106.745213	108.017866
156.285714	100.50564	103.863643	105.707327	105.317424	106.814516	108.101628
156.428571	100.654115	103.962459	105.779979	105.40009	106.88338	108.160261
156.571429	100.788395	103.997978	105.867771	105.478307	106.938728	108.266413
156.714286	100.880984	104.108023	105.94137	105.554762	107.015778	108.350823
156.857143	100.996707	104.167225	106.011882	105.638492	107.065962	108.393056
157	101.066499	104.285623	106.063162	105.721851	107.137437	108.445717
157.142857	101.240661	104.35603	106.129776	105.803018	107.195416	108.480081
157.285714	101.32356	104.444437	106.19949	105.880528	107.255522	108.58642
157.428571	101.379942	104.553414	106.25984	105.962016	107.321826	108.63332
157.571429	101.499828	104.687841	106.322816	106.043433	107.366782	108.702118
157.714286	101.66982	104.799013	106.410576	106.126663	107.416893	108.856646
157.857143	101.741866	104.959708	106.477601	106.209009	107.506715	108.918291
158	101.872189	105.076179	106.529764	106.293776	107.575846	108.951298
158.142857	101.981576	105.178118	106.583965	106.371142	107.634412	109.017889
158.285714	102.161272	105.294767	106.647389	106.451033	107.709722	109.093958
158.428571	102.446803	105.395844	106.720242	106.530057	107.75758	109.196864
158.571429	102.542931	105.494374	106.785123	106.61016	107.821467	109.254329
158.714286	102.62066	105.571631	106.850505	106.691841	107.907214	109.342319
158.857143	102.842692	105.64197	106.919122	106.774151	107.977605	109.449414
159	102.955551	105.724953	106.981591	106.855981	108.043222	109.5424
159.142857	103.094381	105.830835	107.049664	106.938512	108.116075	109.601517
159.285714	103.173318	105.9056	107.108651	107.023802	108.230964	109.691437
159.428571	103.483185	105.997454	107.173031	107.107155	108.292758	109.776944
159.571429	103.645868	106.069451	107.243431	107.189061	108.360552	110.014203
159.714286	103.755933	106.163966	107.323581	107.271052	108.448973	110.10227
159.857143	103.910747	106.242435	107.384968	107.351985	108.502578	110.170552
160	104.059129	106.336495	107.445035	107.436845	108.60108	110.227939
160.142857	104.218426	106.409577	107.521571	107.517279	108.677398	110.277285
160.285714	104.388213	106.511566	107.592853	107.599164	108.769811	110.361731
160.428571	104.52966	106.585995	107.670127	107.678667	108.847042	110.448368
160.571429	104.583616	106.66328	107.750072	107.756348	108.914013	110.534306
160.714286	104.704473	106.730643	107.822691	107.835926	108.999774	110.648558
160.857143	104.89655	106.778011	107.900363	107.915915	109.073855	110.710116
161	105.060665	106.848125	107.961244	107.996317	109.150848	110.794471
161.142857	105.176921	106.933586	108.043361	108.075319	109.223341	110.915682
161.285714	105.277623	106.990769	108.108783	108.154848	109.299299	111.131983
161.428571	105.412632	107.063177	108.173588	108.23406	109.394685	111.223203
161.571429	105.493675	107.138073	108.239691	108.312703	109.484563	111.315931
161.714286	105.533244	107.222197	108.313068	108.388498	109.559301	111.362269
161.857143	105.574562	107.292393	108.379739	108.467539	109.627725	111.430514
162	105.669661	107.354386	108.459919	108.545389	109.710821	111.493678
162.142857	105.751027	107.426103	108.55085	108.622144	109.793488	111.610788
162.285714	105.850202	107.489866	108.613968	108.70474	109.887472	111.714996
162.428571	105.925173	107.565131	108.702051	108.786119	109.99085	111.793548
162.571429	106.006717	107.659909	108.789414	108.865066	110.083558	111.875467
162.714286	106.089452	107.744346	108.877551	108.947882	110.192541	111.963202
162.857143	106.143498	107.853719	108.948749	109.030284	110.284711	112.042409
163	106.253813	107.922108	109.045518	109.111696	110.365175	112.09406
163.142857	106.410654	107.982593	109.127058	109.195794	110.490809	112.168119
163.285714	106.502813	108.076007	109.20644	109.283219	110.564514	112.225383
163.428571	106.540384	108.125797	109.30777	109.36861	110.665063	112.322967
163.571429	106.609006	108.182142	109.392665	109.455449	110.777779	112.40407
163.714286	106.655275	108.242242	109.485769	109.542401	110.888625	112.473652
163.857143	106.739007	108.306337	109.56743	109.632374	110.991173	112.577315
164	106.828751	108.359402	109.67094	109.721315	111.084414	112.699925
164.142857	106.868589	108.41717	109.744096	109.806123	111.194181	112.76859
164.285714	106.955371	108.497356	109.842489	109.896667	111.30294	112.861434
164.428571	107.019574	108.570774	109.952591	109.98539	111.392248	112.940582
164.571429	107.130095	108.634161	110.05709	110.075568	111.496929	113.039007
164.714286	107.228557	108.699146	110.160573	110.164665	111.603159	113.128012
164.857143	107.325935	108.801006	110.24729	110.253847	111.727459	113.193085
165	107.409345	108.858128	110.331133	110.344455	111.84421	113.267933
165.142857	107.501253	108.923505	110.445194	110.441717	111.94705	113.356927
165.285714	107.569502	109.008955	110.556475	110.53708	112.041297	113.419265
165.428571	107.684046	109.072707	110.673991	110.633175	112.13075	113.483377
165.571429	107.732326	109.158937	110.781251	110.731751	112.281335	113.570437
165.714286	107.824138	109.239746	110.866751	110.826658	112.390392	113.647934
165.857143	107.946359	109.302297	110.965739	110.922059	112.478418	113.755508
166	108.02317	109.412274	111.068325	111.016945	112.607752	113.835973
166.142857	108.100804	109.49057	111.170278	111.111104	112.709433	113.903144
166.285714	108.200352	109.589565	111.254175	111.208491	112.816178	113.980673
166.428571	108.292038	109.664901	111.338788	111.310683	112.960687	114.045597
166.571429	108.379	109.746833	111.444903	111.409806	113.080891	114.135221
166.714286	108.494358	109.823252	111.539939	111.509993	113.159017	114.234922
166.857143	108.56944	109.923875	111.639398	111.606242	113.286046	114.339815
167	108.64935	110.010313	111.753526	111.706387	113.378329	114.462399
167.142857	108.789984	110.154399	111.858544	111.808119	113.495077	114.563749
167.285714	108.948131	110.254309	111.947304	111.910639	113.626325	114.666627
167.428571	109.072821	110.368152	112.051705	112.014004	113.70301	114.747814
167.571429	109.19777	110.484599	112.179417	112.119521	113.787972	114.873242
167.714286	109.42063	110.604669	112.291085	112.234309	113.905217	114.967332
167.857143	109.571596	110.748399	112.380964	112.349005	114.030353	115.094283
168	109.701936	110.951651	112.516944	112.476318	114.151451	115.230773
168.142857	109.889667	111.07237	112.626143	112.604928	114.255121	115.329067
168.285714	110.114053	111.224186	112.758668	112.739125	114.343929	115.408448
168.428571	110.287709	111.394021	112.883508	112.874986	114.450538	115.521059
168.571429	110.423699	111.534113	113.018783	113.008036	114.565249	115.552715
168.714286	110.584907	111.736304	113.122379	113.14808	114.667283	115.665566
168.857143	110.782184	111.912336	113.293702	113.287946	114.752574	115.777037
169	110.989424	112.080717	113.415813	113.431077	114.854688	115.870558
169.142857	111.195884	112.317479	113.558897	113.574154	114.956966	115.94819
169.285714	111.38358	112.479326	113.694171	113.717135	115.048339	116.050225
169.428571	111.537211	112.620316	113.825456	113.860607	115.171085	116.097706
169.571429	111.747532	112.794838	113.972708	114.011187	115.290278	116.207804
169.714286	111.94911	112.965498	114.113292	114.154432	115.413926	116.331681
169.857143	112.130855	113.166921	114.239378	114.30267	115.529633	116.437027
170	112.296049	113.314077	114.397817	114.450535	115.653145	116.507674
170.142857	112.468018	113.502344	114.575521	114.59861	115.803795	116.629445
170.285714	112.625599	113.664345	114.734767	114.741273	115.929675	116.705986
170.428571	112.772865	113.817082	114.881883	114.887124	116.039916	116.812752
170.571429	113.006034	113.981662	115.020477	115.034772	116.15338	116.890478
170.714286	113.187615	114.137838	115.191361	115.180596	116.262108	116.991553
170.857143	113.386574	114.327944	115.32154	115.320524	116.404884	117.083102
171	113.577659	114.489929	115.493944	115.461233	116.523986	117.169234
171.142857	113.75948	114.657706	115.622842	115.612082	116.63725	117.280234
171.285714	113.980046	114.833867	115.769481	115.756429	116.746037	117.400282
171.428571	114.170473	114.980497	115.928974	115.894692	116.844311	117.522765
171.571429	114.423013	115.147816	116.043939	116.03294	116.962464	117.675587
171.714286	114.65572	115.294336	116.171933	116.164779	117.069629	117.802923
171.857143	114.812269	115.437282	116.300856	116.289568	117.173393	117.877497
172	114.952567	115.579001	116.420315	116.405184	117.249762	117.945189
172.142857	115.070234	115.665499	116.529936	116.508372	117.354022	118.060359
172.285714	115.190087	115.77475	116.62728	116.604022	117.42357	118.134405
172.428571	115.283814	115.875804	116.717959	116.698411	117.516066	118.215877
172.571429	115.383239	115.969922	116.798406	116.782982	117.583615	118.288917
172.714286	115.457782	116.079093	116.882302	116.863218	117.647652	118.367448
172.857143	115.544785	116.159689	116.956553	116.939988	117.722193	118.415779
173	115.604058	116.233262	117.031741	117.015334	117.777393	118.466755
173.142857	115.716118	116.31893	117.111444	117.088863	117.829474	118.509403
173.285714	115.781213	116.406107	117.188252	117.159752	117.881693	118.550147
173.428571	115.8695	116.481962	117.253856	117.230854	117.950248	118.612268
173.571429	115.925655	116.553248	117.329242	117.303126	118.013686	118.663983
173.714286	115.979468	116.613824	117.398122	117.370832	118.075264	118.724624
173.857143	116.024635	116.68208	117.470948	117.438954	118.13207	118.789697
174	116.074837	116.757988	117.535624	117.505806	118.180565	118.834678
174.142857	116.132002	116.827339	117.6012	117.573124	118.229221	118.907106
174.285714	116.251505	116.904756	117.664285	117.641232	118.299592	118.994534
174.428571	116.292212	116.983311	117.733626	117.707832	118.353751	119.081635
174.571429	116.34771	117.042528	117.799137	117.776632	118.41537	119.153138
174.714286	116.424676	117.113614	117.870272	117.840915	118.476554	119.241361
174.857143	116.469388	117.171683	117.930344	117.905035	118.541348	119.30303
175	116.522493	117.251604	118.005313	117.970753	118.608136	119.353476
175.142857	116.56683	117.343714	118.068661	118.041293	118.669384	119.425503
175.285714	116.623288	117.412297	118.136417	118.106579	118.733286	119.478627
175.428571	116.681246	117.503253	118.210933	118.174718	118.792984	119.565511
175.571429	116.716849	117.579955	118.263856	118.245515	118.853718	119.620208
