depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
72.520000 1491.472807 1494.082004 1496.150584 1495.919542 1497.859409 1499.244174
72.620000 1492.762051 1495.459622 1497.279275 1497.148224 1498.981252 1500.274409
72.720000 1494.387520 1496.786852 1498.502160 1498.433973 1500.194612 1501.564318
72.820000 1496.319740 1498.075964 1499.833736 1499.771047 1501.499775 1502.863428
72.920000 1497.887993 1499.598417 1501.285137 1501.317127 1503.090949 1504.654395
73.020000 1499.499611 1501.403471 1503.242933 1503.285962 1505.238425 1507.263862
73.120000 1501.917269 1503.987153 1506.157456 1506.328316 1508.870772 1511.478258
73.220000 1505.306743 1507.769010 1510.032649 1510.159560 1512.687583 1515.599609
73.320000 1509.251558 1511.702655 1513.868986 1513.960890 1516.306971 1519.219230
73.420000 1513.535220 1515.418355 1517.758279 1517.922366 1520.469435 1523.167222
73.520000 1517.714418 1519.606756 1522.172314 1522.028643 1524.230183 1526.392097
73.620000 1521.950149 1524.158259 1526.081936 1525.964099 1527.808749 1529.242622
73.720000 1525.483489 1527.386877 1528.912357 1528.801302 1530.323106 1531.421057
73.820000 1528.370162 1529.917544 1531.410907 1531.265018 1532.536616 1533.776899
73.920000 1530.448180 1531.790020 1533.056030 1533.032229 1534.292746 1535.272872
74.020000 1532.042658 1533.232173 1534.449569 1534.438980 1535.633196 1536.685240
74.120000 1533.442639 1534.498946 1535.741540 1535.699555 1536.834076 1537.826286
74.220000 1534.633446 1535.700996 1536.920856 1536.880596 1537.993186 1539.101311
74.320000 1535.836949 1537.062596 1538.112041 1538.110851 1539.246006 1540.238673
74.420000 1537.176820 1538.266764 1539.389906 1539.405911 1540.476313 1541.655205
74.520000 1538.577422 1539.822858 1540.859140 1540.918795 1542.077001 1543.375169
74.620000 1540.188361 1541.380937 1542.475453 1542.554097 1543.711242 1545.300029
74.720000 1542.029079 1542.989281 1544.219598 1544.336802 1545.603438 1547.528298
74.820000 1543.421049 1544.586275 1546.022173 1546.224657 1547.854614 1550.011123
74.920000 1544.829093 1546.149693 1548.043520 1548.333153 1550.542035 1553.365908
