depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
56.200000 1699.295092 1703.782999 1707.637947 1707.075381 1710.176772 1712.737510
56.300000 1702.639509 1707.127952 1710.021791 1709.672544 1712.277912 1714.645674
56.390000 1706.617330 1709.825074 1712.247789 1712.101397 1714.516083 1716.897986
56.490000 1709.848432 1712.517172 1714.635975 1714.559888 1716.801470 1719.072342
56.590000 1712.559341 1714.669823 1716.765904 1716.787346 1718.853127 1721.241294
56.680000 1714.793835 1716.608811 1718.697551 1718.758098 1720.744038 1723.388525
56.780000 1716.792466 1718.707731 1720.837620 1720.913452 1722.971289 1725.900100
56.870000 1718.828541 1720.910428 1722.847920 1723.032164 1725.165024 1728.493758
56.970000 1721.271058 1723.395264 1725.269729 1725.591461 1727.824063 1731.419707
57.070000 1723.774318 1725.817403 1727.833226 1728.147109 1730.602946 1734.081041
57.160000 1725.961596 1727.893121 1730.182130 1730.445502 1733.095511 1736.327859
57.260000 1727.983509 1730.184576 1732.833761 1733.017222 1735.675929 1739.554212
57.350000 1730.204992 1732.435457 1735.213463 1735.320188 1738.023881 1741.571497
57.450000 1732.659127 1734.964733 1737.824621 1737.966966 1740.983999 1744.528170
57.550000 1735.068053 1737.702288 1740.630943 1740.741498 1743.740672 1746.997930
57.640000 1737.692977 1740.537613 1743.309636 1743.465047 1746.538835 1749.471137
57.740000 1741.013387 1743.464858 1746.337340 1746.393223 1749.318095 1751.891838
57.830000 1743.442796 1745.926594 1748.891620 1748.832186 1751.649122 1753.951685
57.930000 1746.039148 1748.836356 1751.669932 1751.630228 1754.450916 1756.677731
58.020000 1747.992430 1751.246444 1754.132502 1754.012621 1756.778718 1758.939938
58.120000 1750.889442 1753.961156 1756.596687 1756.585841 1759.238227 1761.308629
58.220000 1753.899866 1756.823778 1759.258495 1759.192764 1761.623251 1763.846445
58.310000 1756.728749 1759.294689 1761.493569 1761.564437 1763.880561 1766.117713
58.410000 1760.122780 1762.010081 1764.205835 1764.237104 1766.440261 1768.495744
58.500000 1762.083045 1764.200773 1766.496903 1766.469728 1768.698385 1770.850160
58.600000 1764.273515 1766.612933 1768.988880 1769.017234 1771.468233 1773.723938
58.700000 1766.503917 1769.071340 1771.500370 1771.530628 1774.136922 1776.714953
58.790000 1768.773662 1771.338899 1773.722641 1773.746179 1776.277549 1778.569309
58.890000 1771.343676 1773.890354 1776.252047 1776.269059 1778.866851 1780.869868
58.980000 1773.863768 1776.030694 1778.554431 1778.539078 1780.896859 1783.025120
59.080000 1776.592739 1778.987516 1781.339960 1781.211413 1783.449088 1785.490922
59.170000 1779.668952 1781.918596 1783.976757 1783.878766 1785.714716 1787.702119
59.270000 1783.119289 1784.967838 1786.741302 1786.698401 1788.422853 1790.036214
59.370000 1785.771638 1787.603954 1789.120360 1789.139999 1790.706262 1792.396100
59.460000 1787.859450 1789.538124 1790.976764 1791.003258 1792.581441 1794.319146
59.560000 1790.051587 1791.446493 1792.942130 1792.973146 1794.448127 1796.361674
59.650000 1791.736347 1793.154556 1794.635277 1794.681234 1796.178918 1797.954149
59.750000 1793.612469 1795.001629 1796.480926 1796.583764 1798.112344 1800.142878
59.850000 1795.494252 1796.922998 1798.502751 1798.639728 1800.346763 1802.561332
59.940000 1797.296489 1798.622943 1800.206782 1800.470338 1802.174256 1805.290342
60.040000 1799.007171 1800.537269 1802.296536 1802.674723 1804.622947 1808.739928
60.130000 1800.763471 1802.338811 1804.296932 1804.789164 1806.990198 1812.596985
60.230000 1802.767574 1804.501170 1806.693612 1807.316349 1810.248917 1815.976913
60.330000 1804.876166 1806.876116 1809.169598 1809.975462 1813.379283 1819.196012
60.420000 1806.839491 1808.936501 1811.538216 1812.473356 1816.414206 1822.240684
60.520000 1809.054991 1811.256238 1814.598136 1815.442740 1819.893296 1825.689247
60.610000 1811.248989 1813.714295 1817.823740 1818.316598 1822.922896 1828.597805
60.710000 1813.879466 1816.800968 1821.177768 1821.493513 1826.029586 1831.350031
60.800000 1815.831036 1819.908047 1824.171538 1824.389815 1828.735281 1833.764993
60.900000 1818.533870 1823.256061 1827.459407 1827.619062 1832.304797 1836.486323
61.000000 1822.144313 1827.018943 1830.957907 1831.203445 1836.022815 1839.547225
61.090000 1826.279002 1830.599576 1834.481278 1834.584702 1838.971346 1842.767396
61.190000 1829.740639 1833.622252 1837.378373 1837.483234 1841.786316 1845.426880
61.285000 1832.790940 1836.896167 1840.607321 1840.572157 1844.282876 1847.899761
61.380000 1836.419549 1840.644545 1844.035855 1843.844662 1846.946349 1850.221531
61.480000 1840.133348 1844.257201 1847.318700 1847.180180 1850.020727 1853.223688
61.570000 1843.711505 1847.291587 1850.003594 1849.923821 1852.606866 1855.519519
61.670000 1847.738593 1850.392112 1852.755301 1852.791094 1855.272628 1858.245436
61.760000 1850.299135 1852.816803 1855.094372 1855.198740 1857.522486 1860.275566
61.860000 1853.302140 1855.660346 1858.070521 1858.057815 1860.314939 1863.671505
61.950000 1855.710612 1858.309058 1861.010515 1860.907844 1863.357289 1866.488961
62.050000 1857.880304 1861.293227 1864.057547 1863.965968 1866.712435 1869.094756
62.150000 1860.735359 1864.403072 1867.006729 1866.897248 1869.651126 1871.651532
62.240000 1863.085671 1866.847250 1869.437524 1869.331422 1871.883313 1874.572758
62.340000 1866.145785 1869.447722 1871.916074 1871.868698 1874.313096 1876.882318
62.430000 1868.383790 1871.514571 1874.027410 1873.929353 1876.230041 1879.086083
62.530000 1870.726240 1873.721555 1876.140251 1876.117097 1878.561154 1881.232001
62.630000 1873.165133 1875.908401 1878.449754 1878.377043 1880.856763 1883.472814
62.720000 1875.457570 1878.003644 1880.531504 1880.493978 1882.847104 1885.860702
62.820000 1878.183147 1880.716667 1883.007526 1883.045158 1885.349207 1888.304221
62.910000 1880.583745 1883.070461 1885.292894 1885.305818 1887.574198 1890.233879
63.010000 1883.304348 1885.711890 1887.899906 1887.938834 1890.249662 1892.350324
63.110000 1886.258339 1888.635678 1890.941067 1890.809107 1893.111455 1894.926438
63.200000 1889.327790 1891.479581 1893.698702 1893.544085 1895.508564 1897.420578
63.300000 1893.008572 1894.969622 1896.884534 1896.798106 1898.624790 1900.308408
63.390000 1896.373647 1898.022980 1899.650799 1899.673220 1901.193026 1903.256534
63.490000 1899.100650 1900.764055 1902.338376 1902.387968 1903.944991 1905.835059
63.580000 1901.068813 1902.870905 1904.475122 1904.519823 1906.125303 1908.094656
63.680000 1903.170274 1904.899376 1906.629293 1906.800382 1908.687555 1911.153015
63.780000 1905.272730 1906.965307 1908.882370 1909.028560 1911.083257 1914.095507
63.870000 1907.017327 1908.893965 1910.811675 1911.061798 1913.226406 1916.190566
63.970000 1909.000176 1911.210757 1913.219053 1913.482746 1915.878705 1919.305297
64.060000 1911.127476 1913.254813 1915.751094 1915.965208 1918.701260 1922.287192
64.160000 1913.975674 1916.228421 1919.228673 1919.513212 1922.603589 1927.236569
64.260000 1916.480715 1919.194271 1922.557819 1922.979512 1926.516463 1932.667312
64.350000 1918.981241 1922.017370 1925.415889 1926.097579 1929.826907 1938.247643
64.450000 1922.163674 1925.506377 1929.521311 1930.189297 1934.645318 1942.543622
64.540000 1924.671350 1928.704129 1933.195162 1933.887369 1939.059229 1946.970417
64.680000 1928.478398 1933.585685 1940.027447 1941.176075 1948.806601 1962.002992
64.820000 1933.367854 1938.949891 1947.214860 1948.504039 1958.063797 1971.248415
64.960000 1937.716188 1945.110851 1955.664222 1956.321565 1967.912711 1979.097017
65.100000 1942.045705 1951.648490 1963.613943 1963.921679 1976.082908 1986.985775
65.240000 1946.676897 1959.220093 1972.649202 1971.640161 1983.638985 1992.421434
65.380000 1954.689337 1967.191102 1980.402382 1979.121891 1990.637122 1997.823769
65.520000 1961.034972 1977.420836 1988.619961 1986.921551 1996.732590 2003.166670
65.660000 1966.785217 1987.239897 1996.050033 1994.302500 2002.265472 2007.281181
65.800000 1989.520975 1997.131294 2002.748692 2001.898159 2007.672717 2011.601620
65.895000 1993.363140 2001.371335 2006.462140 2005.532381 2010.599234 2014.750372
65.990000 1996.134459 2005.439720 2010.173163 2009.211280 2013.754286 2018.007956
66.130000 2003.363762 2010.755743 2015.136986 2014.252203 2018.548502 2021.718868
66.270000 2011.115245 2015.856498 2019.733080 2018.883699 2022.578043 2025.283586
66.370000 2014.382824 2018.752619 2022.329436 2021.628986 2025.077627 2027.866263
66.470000 2017.947636 2021.381028 2024.615537 2024.165589 2027.660018 2030.360804
66.610000 2021.845390 2025.072407 2027.900505 2027.658480 2030.727579 2033.193279
66.750000 2025.498939 2028.662260 2031.377273 2031.192067 2033.720274 2036.164145
66.850000 2028.468907 2031.486253 2033.831266 2033.765817 2036.202828 2038.598654
66.940000 2031.476930 2034.003713 2036.184340 2036.173251 2038.363771 2040.958189
67.040000 2034.054689 2036.421215 2038.597212 2038.600786 2040.806946 2043.330153
67.140000 2036.411008 2038.758976 2041.037075 2040.972056 2043.080791 2045.549574
67.280000 2039.654202 2041.941196 2044.190324 2044.188030 2046.439031 2048.904748
67.420000 2043.174985 2045.204670 2047.344694 2047.355542 2049.607478 2051.811707
67.520000 2045.386075 2047.787888 2049.907101 2049.830881 2052.057429 2054.103640
67.610000 2047.901086 2049.862508 2052.027273 2051.936162 2054.060583 2055.948528
67.710000 2050.308064 2052.227844 2054.232478 2054.249619 2056.306108 2058.218757
67.810000 2052.327262 2054.598066 2056.679957 2056.584729 2058.594414 2060.448079
67.900000 2054.731559 2056.821064 2058.964225 2058.826663 2060.830225 2062.788961
68.000000 2057.062085 2059.186771 2061.172885 2061.093832 2063.047581 2064.742005
68.090000 2059.576595 2061.512067 2063.305229 2063.288878 2065.025128 2066.747784
68.190000 2062.677006 2064.474866 2066.072589 2066.067285 2067.724419 2069.322732
68.280000 2065.025005 2066.632132 2068.204904 2068.216299 2069.831652 2071.561804
68.370000 2066.955363 2068.463015 2070.165396 2070.170691 2071.836704 2073.712009
68.480000 2069.163154 2070.700618 2072.371662 2072.475187 2074.217077 2076.402206
68.570000 2071.141660 2072.760744 2074.368246 2074.502624 2076.280455 2078.565853
68.670000 2073.404431 2074.975486 2076.840958 2077.007523 2078.996890 2081.434238
68.760000 2075.550145 2077.351496 2079.434703 2079.662528 2081.944498 2084.878368
68.860000 2078.696268 2080.754194 2082.914923 2083.234705 2085.922973 2088.919540
68.970000 2082.065815 2084.389087 2087.128819 2087.279317 2089.943437 2094.155832
69.050000 2084.617291 2087.573331 2090.705356 2090.803336 2093.820007 2098.172755
69.140000 2087.504360 2090.496016 2093.724392 2094.027571 2097.403447 2102.533869
69.270000 2090.567612 2094.255700 2097.715518 2098.110768 2102.090534 2107.719999
