depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
41.355000 1497.609464 1499.712370 1501.755629 1501.631571 1503.580590 1504.836746
41.395000 1499.661530 1501.495497 1503.286501 1503.135622 1504.830614 1506.021616
41.435000 1501.592707 1503.169887 1504.763828 1504.636583 1506.074790 1507.249477
41.475000 1503.258730 1505.016253 1506.344750 1506.277458 1507.536633 1508.728092
41.515000 1505.723952 1506.867998 1508.150208 1508.144728 1509.398455 1510.749875
41.555000 1507.532904 1508.787619 1509.955004 1510.091549 1511.347668 1513.313335
41.595000 1509.433827 1510.771429 1512.197771 1512.354297 1513.968846 1516.012497
41.635000 1511.181904 1512.669122 1514.447311 1514.563700 1516.371371 1519.072073
41.675000 1512.930115 1514.849750 1516.759900 1516.919375 1518.970987 1521.786762
41.715000 1514.691044 1517.039674 1519.126535 1519.238587 1521.616670 1524.002426
41.755000 1516.253383 1519.124526 1521.603107 1521.527282 1524.090405 1525.866674
41.795000 1518.283260 1521.410167 1523.859976 1523.664775 1525.915408 1527.604364
41.835000 1521.304068 1523.993368 1526.248508 1525.974167 1527.939163 1529.369850
41.875000 1524.791346 1526.880235 1528.615960 1528.430822 1529.977697 1531.163757
41.915000 1527.675055 1529.122555 1530.584443 1530.451125 1531.669338 1532.620457
41.955000 1529.478855 1530.826472 1532.070643 1531.961663 1533.038632 1533.830717
41.995000 1531.083508 1532.350123 1533.490961 1533.374881 1534.351101 1535.314456
42.035000 1532.255301 1533.568250 1534.629156 1534.583607 1535.629719 1536.534380
42.075000 1533.261905 1534.620074 1535.682719 1535.666873 1536.710506 1537.785238
42.115000 1534.369226 1535.691102 1536.792001 1536.762799 1537.782745 1538.837058
42.155000 1535.547324 1536.839830 1537.898621 1537.889917 1538.945708 1540.035864
42.195000 1536.905565 1538.101054 1539.133990 1539.093313 1540.042264 1541.094085
42.235000 1538.382340 1539.382013 1540.364645 1540.351551 1541.297060 1542.202380
42.275000 1539.739025 1540.793601 1541.634992 1541.653403 1542.562539 1543.485976
42.315000 1541.400422 1542.153143 1543.045591 1543.084633 1543.966116 1545.051595
42.355000 1542.888433 1543.620172 1544.492094 1544.613300 1545.580337 1546.849850
42.395000 1544.241569 1545.026630 1546.059067 1546.186943 1547.325232 1548.908825
42.435000 1545.313115 1546.352605 1547.563399 1547.693507 1549.061344 1550.721509
42.475000 1546.631488 1547.630307 1549.020680 1549.158343 1550.712135 1552.231592
42.515000 1547.708569 1548.868299 1550.424360 1550.563230 1552.172144 1553.827489
42.555000 1549.007239 1550.283586 1551.968362 1551.998018 1553.696269 1555.252515
42.595000 1550.238746 1551.724699 1553.521022 1553.487589 1555.131225 1556.831202
42.635000 1551.619435 1553.283874 1555.139941 1555.027552 1556.658295 1558.147734
42.675000 1553.191621 1554.993036 1556.793056 1556.785970 1558.573618 1560.305597
42.715000 1554.738458 1556.711269 1558.539055 1558.537937 1560.402324 1562.339453
42.755000 1556.378217 1558.574245 1560.432413 1560.440594 1562.447242 1564.354651
42.795000 1558.082200 1560.196660 1562.274360 1562.237351 1564.349399 1566.024098
42.835000 1560.123134 1562.036474 1564.145950 1564.037660 1565.953665 1567.409915
42.875000 1561.756075 1564.016349 1566.072750 1565.851420 1567.567054 1568.837470
