depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
57.020000 2001.180101 2003.277487 2004.597913 2004.435371 2005.618162 2006.661616
57.040000 2001.792483 2003.736167 2004.945912 2004.830163 2005.956411 2007.043422
57.060000 2002.240080 2004.146802 2005.336352 2005.209116 2006.300117 2007.410066
57.080000 2002.910599 2004.536168 2005.723965 2005.594317 2006.631239 2007.821794
57.100000 2003.323602 2005.001579 2006.090834 2005.976006 2006.985790 2008.174422
57.120000 2003.624342 2005.337317 2006.466609 2006.345930 2007.338099 2008.514683
57.140000 2004.100419 2005.752805 2006.848779 2006.724000 2007.703853 2008.817950
57.160000 2004.450329 2006.172020 2007.193996 2007.090597 2008.051274 2009.173217
57.180000 2004.976916 2006.551630 2007.550003 2007.460237 2008.389594 2009.520527
57.200000 2005.504580 2006.907607 2007.911247 2007.823351 2008.705746 2009.876205
57.220000 2005.884700 2007.327441 2008.264947 2008.200970 2009.076321 2010.250342
57.240000 2006.315487 2007.739935 2008.626036 2008.581312 2009.481025 2010.559509
57.260000 2006.912525 2008.127728 2008.997215 2008.979170 2009.860976 2010.860247
57.280000 2007.503326 2008.495234 2009.379174 2009.367642 2010.267414 2011.181200
57.300000 2007.808925 2008.904318 2009.753647 2009.758546 2010.657919 2011.561931
57.320000 2008.249454 2009.310452 2010.155486 2010.159257 2011.063343 2011.974752
57.340000 2008.760413 2009.732171 2010.551015 2010.558422 2011.422755 2012.285344
57.360000 2009.327817 2010.166410 2010.997531 2010.989355 2011.870065 2012.669057
57.380000 2009.729944 2010.612567 2011.402232 2011.417113 2012.304489 2013.130516
57.400000 2010.149382 2011.043523 2011.860527 2011.865879 2012.744250 2013.481974
57.420000 2010.625392 2011.436044 2012.286530 2012.280760 2013.123824 2013.865224
57.440000 2010.973133 2011.815408 2012.675425 2012.684396 2013.547784 2014.297759
57.460000 2011.400373 2012.254708 2013.107778 2013.105999 2013.935973 2014.726606
57.480000 2011.824812 2012.684671 2013.525039 2013.529400 2014.348205 2015.199121
57.500000 2012.209389 2013.099903 2013.950483 2013.949189 2014.739810 2015.661209
57.520000 2012.732757 2013.557185 2014.400228 2014.386243 2015.159427 2016.196433
57.540000 2013.159006 2013.989437 2014.829442 2014.816784 2015.588554 2016.624476
57.560000 2013.607427 2014.357741 2015.247910 2015.240835 2016.052329 2017.088775
57.580000 2014.005778 2014.763738 2015.629831 2015.640197 2016.481426 2017.477438
57.600000 2014.409482 2015.145015 2015.995802 2016.038793 2016.903891 2017.884988
57.620000 2014.797195 2015.532053 2016.407836 2016.436452 2017.320082 2018.267402
57.640000 2015.158051 2015.898002 2016.798482 2016.837485 2017.772989 2018.712875
57.660000 2015.473294 2016.299570 2017.234532 2017.237916 2018.168031 2019.159793
57.680000 2015.844608 2016.677264 2017.596450 2017.642091 2018.577437 2019.503413
57.700000 2016.233843 2017.115740 2018.038077 2018.052937 2018.978528 2019.949330
57.720000 2016.612478 2017.576694 2018.438912 2018.464108 2019.404024 2020.257078
57.740000 2017.052180 2017.976061 2018.819480 2018.863164 2019.796519 2020.727145
57.760000 2017.433924 2018.406449 2019.240464 2019.280626 2020.226058 2021.140641
57.780000 2017.878341 2018.856409 2019.672626 2019.736055 2020.652736 2021.636209
57.800000 2018.360735 2019.351235 2020.149109 2020.202932 2021.113612 2022.085861
57.820000 2018.875262 2019.823114 2020.685711 2020.701203 2021.587986 2022.533441
57.840000 2019.417631 2020.292758 2021.210314 2021.203944 2022.101344 2022.995854
57.860000 2019.882485 2020.771759 2021.723273 2021.684469 2022.548836 2023.463897
57.880000 2020.499610 2021.296194 2022.213128 2022.186057 2023.063121 2023.936236
57.900000 2020.968739 2021.778737 2022.680964 2022.657722 2023.547027 2024.297610
57.920000 2021.337651 2022.226059 2023.129256 2023.116531 2023.994457 2024.702660
57.960000 2022.316804 2023.144114 2024.003441 2023.979712 2024.830948 2025.430887
57.980000 2022.732083 2023.632809 2024.416398 2024.397334 2025.227871 2025.775217
58.000000 2023.128652 2024.041154 2024.808383 2024.801064 2025.593808 2026.174936
58.020000 2023.579201 2024.450819 2025.213938 2025.189828 2025.965567 2026.521806
