depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
549.800000 1740.935400 1746.914466 1751.861662 1750.949321 1754.543970 1756.471617
549.925000 1741.388227 1747.350286 1752.221170 1751.340627 1754.904866 1756.960743
550.050000 1741.683963 1747.720576 1752.596269 1751.727763 1755.261986 1757.217895
550.175000 1742.152375 1748.058192 1752.955945 1752.110371 1755.579603 1757.554693
550.300000 1742.631141 1748.543598 1753.309893 1752.497677 1755.937564 1757.788876
550.435000 1743.030829 1749.135786 1753.673525 1752.917048 1756.244036 1758.136005
550.570000 1743.537557 1749.784239 1754.092424 1753.330100 1756.581413 1758.483296
550.685000 1744.120461 1750.138571 1754.473833 1753.684744 1756.878330 1758.840732
550.800000 1744.452138 1750.704242 1754.808725 1754.026030 1757.144947 1759.059037
550.920000 1744.925200 1751.053754 1755.117831 1754.396520 1757.474043 1759.366558
551.040000 1745.282316 1751.420285 1755.489451 1754.750733 1757.765937 1759.661797
551.170000 1746.015033 1751.862441 1755.881175 1755.151091 1758.122930 1759.958653
551.300000 1746.901777 1752.404132 1756.292416 1755.567526 1758.400633 1760.239019
551.425000 1747.538953 1753.002277 1756.677047 1756.004887 1758.735580 1760.638920
551.550000 1748.382409 1753.483500 1757.103930 1756.427299 1759.013267 1760.937522
551.675000 1748.999564 1754.004426 1757.504332 1756.841554 1759.371180 1761.270142
551.800000 1750.049296 1754.519431 1757.920541 1757.272861 1759.714715 1761.535931
551.925000 1750.641540 1755.110866 1758.336573 1757.692741 1760.029281 1761.912847
552.050000 1751.612699 1755.559234 1758.760181 1758.105468 1760.382255 1762.276099
552.175000 1752.060973 1756.010658 1759.163704 1758.532521 1760.747872 1762.681609
552.300000 1752.706586 1756.433022 1759.627179 1758.955049 1761.137523 1763.056953
552.425000 1753.209606 1756.934201 1759.992157 1759.384739 1761.547046 1763.406173
552.550000 1753.990450 1757.383603 1760.435126 1759.833281 1761.902888 1763.814687
552.675000 1754.702652 1757.886105 1760.854539 1760.301221 1762.319425 1764.376016
552.800000 1755.253794 1758.395425 1761.285118 1760.773095 1762.772629 1764.742331
552.925000 1755.923253 1758.937790 1761.686503 1761.254170 1763.267779 1765.176206
553.050000 1756.537516 1759.611389 1762.082051 1761.730135 1763.670996 1765.638288
553.175000 1757.090466 1760.099853 1762.473610 1762.178751 1764.162475 1765.933938
553.300000 1757.704019 1760.562261 1762.913635 1762.620245 1764.649953 1766.308658
553.425000 1758.156358 1760.931020 1763.253104 1763.018332 1765.046297 1766.844230
553.550000 1758.627685 1761.308724 1763.634253 1763.420306 1765.461154 1767.235434
553.675000 1759.052561 1761.715456 1764.036836 1763.828101 1765.887210 1767.682082
553.800000 1759.434863 1762.157435 1764.362999 1764.233149 1766.298482 1768.199553
553.925000 1759.759221 1762.590282 1764.704616 1764.613099 1766.684558 1768.646188
554.050000 1760.108871 1763.011453 1765.065297 1764.976458 1767.142980 1768.976596
554.175000 1760.401812 1763.356593 1765.435251 1765.343147 1767.529430 1769.176561
554.300000 1760.839441 1763.724143 1765.832636 1765.702197 1767.850966 1769.481666
554.425000 1761.208296 1764.074492 1766.190309 1766.047422 1768.169127 1769.856947
554.550000 1761.547208 1764.449800 1766.527438 1766.394869 1768.446076 1770.170424
554.688889 1761.853845 1764.884190 1766.957415 1766.794986 1768.874622 1770.497692
554.827778 1762.260143 1765.224062 1767.327722 1767.169703 1769.223511 1770.836775
554.966667 1762.672489 1765.590402 1767.737460 1767.553097 1769.603649 1771.222559
555.105556 1762.974771 1765.959916 1768.136270 1767.939534 1769.957771 1771.662601
555.244444 1763.372548 1766.354334 1768.538760 1768.324408 1770.338340 1771.986322
555.383333 1763.796231 1766.659509 1768.942590 1768.702692 1770.739928 1772.342001
555.522222 1764.144562 1767.005823 1769.376940 1769.078014 1771.132571 1772.693847
555.661111 1764.464765 1767.346356 1769.804858 1769.457104 1771.457339 1773.149967
555.800000 1764.757487 1767.647507 1770.198182 1769.828259 1771.800381 1773.513180
555.925000 1765.024175 1768.004449 1770.564678 1770.169549 1772.149472 1773.977665
556.050000 1765.375350 1768.322524 1770.938072 1770.501636 1772.452527 1774.371986
556.175000 1765.717046 1768.675998 1771.295247 1770.846160 1772.760722 1774.776534
556.300000 1765.961450 1769.038990 1771.639108 1771.186201 1773.064933 1775.125704
556.425000 1766.298565 1769.434816 1771.985505 1771.539575 1773.402232 1775.494191
556.550000 1766.608615 1769.804977 1772.317398 1771.877927 1773.755332 1775.810699
556.675000 1766.906709 1770.170032 1772.661869 1772.213275 1774.087045 1776.143594
556.800000 1767.277683 1770.458847 1773.000227 1772.548449 1774.392086 1776.441552
556.925000 1767.586843 1770.796476 1773.320375 1772.897368 1774.688099 1776.767786
557.050000 1767.895078 1771.144005 1773.745461 1773.251933 1775.085583 1777.114151
557.190000 1768.340598 1771.476173 1774.179083 1773.645880 1775.463779 1777.665778
557.330000 1768.656950 1771.800513 1774.532913 1774.034361 1775.850561 1778.037127
557.440000 1768.975219 1772.101810 1774.815969 1774.339873 1776.201909 1778.279584
557.550000 1769.253156 1772.388915 1775.102541 1774.644012 1776.482998 1778.574507
557.680000 1769.673486 1772.640089 1775.422929 1774.992297 1776.820077 1778.857111
557.810000 1769.973744 1772.962851 1775.776496 1775.327730 1777.186881 1779.158719
557.954545 1770.497680 1773.356579 1776.151228 1775.714708 1777.562001 1779.439881
558.099091 1770.919528 1773.738393 1776.525823 1776.095910 1777.921576 1779.787509
558.243636 1771.495706 1774.113752 1776.864196 1776.480266 1778.287454 1780.115458
558.388182 1771.997078 1774.466252 1777.239953 1776.854902 1778.680792 1780.437688
558.532727 1772.445866 1774.867174 1777.640307 1777.237803 1779.046273 1780.752955
558.677273 1773.044216 1775.225283 1778.012481 1777.616246 1779.412123 1781.039273
558.821818 1773.523834 1775.748896 1778.336749 1778.001873 1779.801491 1781.386261
558.966364 1773.995830 1776.191416 1778.698894 1778.387923 1780.256060 1781.721555
