depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
72.520000 1489.102831 1492.092974 1494.567495 1494.330360 1496.670901 1498.271558
72.620000 1491.023852 1493.662676 1495.715879 1495.669115 1497.780715 1499.564523
72.720000 1492.771199 1495.037222 1496.923898 1496.957531 1498.949503 1500.757059
72.820000 1494.082905 1496.427372 1498.335467 1498.358796 1500.412912 1502.296851
72.920000 1495.687476 1497.921289 1500.067555 1500.031642 1502.159120 1504.177964
73.020000 1497.309175 1499.871089 1502.134653 1502.263107 1504.785367 1507.422289
73.120000 1500.678702 1503.190301 1505.964864 1505.966598 1508.694356 1511.270912
73.220000 1504.400592 1507.256934 1510.097191 1510.011245 1512.764273 1515.060388
73.320000 1508.298219 1511.024059 1513.462296 1513.535327 1515.918775 1519.155931
73.420000 1513.025501 1515.137974 1517.275921 1517.473623 1520.108420 1522.681079
73.520000 1517.220649 1519.076547 1521.334413 1521.370407 1523.633447 1525.760519
73.620000 1521.357018 1523.375319 1525.374666 1525.287448 1527.044182 1528.814990
73.720000 1524.787065 1526.575894 1528.269527 1528.153375 1529.654965 1531.166200
73.820000 1527.891462 1529.276547 1530.784866 1530.711555 1532.101251 1533.497870
73.920000 1529.729210 1531.008407 1532.367924 1532.380137 1533.728304 1535.107832
74.020000 1531.178111 1532.396595 1533.702865 1533.699375 1535.074376 1536.231666
74.120000 1532.504947 1533.548303 1534.890473 1534.888155 1536.164771 1537.325620
74.220000 1533.670804 1534.710136 1536.009233 1536.002370 1537.228566 1538.407067
74.320000 1534.696760 1535.839836 1537.202300 1537.156802 1538.374831 1539.415409
74.420000 1535.884958 1537.077017 1538.500240 1538.414829 1539.646772 1540.660773
74.520000 1537.348801 1538.795293 1540.040447 1539.978755 1541.145809 1542.311882
74.620000 1539.150973 1540.449337 1541.662519 1541.713095 1542.913680 1544.779096
74.720000 1541.030957 1542.103986 1543.450007 1543.630864 1545.079813 1547.688298
74.820000 1542.661450 1543.764468 1545.298535 1545.787112 1547.905160 1551.743304
74.920000 1543.954180 1545.463527 1547.843307 1548.269019 1551.199838 1555.046274
75.020000 1545.410024 1547.340182 1551.247814 1551.201171 1554.842868 1557.723080
75.120000 1547.161922 1550.845664 1554.827946 1554.367280 1557.711507 1559.809457
75.220000 1549.591786 1554.356755 1557.745514 1557.297457 1560.189268 1562.295112
75.320000 1552.092642 1557.642415 1560.550033 1560.103596 1562.673918 1564.564587
75.420000 1554.769512 1560.566388 1563.248446 1562.791885 1565.172831 1567.001165
75.520000 1557.727953 1562.841862 1565.515323 1565.030318 1567.389676 1568.890256
75.620000 1560.368951 1565.189583 1567.421124 1567.098040 1569.229730 1570.630926
75.720000 1564.095727 1567.376350 1569.221001 1569.011414 1570.789841 1572.210081
75.820000 1567.963901 1569.620834 1571.166221 1571.056162 1572.493348 1573.848571
75.920000 1570.422957 1571.867170 1573.223095 1573.183645 1574.469434 1575.847751
76.020000 1572.394366 1573.602566 1575.026012 1574.954647 1576.176306 1577.563463
76.120000 1573.863184 1575.167213 1576.604413 1576.538165 1577.817386 1579.022096
76.240000 1575.539500 1577.139404 1578.511525 1578.576184 1580.152376 1581.570232
76.340000 1577.227469 1578.709045 1580.184933 1580.295640 1581.897094 1583.751032
