depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
0.010000 3.929324 4.687348 5.440205 5.400849 6.122420 6.603934
0.100000 4.644161 5.394209 6.034216 6.017269 6.668755 7.166791
0.210000 5.436403 6.066521 6.629936 6.623476 7.206354 7.760859
0.300000 5.890515 6.513230 7.062266 7.074714 7.654444 8.233468
0.410000 6.428931 7.005666 7.571494 7.579320 8.157844 8.812450
0.500000 6.839857 7.421034 7.976840 7.983029 8.535588 9.157576
0.610000 7.283691 7.882599 8.445240 8.452191 9.045395 9.608497
0.710000 7.703353 8.273673 8.850275 8.870287 9.477412 10.032135
0.810000 8.157526 8.709477 9.288640 9.303184 9.902242 10.454997
0.910000 8.558313 9.168173 9.753727 9.767060 10.390901 10.995896
1.000000 8.997966 9.605673 10.231205 10.224954 10.857082 11.483781
1.100000 9.504432 10.184167 10.797682 10.797832 11.425845 12.017097
1.210000 10.191909 10.872561 11.523931 11.530331 12.225280 12.772048
1.310000 10.860482 11.613601 12.248187 12.250501 12.928234 13.530610
1.410000 11.610338 12.327561 13.010706 12.999856 13.651258 14.274062
1.490000 12.204543 12.981491 13.664703 13.642212 14.316761 14.937025
1.610000 13.226370 14.010107 14.740178 14.756942 15.482132 16.391022
1.710000 14.275410 15.021390 15.985896 16.108537 17.217482 18.688908
1.810000 15.272396 16.233475 17.242966 17.361163 18.569363 19.793638
1.910000 16.056419 17.154142 18.348208 18.435083 19.647792 21.113332
2.010000 16.740832 17.911692 19.278658 19.369343 20.755843 22.442363
2.110000 17.534488 18.778627 20.171993 20.287398 21.847071 23.302855
2.210000 18.077155 19.627411 21.162122 21.225310 22.880897 24.249275
2.310000 18.755447 20.493634 22.078150 22.086800 23.768190 25.083868
2.410000 19.577046 21.398056 22.958110 22.920283 24.560207 25.726121
2.510000 20.569194 22.225511 23.796961 23.735716 25.287130 26.487350
2.610000 21.477781 23.043643 24.565730 24.503072 25.941252 27.130061
2.710000 22.257828 23.875632 25.340567 25.250090 26.652488 27.841521
2.810000 22.829348 24.573643 26.072261 25.931798 27.259078 28.344731
2.910000 23.565803 25.230951 26.844711 26.655642 28.018337 28.948287
2.990000 24.243343 25.795465 27.314735 27.162278 28.481448 29.373414
3.110000 25.053267 26.561470 28.047283 27.919547 29.213280 30.142719
3.210000 25.629259 27.166194 28.645010 28.524222 29.817030 30.747145
3.310000 26.211744 27.709598 29.212840 29.086550 30.396853 31.269107
3.410000 26.721301 28.260563 29.770159 29.638532 30.929914 31.862543
3.510000 27.335824 28.891987 30.375156 30.217376 31.490816 32.478421
3.610000 27.881005 29.467465 30.935043 30.790702 32.033197 33.104533
3.710000 28.428856 30.113366 31.506674 31.399896 32.618384 33.944153
3.810000 29.009182 30.721829 32.115268 32.007713 33.279102 34.592614
3.910000 29.710805 31.298868 32.708312 32.601750 33.844574 35.265221
4.000000 30.115317 31.871157 33.239646 33.121325 34.329114 35.742500
4.110000 31.024855 32.618884 33.929766 33.825797 34.936861 36.430488
4.210000 31.681294 33.264150 34.515833 34.443148 35.487081 36.973916
4.310000 32.376029 33.966455 35.107985 35.074870 36.140728 37.479603
4.410000 33.025639 34.560890 35.691706 35.694430 36.848677 37.977903
4.490000 33.785555 35.172019 36.205765 36.232894 37.383438 38.493729
4.600000 34.581707 35.871599 36.909621 36.928777 38.043296 39.174285
4.710000 35.538711 36.660030 37.631924 37.677037 38.764027 39.722232
4.810000 36.158371 37.270631 38.249616 38.287821 39.378526 40.331057
4.910000 36.856096 37.865235 38.876307 38.877830 39.900742 40.982664
5.000000 37.459086 38.408726 39.389787 39.408725 40.378149 41.529054
5.110000 38.079636 38.966662 39.989408 40.008037 40.959980 42.138673
5.200000 38.542592 39.492634 40.489078 40.505246 41.513812 42.661855
5.310000 39.168487 40.078452 41.075551 41.097029 42.127957 43.307291
5.410000 39.682907 40.621487 41.604759 41.652627 42.641917 43.893305
5.500000 40.164143 41.093702 42.113995 42.184716 43.237692 44.607301
5.610000 40.787104 41.723912 42.712579 42.816055 43.855120 45.346582
5.690000 41.263352 42.163429 43.139049 43.282700 44.338210 46.051951
5.770000 41.772649 42.630887 43.640973 43.772522 44.901394 46.684212
5.870000 42.351785 43.199739 44.179880 44.381719 45.580140 47.629925
5.990000 42.888726 43.845463 44.875476 45.071531 46.368773 48.334933
6.090000 43.491932 44.376439 45.407539 45.639919 47.023189 48.850257
