depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
0.010000 0.074250 0.491411 1.428257 1.434464 2.346118 2.995304
0.040000 0.546631 0.953933 1.963419 1.935487 2.903626 3.489829
0.060000 0.826977 1.233795 2.342725 2.279770 3.263069 3.854269
0.090000 1.224243 1.670255 2.899021 2.777015 3.792064 4.375396
0.100000 1.392703 1.817117 3.091811 2.958188 4.001175 4.584793
0.110000 1.593997 1.986769 3.280615 3.140245 4.182306 4.782341
0.140000 2.012253 2.433114 3.793123 3.634611 4.658037 5.273341
0.160000 2.289962 2.741407 4.172158 3.982194 5.049061 5.695165
0.190000 2.733068 3.202078 4.706472 4.483088 5.566873 6.208520
0.200000 2.876634 3.383249 4.887991 4.665756 5.745995 6.382547
0.210000 3.029238 3.551498 5.073086 4.840966 5.921936 6.559467
0.260000 3.833462 4.393379 5.855463 5.629258 6.618294 7.271218
0.310000 4.546778 5.226572 6.640230 6.436622 7.420785 8.100138
0.340000 5.034735 5.841761 7.149158 7.003460 7.984002 8.626868
0.350000 5.235387 6.072631 7.375712 7.226151 8.215347 8.844249
0.360000 5.474950 6.360909 7.620109 7.478998 8.436030 9.092417
0.390000 6.119236 7.234820 8.340864 8.190262 9.071077 9.787901
0.400000 6.327665 7.522335 8.606412 8.463208 9.335858 10.023360
0.410000 6.588382 7.759394 8.834267 8.711884 9.583416 10.357041
0.440000 7.288015 8.484764 9.557982 9.480876 10.421461 11.255886
0.450000 7.519736 8.715663 9.835977 9.756295 10.692951 11.593905
0.470000 8.061714 9.382923 10.495431 10.437337 11.455707 12.541086
0.570000 10.821655 12.203675 13.620922 13.649668 15.118571 16.774427
0.670000 13.835011 15.300240 16.555647 16.618319 17.993495 19.399373
0.720000 14.921271 16.411561 17.779493 17.795314 19.249249 20.532967
0.770000 15.657964 17.264651 18.861414 18.807980 20.308259 21.551189
0.820000 16.454661 18.109527 19.845519 19.750173 21.302613 22.580849
0.860000 16.868834 18.780205 20.667536 20.500647 22.099214 23.195262
0.870000 17.037570 18.990064 20.883712 20.706092 22.322465 23.377898
0.920000 17.904430 19.903294 21.789142 21.604768 23.154932 24.310754
0.970000 18.685993 20.743922 22.719179 22.460815 23.962850 25.138825
1.020000 19.577023 21.658500 23.583792 23.342787 24.876516 26.018206
1.070000 20.491340 22.671781 24.512529 24.251000 25.714618 26.872876
1.110000 21.145453 23.417314 25.167652 25.002762 26.509912 27.724394
1.150000 22.078755 24.296951 25.941286 25.813061 27.317814 28.573340
1.220000 23.902458 25.821569 27.283660 27.235973 28.747408 30.246676
1.270000 24.910801 26.909760 28.331360 28.400134 29.921543 32.074736
1.320000 26.027606 27.950127 29.412306 29.559148 31.163447 33.546009
1.360000 26.869893 28.777885 30.284323 30.461798 32.154446 34.725362
1.470000 28.914922 30.847980 32.646511 32.993579 35.280497 38.274018
1.520000 29.999552 31.846470 33.991326 34.343806 37.086929 39.698791
1.570000 31.132058 32.945463 35.423960 35.763999 38.953082 41.036254
1.620000 32.126521 34.208995 37.325300 37.373312 40.669324 42.389513
1.670000 33.126772 35.367648 39.594534 39.097057 42.141767 44.033992
1.700000 34.032631 36.290393 40.751870 40.148387 43.078523 44.842416
1.710000 34.237175 36.585602 41.110080 40.480149 43.437811 45.320916
1.720000 34.494673 36.932382 41.432843 40.828730 43.837199 45.685188
1.770000 36.071393 39.235490 43.545135 43.063856 46.229371 49.183549
1.820000 37.554170 41.614493 45.677515 45.314303 48.923739 52.129696
1.870000 39.283664 43.712008 48.235206 47.982406 52.164481 56.410695
1.920000 41.171131 45.700322 50.729988 50.557553 55.500895 58.878609
1.970000 43.012719 47.988432 53.950210 53.286593 58.509320 61.300141
2.070000 53.574766 58.034609 60.930653 60.606905 63.495642 65.253063
2.120000 56.390256 60.503954 63.008318 62.701445 65.283329 66.622462
2.170000 58.762748 62.276901 64.705592 64.316814 66.615715 67.864764
2.220000 60.733552 63.856131 66.258178 65.819912 67.966699 69.181732
2.270000 62.450014 65.490154 67.707154 67.247168 69.121071 70.253257
2.320000 64.318120 67.058932 68.924189 68.594615 70.189566 71.281116
2.370000 66.577871 68.659895 70.236158 69.965831 71.341326 72.492661
