depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
0.130000 0.536590 1.277653 2.054671 2.037703 2.808106 3.499274
0.180000 2.642374 3.766706 4.803270 4.845307 5.960749 7.251894
0.230000 5.414357 6.768074 8.178634 8.231767 9.761782 11.109888
0.280000 8.913919 10.417819 11.826187 11.737091 13.043006 13.976381
0.330000 12.166827 13.706951 14.914980 14.866697 15.927954 17.460448
0.430000 16.503952 17.911810 19.830052 20.006664 22.132071 24.537018
0.480000 18.805928 20.165143 22.548473 22.577714 24.917594 26.996079
0.530000 20.965403 22.698568 25.242378 25.202395 27.535605 29.748547
0.580000 23.292019 25.509245 28.029134 27.966704 30.360838 32.374778
0.630000 25.952231 28.231137 30.806148 30.684335 33.079477 34.910675
0.680000 28.375058 30.512488 33.371961 33.247313 35.729310 37.638758
0.730000 30.694154 32.802486 35.445275 35.416692 37.792760 40.319658
0.780000 32.696054 34.870225 37.524344 37.507227 39.923732 42.429576
0.830000 34.442410 37.007599 39.663288 39.610302 42.004099 44.863087
0.880000 36.493213 39.207956 41.762523 41.753694 44.075045 47.042239
0.930000 38.812858 41.586678 43.830502 43.937694 46.427664 48.698483
0.980000 41.257065 43.838035 45.978318 46.113523 48.564918 51.223506
1.090000 45.710981 48.431591 50.327271 50.552632 52.743109 55.641588
1.140000 47.906142 50.456605 52.356039 52.635084 54.746349 58.083980
1.190000 50.013924 52.407713 54.457665 54.763047 56.915918 61.568304
1.240000 51.814166 54.340331 56.601074 57.105039 59.517101 66.561522
1.290000 54.104687 56.436240 59.293678 60.218787 64.271825 70.180193
1.340000 56.884492 59.410930 63.977107 64.423005 69.666147 72.923717
1.390000 59.878734 64.334385 69.753314 69.073831 72.823499 76.075769
1.440000 63.965234 70.739938 73.343220 73.342586 75.817202 83.404242
1.490000 70.567584 73.845381 76.185792 76.579023 78.378484 89.229445
1.540000 74.724643 77.498678 79.232803 80.066722 81.257807 93.221154
1.590000 79.532106 81.349890 82.923879 83.916238 84.893617 98.386143
1.640000 83.308919 85.092259 86.835326 88.081401 90.646432 103.112260
1.690000 86.966904 88.311011 90.626281 91.820974 94.944681 106.051635
1.790000 93.277864 96.720307 100.811026 101.111070 105.398802 111.162593
1.840000 96.335724 101.608227 106.164054 106.080802 110.618180 114.455504
1.890000 100.849467 107.267801 112.122762 111.335515 115.238310 117.829756
1.940000 105.770760 115.030608 118.082383 117.936161 121.535541 125.755574
1.990000 113.534587 119.482843 124.056963 123.331898 127.236360 129.058088
2.040000 119.838012 127.226463 129.226264 128.740423 130.975078 132.400903
2.090000 129.103354 131.099643 132.825483 132.716167 134.458114 136.097156
2.140000 133.151620 134.739207 136.632418 136.650783 138.556862 140.380662
2.190000 135.855416 137.580909 139.480082 139.534725 141.474693 143.324070
2.240000 138.370557 140.242111 142.073281 142.106610 143.944133 145.808230
2.290000 140.834733 142.739060 144.477435 144.579219 146.471447 148.627879
2.340000 143.427648 145.069631 146.810729 146.937393 148.858439 151.269282
2.390000 145.435142 147.283554 149.121792 149.260211 151.290834 153.458489
2.440000 147.582652 149.467549 151.437824 151.522937 153.627648 155.683943
2.490000 149.759643 151.573024 153.594011 153.699027 155.816893 158.069225
2.590000 154.024294 155.671168 157.620373 157.735492 159.819028 162.188308
2.640000 155.937041 157.929936 159.860482 159.948830 162.057977 164.599170
2.690000 158.320347 159.976185 162.122985 162.305159 164.446043 167.870778
2.790000 162.300183 164.451810 166.883412 167.530898 170.583080 177.064859
2.840000 164.816940 167.056886 170.005085 170.866662 175.032671 180.866853
2.940000 169.344833 172.798999 178.619830 178.217311 183.173257 185.677117
2.990000 172.325714 177.305666 183.058475 182.018743 186.178395 187.912252
3.040000 176.441184 181.647349 186.538225 185.387040 188.612014 190.079455
3.090000 180.420108 185.919520 189.492886 188.694106 191.267259 192.753926
3.140000 185.870740 190.856872 192.797159 192.659345 194.664232 197.845218
3.190000 193.152586 195.619086 198.815631 199.037888 202.503219 206.621802
3.240000 195.190422 200.303872 205.156237 204.589642 208.447955 212.646436
3.290000 199.388995 206.536824 211.838604 210.835102 215.151237 217.233900
3.340000 205.265209 214.673953 217.535957 216.634188 219.406964 221.586016
3.390000 216.706077 219.425525 221.172600 221.129138 223.227946 225.775618
3.490000 222.337752 224.235692 226.493576 226.505098 228.772337 231.066498
3.540000 224.979545 226.946283 230.014368 229.762430 232.317217 234.063960
3.590000 229.647343 233.033671 235.259909 234.930616 236.764587 238.466372
3.640000 236.281040 237.956159 239.571648 239.556522 240.978350 242.938387
3.740000 244.112784 245.831196 248.183084 248.746073 251.690306 256.655975
3.790000 247.557704 250.049404 252.601292 252.815307 255.620872 259.445658
3.840000 250.021866 253.851094 256.235305 256.376355 259.357378 262.079830
3.890000 253.010916 256.376060 259.264892 259.181587 262.053360 264.595715
3.940000 256.201575 258.771941 261.826254 261.726429 264.716716 266.759530
3.990000 258.382161 260.971023 264.353674 264.146837 267.164034 268.955915
4.065000 261.345855 264.389429 268.351905 267.671441 270.359517 272.077367
4.140000 265.091366 268.389788 271.862640 271.186150 273.347200 274.961853
4.190000 267.708925 271.958684 273.924817 273.535444 275.328108 276.697241
4.240000 271.281367 274.182319 275.682418 275.516115 277.039450 278.478974
4.290000 274.495775 276.071454 277.286181 277.307467 278.683979 280.058625
4.390000 278.107328 279.209539 280.309357 280.309730 281.378334 282.479737
4.440000 279.757054 280.741635 281.733388 281.764902 282.776816 284.033024
4.490000 281.321561 282.265116 283.242789 283.307033 284.321777 285.499012
4.540000 282.821596 283.762361 284.779030 284.829117 285.950833 287.178318
4.590000 284.216904 285.141741 286.330037 286.374278 287.562235 289.120345
4.640000 285.820340 286.793433 287.966219 288.113678 289.407244 291.291650
