Depth	d18O
38.4	3.92
38.41	3.69
38.43	4.01
38.45	4.0
38.47	4.19
38.49	4.44
38.51	4.23
38.53	4.44
38.55	4.49
38.57	4.32
38.59	4.79
38.6	5.05
38.61	4.57
38.63	4.61
38.65	4.9
38.67	5.02
38.69	4.84
38.71	4.97
38.73	5.03
38.75	4.95
38.77	5.07
38.79	4.99
38.81	4.96
38.83	4.96
38.85	4.89
38.87	4.96
38.89	4.92
38.91	4.89
38.93	4.95
38.95	4.94
38.97	4.97
38.99	4.88
39.01	5.01
39.03	4.81
39.04	4.79
39.06	4.87
39.08	4.78
39.1	4.69
39.12	4.76
39.14	4.83
39.16	4.86
39.18	4.87
39.19	4.8
39.21	4.73
39.23	4.66
39.24	4.86
39.25	4.82
39.26	4.92
39.27	4.83
39.28	4.78
39.29	4.74
39.3	4.7
39.31	4.71
39.32	4.77
39.33	4.71
39.34	4.66
39.35	4.69
39.36	4.69
39.37	4.62
39.38	4.59
39.39	4.59
39.4	4.66
39.41	4.6
39.42	4.6
39.43	4.72
39.44	4.58
39.45	4.61
39.46	4.48
39.47	4.48
39.48	4.74
39.49	4.57
39.5	4.65
39.51	4.43
39.52	4.54
39.53	4.49
39.54	4.47
39.55	4.48
39.56	4.48
39.57	4.38
39.58	4.44
39.59	4.46
39.6	4.42
39.61	4.26
39.62	4.45
39.63	4.36
39.64	4.23
39.65	4.26
39.66	4.35
39.67	4.34
39.68	4.34
39.69	4.3
39.7	4.23
39.72	4.26
39.73	4.29
39.74	4.27
39.75	4.19
39.76	3.97
39.77	4.1
39.78	4.07
39.79	4.12
39.8	3.91
39.81	4.03
39.82	3.85
39.83	3.84
39.84	3.95
39.85	3.99
39.86	4.06
39.87	4.03
39.88	4.03
39.89	3.89
39.9	3.94
39.91	3.8
39.92	3.82
39.93	3.82
39.94	3.93
39.95	3.88
39.96	3.77
39.97	3.8
39.98	3.71
39.99	3.78
40.0	3.82
40.01	3.77
40.02	3.87
40.03	3.67
40.04	3.69
40.05	3.88
40.06	3.78
40.07	3.72
40.08	3.89
40.09	3.72
40.1	4.0
40.11	3.86
40.12	3.85
40.13	4.07
40.14	3.88
40.15	3.85
40.16	3.85
40.17	3.97
40.19	4.15
40.21	4.12
40.22	4.16
40.23	4.16
40.24	4.35
40.25	4.2
40.26	4.16
40.27	4.28
40.28	4.28
40.29	4.15
40.3	4.06
40.31	3.95
40.32	4.11
40.33	3.94
40.34	3.85
40.35	3.8
40.36	3.96
40.37	3.91
40.38	3.95
40.39	3.87
40.41	3.88
40.42	3.96
40.43	3.82
40.44	3.77
40.46	3.8
40.47	3.97
40.48	4.01
40.49	3.97
40.5	3.95
40.51	3.99
40.52	3.87
40.53	3.75
40.54	3.93
40.55	3.95
40.56	3.89
40.57	3.93
40.58	4.05
40.59	3.98
40.6	3.64
40.61	3.88
40.62	3.9
40.63	3.92
40.64	3.89
40.65	3.94
40.66	3.93
40.67	3.97
40.68	3.85
40.69	3.87
40.7	3.79
40.71	3.97
40.72	3.76
40.73	3.83
40.74	3.82
40.75	3.82
40.76	3.87
40.77	3.81
40.78	3.76
40.79	3.8
40.8	3.81
40.81	3.66
40.82	3.71
40.83	3.59
40.84	3.58
40.85	3.6
40.86	3.83
40.87	3.67
40.88	3.67
40.89	3.56
40.9	3.63
40.91	3.55
40.92	3.52
40.93	3.63
40.94	3.55
40.95	3.65
40.96	3.45
40.97	3.7
40.98	3.58
40.99	3.86
41.0	3.73
41.01	3.62
41.02	3.86
41.03	3.9
41.04	4.0
41.05	3.94
41.06	4.08
41.07	3.62
41.08	3.69
41.09	3.63
41.1	3.73
41.11	3.73
41.12	3.76
41.13	3.76
41.14	3.83
41.15	3.77
41.16	3.68
41.17	3.59
41.18	3.41
41.18	3.34
41.19	3.55
41.2	3.58
41.2	3.38
41.21	3.57
41.22	3.41
41.22	3.4
41.23	3.56
41.23	3.77
41.24	3.47
41.24	3.65
41.25	3.46
41.25	4.08
41.26	3.41
41.26	4.23
41.27	3.56
41.28	3.64
41.29	4.11
41.31	3.85
41.32	3.9
41.33	3.98
41.34	3.73
41.35	4.2
41.36	4.03
41.37	4.35
41.38	4.5
41.39	4.29
41.4	4.38
41.41	4.29
41.42	4.49
41.43	4.34
41.45	4.47
41.46	4.47
41.47	4.66
41.48	4.84
41.49	5.03
41.5	4.82
41.52	4.91
41.53	4.72
41.54	4.66
41.55	4.93
41.56	5.02
41.57	4.88
41.58	4.85
41.59	4.93
41.6	4.86
41.62	4.94
41.64	4.89
41.66	4.84
41.68	5.12
41.7	4.9
41.72	5.04
41.74	4.94
41.76	4.8
41.78	4.73
41.8	4.61
41.82	4.55
41.84	4.92
41.86	4.92
41.88	5.04
41.9	4.96
41.92	4.72
41.94	4.87
41.96	4.84
41.98	4.89
42.0	4.81
42.02	4.85
42.04	4.75
42.06	4.76
42.08	4.8
42.1	4.52
42.12	4.74
42.14	4.61
42.16	4.74
42.18	4.75
42.2	4.74
42.22	4.64
42.23	4.61
42.24	4.63
42.26	4.56
42.28	4.63
42.3	4.53
42.32	4.56
42.35	4.52
42.36	4.67
42.38	4.56
42.4	4.62
42.42	4.71
42.44	4.72
42.46	4.67
42.48	4.66
42.5	4.57
42.52	4.69
42.54	4.61
42.55	4.48
42.56	4.65
42.58	4.67
42.6	4.66
42.62	4.62
42.64	4.66
42.66	4.59
42.68	4.79
42.7	4.52
42.72	4.55
42.74	4.65
42.76	4.58
42.78	4.43
42.8	4.2
42.82	4.5
42.84	4.38
42.86	4.62
42.88	4.43
42.9	4.44
42.92	4.45
42.94	4.36
42.96	4.31
42.98	4.23
43.0	4.24
43.02	4.29
43.04	4.11
43.06	4.13
43.08	4.17
43.1	4.15
43.12	4.14
43.14	4.21
43.16	3.92
43.18	4.07
43.2	4.15
43.22	4.18
43.24	4.3
43.26	4.21
43.28	4.45
43.3	4.38
43.32	4.26
