depth(m)	initial_age(kiloyear)
38.4	787.87
38.41	788.0
38.43	788.26
38.45	788.57
38.47	788.91
38.49	789.25
38.51	789.59
38.53	789.93
38.55	790.27
38.57	790.61
38.59	790.95
38.6	791.12
38.61	791.29
38.63	791.63
38.65	791.97
38.67	792.31
38.69	792.65
38.71	792.99
38.73	793.33
38.75	793.68
38.77	794.05
38.79	794.41
38.81	794.78
38.83	795.15
38.85	795.51
38.87	795.88
38.89	796.25
38.91	796.61
38.93	796.98
38.95	797.35
38.97	797.71
38.99	798.08
39.01	798.45
39.03	798.81
39.04	799.0
39.06	799.36
39.08	799.73
39.1	800.1
39.12	800.46
39.14	800.83
39.16	801.2
39.18	801.56
39.19	801.75
39.21	802.11
39.23	802.48
39.24	802.66
39.25	802.85
39.26	803.03
39.27	803.22
39.28	803.4
39.29	803.58
39.3	803.77
39.31	803.95
39.32	804.13
39.33	804.32
39.34	804.5
39.35	804.68
39.36	804.87
39.37	805.05
39.38	805.23
39.39	805.42
39.4	805.6
39.41	805.78
39.42	805.97
39.43	806.15
39.44	806.33
39.45	806.52
39.46	806.7
39.47	806.88
39.48	807.07
39.49	807.25
39.5	807.43
39.51	807.62
39.52	807.8
39.53	807.98
39.54	808.17
39.55	808.35
39.56	808.53
39.57	808.72
39.58	808.9
39.59	809.08
39.6	809.27
39.61	809.45
39.62	809.63
39.63	809.82
39.64	810.0
39.65	810.37
39.66	810.73
39.67	811.1
39.68	811.47
39.69	811.83
39.7	812.2
39.72	812.93
39.73	813.3
39.74	813.67
39.75	814.03
39.76	814.4
39.77	814.77
39.78	815.13
39.79	815.5
39.8	815.87
39.81	816.23
39.82	816.6
39.83	816.97
39.84	817.33
39.85	817.7
39.86	818.07
39.87	818.43
39.88	818.8
39.89	819.17
39.9	819.53
39.91	819.9
39.92	820.27
39.93	820.63
39.94	821.0
39.95	821.37
39.96	821.73
39.97	822.1
39.98	822.47
39.99	822.83
40.0	823.2
40.01	823.57
40.02	823.93
40.03	824.3
40.04	824.67
40.05	825.03
40.06	825.4
40.07	825.77
40.08	826.13
40.09	826.5
40.1	826.87
40.11	827.23
40.12	827.6
40.13	827.97
40.14	828.33
40.15	828.7
40.16	829.07
40.17	829.43
40.19	830.17
40.21	830.9
40.22	831.27
40.23	831.63
40.24	832.0
40.25	832.23
40.26	832.47
40.27	832.7
40.28	832.94
40.29	833.17
40.3	833.41
40.31	833.64
40.32	833.88
40.33	834.11
40.34	834.34
40.35	834.58
40.36	834.81
40.37	835.05
40.38	835.28
40.39	835.52
40.41	835.99
40.42	836.22
40.43	836.46
40.44	836.69
40.46	837.16
40.47	837.39
40.48	837.63
40.49	837.86
40.5	838.1
40.51	838.33
40.52	838.57
40.53	838.8
40.54	839.03
40.55	839.27
40.56	839.5
40.57	839.74
40.58	839.97
40.59	840.21
40.6	840.44
40.61	840.68
40.62	840.91
40.63	841.15
40.64	841.4
40.65	841.65
40.66	841.91
40.67	842.16
40.68	842.41
40.69	842.66
40.7	842.91
40.71	843.17
40.72	843.42
40.73	843.67
40.74	843.92
40.75	844.18
40.76	844.43
40.77	844.68
40.78	844.93
40.79	845.19
40.8	845.44
40.81	845.69
40.82	845.94
40.83	846.2
40.84	846.45
40.85	846.7
40.86	846.95
40.87	847.2
40.88	847.46
40.89	847.71
40.9	847.96
40.91	848.21
40.92	848.47
40.93	848.72
40.94	848.97
40.95	849.22
40.96	849.48
40.97	849.73
40.98	849.98
40.99	850.23
41.0	850.49
41.01	850.74
41.02	850.99
41.03	851.24
41.04	851.5
41.05	851.75
41.06	852.0
41.07	852.41
41.08	852.81
41.09	853.22
41.1	853.63
41.11	854.03
41.12	854.44
41.13	854.85
41.14	855.17
41.15	855.46
41.16	855.76
41.17	856.06
41.18	856.36
41.18	859.94
41.19	856.66
41.2	856.96
41.2	860.61
41.21	857.25
41.22	857.55
41.22	861.29
41.23	857.85
41.23	861.62
41.24	858.15
41.24	861.96
41.25	858.45
41.25	862.3
41.26	858.74
41.26	862.63
41.27	859.04
41.28	859.34
41.29	863.64
41.31	864.32
41.32	864.65
41.33	864.99
41.34	865.33
41.35	865.66
41.36	866.0
41.37	866.26
41.38	866.52
41.39	866.78
41.4	867.05
41.41	867.31
41.42	867.57
41.43	867.83
41.45	868.35
41.46	868.61
41.47	868.88
41.48	869.14
41.49	869.37
41.5	869.6
41.52	870.07
41.53	870.3
41.54	870.53
41.55	870.77
41.56	871.0
41.57	871.23
41.58	871.47
41.59	871.7
41.6	871.93
41.62	872.4
41.64	872.86
41.66	873.33
41.68	873.79
